1,西川　新太郎,西川　新太郎.1,2,河合 三弘,河合 三弘.1,3,吉本 玲緒,吉本 玲緒.1,4,和合 俊介,和合 俊介.1,5,森 雄利,森 雄利.1,6,松井 賢治,松井 賢治.1
2.0,3.0,21.5,1.0,3.0,84.5,1.0,2.0,230.4,1.0,2.0,102.6,1.0,2.0,912.0,1.0,2.0,16.6
2.0,4.0,16.0,1.0,4.0,56.8,1.0,4.0,267.6,1.0,3.0,225.6,1.0,3.0,1450.0,1.0,3.0,49.3
2.0,5.0,141.2,1.0,5.0,263.8,1.0,5.0,559.9,1.0,5.0,304.8,1.0,4.0,1476.0,1.0,4.0,20.5
2.0,6.0,5.7,1.0,6.0,23.1,1.0,6.0,168.6,1.0,6.0,63.8,1.0,6.0,718.6,1.0,5.0,110.4
3.0,2.0,39.7,3.0,1.0,254.5,2.0,1.0,398.9,2.0,1.0,181.9,2.0,1.0,1871.0,2.0,1.0,40.1
3.0,4.0,60.8,3.0,4.0,621.5,2.0,4.0,733.3,2.0,3.0,628.8,2.0,3.0,2953.0,2.0,3.0,189.3
3.0,5.0,214.9,3.0,5.0,1685.0,2.0,5.0,1642.0,2.0,5.0,870.1,2.0,4.0,2438.0,2.0,4.0,75.1
3.0,6.0,28.8,3.0,6.0,367.0,2.0,6.0,592.9,2.0,6.0,170.0,2.0,6.0,2077.0,2.0,5.0,356.9
4.0,2.0,30.8,4.0,1.0,164.5,4.0,1.0,598.4,3.0,1.0,554.1,3.0,1.0,2175.0,3.0,1.0,181.6
4.0,3.0,70.6,4.0,3.0,602.8,4.0,2.0,966.8,3.0,2.0,975.5,3.0,2.0,3251.0,3.0,2.0,313.7
4.0,5.0,213.4,4.0,5.0,1443.0,4.0,5.0,2420.0,3.0,5.0,2077.0,3.0,4.0,3388.0,3.0,4.0,359.3
4.0,6.0,20.3,4.0,6.0,167.6,4.0,6.0,750.4,3.0,6.0,728.3,3.0,6.0,3251.0,3.0,5.0,996.7
5.0,2.0,430.9,5.0,1.0,1358.0,5.0,1.0,2012.0,5.0,1.0,698.3,4.0,1.0,1939.0,4.0,1.0,35.6
5.0,3.0,543.8,5.0,3.0,2384.0,5.0,2.0,2953.0,5.0,2.0,1201.0,4.0,2.0,2953.0,4.0,2.0,59.2
5.0,4.0,481.9,5.0,4.0,2438.0,5.0,4.0,3125.0,5.0,3.0,1871.0,4.0,3.0,3319.0,4.0,3.0,159.6
5.0,6.0,271.6,5.0,6.0,1287.0,5.0,6.0,2596.0,5.0,6.0,736.7,4.0,6.0,1927.0,4.0,5.0,155.9
6.0,2.0,6.2,6.0,1.0,46.0,6.0,1.0,248.7,6.0,1.0,74.1,6.0,1.0,889.3,5.0,1.0,349.1
6.0,3.0,19.6,6.0,3.0,219.4,6.0,2.0,456.6,6.0,2.0,129.5,6.0,2.0,2332.0,5.0,2.0,609.7
6.0,4.0,10.0,6.0,4.0,119.2,6.0,4.0,552.2,6.0,3.0,358.5,6.0,3.0,3187.0,5.0,3.0,1158.0
6.0,5.0,86.1,6.0,5.0,600.6,6.0,5.0,1219.0,6.0,5.0,354.9,6.0,4.0,1927.0,5.0,4.0,463.8
