1,宮迫 暢彦,宮迫 暢彦.1,2,金子 賢志,金子 賢志.1,3,吉永 泰弘,吉永 泰弘.1,4,鳥飼 眞,鳥飼 眞.1,5,冨田 秀幸,冨田 秀幸.1,6,泉 具巳,泉 具巳.1
2.0,3.0,7.9,1.0,3.0,30.1,1.0,2.0,141.3,1.0,2.0,46.3,1.0,2.0,607.2,1.0,2.0,213.1
2.0,4.0,6.0,1.0,4.0,18.2,1.0,4.0,188.3,1.0,3.0,116.3,1.0,3.0,880.3,1.0,3.0,494.6
2.0,5.0,30.9,1.0,5.0,64.3,1.0,5.0,298.0,1.0,5.0,95.8,1.0,4.0,666.7,1.0,4.0,278.2
2.0,6.0,13.5,1.0,6.0,34.0,1.0,6.0,268.5,1.0,6.0,59.1,1.0,6.0,904.8,1.0,5.0,533.3
3.0,2.0,16.9,3.0,1.0,123.2,2.0,1.0,216.7,2.0,1.0,69.7,2.0,1.0,944.1,2.0,1.0,288.6
3.0,4.0,22.6,3.0,4.0,155.3,2.0,4.0,336.5,2.0,3.0,199.3,2.0,3.0,2054.0,2.0,3.0,1008.0
3.0,5.0,56.8,3.0,5.0,342.8,2.0,5.0,696.2,2.0,5.0,177.1,2.0,4.0,1120.0,2.0,4.0,410.4
3.0,6.0,37.9,3.0,6.0,243.0,2.0,6.0,521.7,2.0,6.0,100.3,2.0,6.0,1302.0,2.0,5.0,991.3
4.0,2.0,10.4,4.0,1.0,54.4,4.0,1.0,344.1,3.0,1.0,283.5,3.0,1.0,1600.0,3.0,1.0,1015.0
4.0,3.0,21.5,4.0,3.0,115.5,4.0,2.0,396.5,3.0,2.0,382.8,3.0,2.0,2491.0,3.0,2.0,1510.0
4.0,5.0,40.8,4.0,5.0,163.8,4.0,5.0,707.0,3.0,5.0,568.6,3.0,4.0,1982.0,3.0,4.0,1284.0
4.0,6.0,19.8,4.0,6.0,87.5,4.0,6.0,508.3,3.0,6.0,433.8,3.0,6.0,2438.0,3.0,5.0,2291.0
5.0,2.0,90.5,5.0,1.0,397.5,5.0,1.0,899.4,5.0,1.0,168.5,4.0,1.0,679.6,4.0,1.0,303.2
5.0,3.0,134.6,5.0,3.0,696.2,5.0,2.0,1288.0,5.0,2.0,232.7,4.0,2.0,811.4,4.0,2.0,353.7
5.0,4.0,128.7,5.0,4.0,468.6,5.0,4.0,1411.0,5.0,3.0,533.3,4.0,3.0,1530.0,4.0,3.0,913.8
5.0,6.0,143.0,5.0,6.0,529.0,5.0,6.0,1471.0,5.0,6.0,181.1,4.0,6.0,645.9,4.0,5.0,515.2
6.0,2.0,40.2,6.0,1.0,156.3,6.0,1.0,672.6,6.0,1.0,97.3,6.0,1.0,1341.0,5.0,1.0,942.1
6.0,3.0,76.5,6.0,3.0,366.8,6.0,2.0,841.3,6.0,2.0,119.8,6.0,2.0,1682.0,5.0,2.0,1259.0
6.0,4.0,51.9,6.0,4.0,172.4,6.0,4.0,878.6,6.0,3.0,325.2,6.0,3.0,2192.0,5.0,3.0,2246.0
6.0,5.0,126.2,6.0,5.0,432.2,6.0,5.0,1505.0,6.0,5.0,164.9,6.0,4.0,852.3,5.0,4.0,890.6
