1,坪口 竜也,坪口 竜也.1,2,小林 遼太,小林 遼太.1,3,谷川 将太,谷川 将太.1,4,丸尾 義孝,丸尾 義孝.1,5,松田 憲幸,松田 憲幸.1,6,上田 健太,上田 健太.1
2.0,3.0,15.1,1.0,3.0,88.8,1.0,2.0,141.1,1.0,2.0,35.0,1.0,2.0,342.8,1.0,2.0,300.2
2.0,4.0,8.5,1.0,4.0,51.0,1.0,4.0,106.8,1.0,3.0,67.6,1.0,3.0,469.4,1.0,3.0,468.3
2.0,5.0,27.2,1.0,5.0,144.2,1.0,5.0,181.8,1.0,5.0,39.6,1.0,4.0,226.8,1.0,4.0,187.4
2.0,6.0,21.3,1.0,6.0,91.6,1.0,6.0,171.8,1.0,6.0,27.7,1.0,6.0,280.6,1.0,5.0,450.3
3.0,2.0,21.9,3.0,1.0,206.2,2.0,1.0,244.3,2.0,1.0,79.2,2.0,1.0,631.3,2.0,1.0,403.0
3.0,4.0,16.6,3.0,4.0,277.3,2.0,4.0,268.3,2.0,3.0,200.3,2.0,3.0,1072.0,2.0,3.0,852.6
3.0,5.0,40.8,3.0,5.0,513.5,2.0,5.0,459.1,2.0,5.0,152.4,2.0,4.0,605.5,2.0,4.0,516.8
3.0,6.0,38.2,3.0,6.0,439.9,2.0,6.0,446.8,2.0,6.0,118.4,2.0,6.0,745.8,2.0,5.0,1235.0
4.0,2.0,9.2,4.0,1.0,115.3,4.0,1.0,156.3,3.0,1.0,171.4,3.0,1.0,833.0,3.0,1.0,774.8
4.0,3.0,16.5,4.0,3.0,266.2,4.0,2.0,282.0,3.0,2.0,287.9,3.0,2.0,1191.0,3.0,2.0,1066.0
4.0,5.0,24.2,4.0,5.0,351.2,4.0,5.0,295.3,3.0,5.0,281.2,3.0,4.0,715.1,3.0,4.0,849.0
4.0,6.0,14.8,4.0,6.0,210.4,4.0,6.0,285.2,3.0,6.0,260.8,3.0,6.0,1117.0,3.0,5.0,1564.0
5.0,2.0,58.9,5.0,1.0,437.5,5.0,1.0,383.6,5.0,1.0,55.1,4.0,1.0,247.0,4.0,1.0,195.2
5.0,3.0,79.5,5.0,3.0,762.9,5.0,2.0,599.1,5.0,2.0,113.7,4.0,2.0,405.5,4.0,2.0,446.8
5.0,4.0,48.0,5.0,4.0,612.0,5.0,4.0,477.8,5.0,3.0,174.1,4.0,3.0,530.6,4.0,3.0,629.3
5.0,6.0,75.7,5.0,6.0,757.1,5.0,6.0,672.9,5.0,6.0,49.3,4.0,6.0,246.0,4.0,5.0,407.5
6.0,2.0,54.8,6.0,1.0,269.9,6.0,1.0,402.6,6.0,1.0,54.1,6.0,1.0,493.2,5.0,1.0,685.6
6.0,3.0,82.5,6.0,3.0,536.3,6.0,2.0,615.8,6.0,2.0,104.0,6.0,2.0,932.3,5.0,2.0,1352.0
6.0,4.0,44.5,6.0,4.0,384.0,6.0,4.0,522.3,6.0,3.0,170.7,6.0,3.0,992.6,5.0,3.0,1445.0
6.0,5.0,94.9,6.0,5.0,736.2,6.0,5.0,752.9,6.0,5.0,67.2,6.0,4.0,394.3,5.0,4.0,548.8
