1,丸尾 義孝,丸尾 義孝.1,2,占部 一真,占部 一真.1,3,井本 昌也,井本 昌也.1,4,宇田川　信一,宇田川　信一.1,5,片岡 大地,片岡 大地.1,6,岩津 徹郎,岩津 徹郎.1
2.0,3.0,12.1,1.0,3.0,59.3,1.0,2.0,23.7,1.0,2.0,356.0,1.0,2.0,227.1,1.0,2.0,647.6
2.0,4.0,29.3,1.0,4.0,122.3,1.0,4.0,22.8,1.0,3.0,191.8,1.0,3.0,112.5,1.0,3.0,269.3
2.0,5.0,33.5,1.0,5.0,141.4,1.0,5.0,17.6,1.0,5.0,277.5,1.0,4.0,324.8,1.0,4.0,1005.0
2.0,6.0,37.7,1.0,6.0,128.9,1.0,6.0,18.5,1.0,6.0,276.7,1.0,6.0,153.5,1.0,5.0,555.8
3.0,2.0,8.6,3.0,1.0,115.9,2.0,1.0,74.3,2.0,1.0,662.6,2.0,1.0,557.4,2.0,1.0,1117.0
3.0,4.0,11.6,3.0,4.0,281.4,2.0,4.0,141.2,2.0,3.0,649.7,2.0,3.0,800.4,2.0,3.0,1334.0
3.0,5.0,10.1,3.0,5.0,390.8,2.0,5.0,171.1,2.0,5.0,794.1,2.0,4.0,922.2,2.0,4.0,2633.0
3.0,6.0,10.9,3.0,6.0,276.4,2.0,6.0,162.8,2.0,6.0,1021.0,2.0,6.0,714.7,2.0,5.0,1343.0
4.0,2.0,53.5,4.0,1.0,478.7,4.0,1.0,59.2,3.0,1.0,204.4,3.0,1.0,179.8,3.0,1.0,311.2
4.0,3.0,33.1,4.0,3.0,555.8,4.0,2.0,140.7,3.0,2.0,422.1,3.0,2.0,514.4,3.0,2.0,985.8
4.0,5.0,63.7,4.0,5.0,725.0,4.0,5.0,89.7,3.0,5.0,338.0,3.0,4.0,522.5,3.0,4.0,769.6
4.0,6.0,72.7,4.0,6.0,781.7,4.0,6.0,83.0,3.0,6.0,265.7,3.0,6.0,283.4,3.0,5.0,763.8
5.0,2.0,54.8,5.0,1.0,533.6,5.0,1.0,57.0,5.0,1.0,379.7,4.0,1.0,617.6,4.0,1.0,1439.0
5.0,3.0,28.9,5.0,3.0,755.1,5.0,2.0,162.9,5.0,2.0,678.3,4.0,2.0,976.2,4.0,2.0,2779.0
5.0,4.0,78.7,5.0,4.0,926.4,5.0,4.0,131.5,5.0,3.0,521.1,4.0,3.0,730.3,4.0,3.0,1036.0
5.0,6.0,57.0,5.0,6.0,806.9,5.0,6.0,83.1,5.0,6.0,435.9,4.0,6.0,790.9,4.0,5.0,1600.0
6.0,2.0,98.6,6.0,1.0,588.5,6.0,1.0,65.3,6.0,1.0,625.3,6.0,1.0,255.2,5.0,1.0,573.4
6.0,3.0,51.8,6.0,3.0,794.1,6.0,2.0,179.4,6.0,2.0,1235.0,6.0,2.0,573.4,5.0,2.0,1235.0
6.0,4.0,139.3,6.0,4.0,1325.0,6.0,4.0,144.8,6.0,3.0,549.7,6.0,3.0,293.4,5.0,3.0,704.6
6.0,5.0,98.3,6.0,5.0,1015.0,6.0,5.0,119.0,6.0,5.0,725.0,6.0,4.0,669.3,5.0,4.0,1352.0
