1,原田 幸哉,原田 幸哉.1,2,坪口 竜也,坪口 竜也.1,3,國崎 良春,國崎 良春.1,4,山田 佑樹,山田 佑樹.1,5,堀本 裕也,堀本 裕也.1,6,梅原 祥平,梅原 祥平.1
2.0,3.0,4.5,1.0,3.0,36.8,1.0,2.0,48.6,1.0,2.0,194.9,1.0,2.0,321.8,1.0,2.0,343.8
2.0,4.0,8.7,1.0,4.0,77.5,1.0,4.0,78.0,1.0,3.0,241.4,1.0,3.0,341.3,1.0,3.0,456.4
2.0,5.0,17.4,1.0,5.0,145.8,1.0,5.0,102.1,1.0,5.0,409.1,1.0,4.0,660.9,1.0,4.0,1053.0
2.0,6.0,25.0,1.0,6.0,172.4,1.0,6.0,167.0,1.0,6.0,605.4,1.0,6.0,577.0,1.0,5.0,1017.0
3.0,2.0,5.5,3.0,1.0,94.6,2.0,1.0,101.9,2.0,1.0,365.0,2.0,1.0,596.7,2.0,1.0,549.3
3.0,4.0,8.5,3.0,4.0,282.3,2.0,4.0,248.1,2.0,3.0,559.5,2.0,3.0,1036.0,2.0,3.0,996.4
3.0,5.0,14.1,3.0,5.0,415.7,2.0,5.0,359.0,2.0,5.0,1050.0,2.0,4.0,1737.0,2.0,4.0,1998.0
3.0,6.0,24.1,3.0,6.0,550.2,2.0,6.0,556.7,2.0,6.0,1474.0,2.0,6.0,1405.0,2.0,5.0,1998.0
4.0,2.0,16.4,4.0,1.0,286.7,4.0,1.0,242.3,3.0,1.0,399.2,3.0,1.0,613.3,3.0,1.0,823.3
4.0,3.0,19.2,4.0,3.0,463.4,4.0,2.0,326.9,3.0,2.0,623.6,3.0,2.0,1189.0,3.0,2.0,1424.0
4.0,5.0,57.9,4.0,5.0,1202.0,4.0,5.0,495.9,3.0,5.0,1388.0,3.0,4.0,2182.0,3.0,4.0,2060.0
4.0,6.0,74.3,4.0,6.0,1113.0,4.0,6.0,666.2,3.0,6.0,1371.0,3.0,6.0,1823.0,3.0,5.0,2168.0
5.0,2.0,44.1,5.0,1.0,482.9,5.0,1.0,327.8,5.0,1.0,688.3,4.0,1.0,1185.0,4.0,1.0,2182.0
5.0,3.0,44.1,5.0,3.0,821.3,5.0,2.0,634.4,5.0,2.0,1148.0,4.0,2.0,2494.0,4.0,2.0,2962.0
5.0,4.0,109.3,5.0,4.0,1411.0,5.0,4.0,813.2,5.0,3.0,1494.0,4.0,3.0,2697.0,4.0,3.0,2860.0
5.0,6.0,92.2,5.0,6.0,1152.0,5.0,6.0,831.5,5.0,6.0,1276.0,4.0,6.0,2257.0,4.0,5.0,3567.0
6.0,2.0,73.9,6.0,1.0,543.9,6.0,1.0,670.3,6.0,1.0,1659.0,6.0,1.0,1117.0,5.0,1.0,1565.0
6.0,3.0,86.6,6.0,3.0,984.5,6.0,2.0,1132.0,6.0,2.0,2320.0,6.0,2.0,1508.0,5.0,2.0,2212.0
6.0,4.0,174.1,6.0,4.0,1650.0,6.0,4.0,1642.0,6.0,3.0,2457.0,6.0,3.0,1667.0,5.0,3.0,2370.0
6.0,5.0,153.7,6.0,5.0,1557.0,6.0,5.0,1455.0,6.0,5.0,2086.0,6.0,4.0,2336.0,5.0,4.0,2788.0
