1,西山 貴浩,西山 貴浩.1,2,大上 卓人,大上 卓人.1,3,上田 健太,上田 健太.1,4,尾形 栄治,尾形 栄治.1,5,丸尾 義孝,丸尾 義孝.1,6,鈴木 智啓,鈴木 智啓.1
2.0,3.0,4.1,1.0,3.0,39.5,1.0,2.0,97.9,1.0,2.0,544.7,1.0,2.0,92.5,1.0,2.0,463.9
2.0,4.0,16.4,1.0,4.0,115.2,1.0,4.0,259.5,1.0,3.0,828.0,1.0,3.0,172.6,1.0,3.0,850.3
2.0,5.0,5.4,1.0,5.0,44.9,1.0,5.0,145.9,1.0,5.0,742.9,1.0,4.0,388.8,1.0,4.0,1422.0
2.0,6.0,14.1,1.0,6.0,104.8,1.0,6.0,241.8,1.0,6.0,1113.0,1.0,6.0,170.9,1.0,5.0,607.0
3.0,2.0,8.1,3.0,1.0,124.2,2.0,1.0,206.5,2.0,1.0,845.5,2.0,1.0,186.4,2.0,1.0,814.5
3.0,4.0,26.3,3.0,4.0,584.5,2.0,4.0,698.0,2.0,3.0,1563.0,2.0,3.0,540.8,2.0,3.0,1961.0
3.0,5.0,13.2,3.0,5.0,302.5,2.0,5.0,479.8,2.0,5.0,1705.0,2.0,4.0,1085.0,2.0,4.0,3176.0
3.0,6.0,27.0,3.0,6.0,613.2,2.0,6.0,876.4,2.0,6.0,1936.0,2.0,6.0,517.0,2.0,5.0,1676.0
4.0,2.0,50.0,4.0,1.0,533.1,4.0,1.0,693.2,3.0,1.0,1107.0,3.0,1.0,419.2,3.0,1.0,1392.0
4.0,3.0,74.8,4.0,3.0,1044.0,4.0,2.0,1062.0,3.0,2.0,1720.0,3.0,2.0,752.2,3.0,2.0,2480.0
4.0,5.0,69.9,4.0,5.0,989.0,4.0,5.0,1056.0,3.0,5.0,1974.0,3.0,4.0,1519.0,3.0,4.0,3975.0
4.0,6.0,109.2,4.0,6.0,1274.0,4.0,6.0,1305.0,3.0,6.0,2091.0,3.0,6.0,1242.0,3.0,5.0,3594.0
5.0,2.0,13.5,5.0,1.0,181.4,5.0,1.0,350.2,5.0,1.0,974.5,4.0,1.0,984.1,4.0,1.0,2543.0
5.0,3.0,22.1,5.0,3.0,394.4,5.0,2.0,616.3,5.0,2.0,1824.0,4.0,2.0,1808.0,4.0,2.0,3898.0
5.0,4.0,62.2,5.0,4.0,790.9,5.0,4.0,1002.0,5.0,3.0,2084.0,4.0,3.0,1770.0,4.0,3.0,4350.0
5.0,6.0,31.5,5.0,6.0,543.7,5.0,6.0,844.3,5.0,6.0,1497.0,4.0,6.0,1691.0,4.0,5.0,4002.0
6.0,2.0,50.7,6.0,1.0,510.0,6.0,1.0,871.3,6.0,1.0,1955.0,6.0,1.0,326.4,5.0,1.0,798.3
6.0,3.0,80.0,6.0,3.0,1174.0,6.0,2.0,1571.0,6.0,2.0,3316.0,6.0,2.0,519.7,5.0,2.0,1478.0
6.0,4.0,166.0,6.0,4.0,1994.0,6.0,4.0,2522.0,6.0,3.0,3531.0,6.0,3.0,939.4,5.0,3.0,2460.0
6.0,5.0,66.3,6.0,5.0,946.9,6.0,5.0,1813.0,6.0,5.0,2610.0,6.0,4.0,1307.0,5.0,4.0,3262.0
