1,上田 健太,上田 健太.1,2,梶原 正,梶原 正.1,3,小林 遼太,小林 遼太.1,4,片岡 大地,片岡 大地.1,5,高野 心吾,高野 心吾.1,6,竹田 辰也,竹田 辰也.1
2.0,3.0,13.2,1.0,3.0,75.0,1.0,2.0,81.4,1.0,2.0,255.1,1.0,2.0,193.6,1.0,2.0,68.9
2.0,4.0,29.5,1.0,4.0,146.7,1.0,4.0,117.4,1.0,3.0,270.8,1.0,3.0,192.2,1.0,3.0,64.4
2.0,5.0,28.3,1.0,5.0,105.3,1.0,5.0,81.6,1.0,5.0,224.6,1.0,4.0,397.5,1.0,4.0,133.5
2.0,6.0,12.6,1.0,6.0,51.6,1.0,6.0,46.6,1.0,6.0,145.1,1.0,6.0,131.7,1.0,5.0,110.0
3.0,2.0,12.1,3.0,1.0,169.1,2.0,1.0,149.8,2.0,1.0,524.1,2.0,1.0,380.3,2.0,1.0,127.4
3.0,4.0,20.6,3.0,4.0,359.5,2.0,4.0,276.5,2.0,3.0,351.2,2.0,3.0,702.4,2.0,3.0,215.0
3.0,5.0,18.0,3.0,5.0,315.4,2.0,5.0,374.9,2.0,5.0,557.4,2.0,4.0,975.5,2.0,4.0,288.6
3.0,6.0,8.2,3.0,6.0,169.3,2.0,6.0,139.9,2.0,6.0,408.3,2.0,6.0,318.3,2.0,5.0,236.7
4.0,2.0,48.0,4.0,1.0,377.6,4.0,1.0,272.2,3.0,1.0,426.5,3.0,1.0,263.4,3.0,1.0,140.6
4.0,3.0,48.5,4.0,3.0,543.1,4.0,2.0,374.9,3.0,2.0,513.9,3.0,2.0,741.9,3.0,2.0,246.7
4.0,5.0,85.5,4.0,5.0,414.8,4.0,5.0,423.1,3.0,5.0,569.5,3.0,4.0,984.6,3.0,4.0,363.3
4.0,6.0,42.1,4.0,6.0,205.3,4.0,6.0,264.7,3.0,6.0,421.4,3.0,6.0,316.4,3.0,5.0,367.1
5.0,2.0,45.7,5.0,1.0,250.2,5.0,1.0,185.4,5.0,1.0,344.3,4.0,1.0,532.1,4.0,1.0,268.7
5.0,3.0,39.3,5.0,3.0,501.7,5.0,2.0,400.6,5.0,2.0,501.7,4.0,2.0,721.6,4.0,2.0,363.3
5.0,4.0,103.1,5.0,4.0,521.5,5.0,4.0,537.5,5.0,3.0,666.8,4.0,3.0,1043.0,4.0,3.0,545.9
5.0,6.0,32.4,5.0,6.0,168.8,5.0,6.0,197.3,5.0,6.0,231.0,4.0,6.0,337.6,4.0,5.0,388.7
6.0,2.0,20.4,6.0,1.0,107.9,6.0,1.0,93.7,6.0,1.0,168.3,6.0,1.0,136.3,5.0,1.0,183.5
6.0,3.0,16.2,6.0,3.0,175.3,6.0,2.0,162.5,6.0,2.0,321.2,6.0,2.0,224.1,5.0,2.0,264.7
6.0,4.0,48.1,6.0,4.0,319.2,6.0,4.0,283.2,6.0,3.0,419.7,6.0,3.0,300.1,5.0,3.0,397.5
6.0,5.0,34.9,6.0,5.0,178.8,6.0,5.0,206.1,6.0,5.0,202.2,6.0,4.0,350.0,5.0,4.0,428.3
