1,鈴木 智啓,鈴木 智啓.1,2,井本 昌也,井本 昌也.1,3,竹田 辰也,竹田 辰也.1,4,後藤 陽介,後藤 陽介.1,5,烏野 賢太,烏野 賢太.1,6,木山 和幸,木山 和幸.1
2,3,7.3,1,3,12.9,1,2,15.6,1,2,117.3,1,2,欠場,1,2,194.3
2,4,21.3,1,4,33.9,1,4,25.8,1,3,110.9,1,3,欠場,1,3,184.3
2,5,欠場,1,5,欠場,1,5,欠場,1,5,欠場,1,4,欠場,1,4,312.8
2,6,27.3,1,6,44.2,1,6,31.2,1,6,135.7,1,6,欠場,1,5,欠場
3,2,7.2,3,1,19.0,2,1,20.9,2,1,156.0,2,1,欠場,2,1,250.6
3,4,13.8,3,4,35.6,2,4,34.1,2,3,136.8,2,3,欠場,2,3,180.0
3,5,欠場,3,5,欠場,2,5,欠場,2,5,欠場,2,4,欠場,2,4,331.3
3,6,18.6,3,6,38.9,2,6,38.2,2,6,172.6,2,6,欠場,2,5,欠場
4,2,42.9,4,1,121.0,4,1,58.3,3,1,144.2,3,1,欠場,3,1,239.1
4,3,40.6,4,3,90.6,4,2,58.2,3,2,145.8,3,2,欠場,3,2,193.2
4,5,欠場,4,5,欠場,4,5,欠場,3,5,欠場,3,4,欠場,3,4,316.4
4,6,61.0,4,6,155.1,4,6,70.9,3,6,151.9,3,6,欠場,3,5,欠場
5,2,欠場,5,1,欠場,5,1,欠場,5,1,欠場,4,1,欠場,4,1,344.2
5,3,欠場,5,3,欠場,5,2,欠場,5,2,欠場,4,2,欠場,4,2,324.5
5,4,欠場,5,4,欠場,5,4,欠場,5,3,欠場,4,3,欠場,4,3,317.2
5,6,欠場,5,6,欠場,5,6,欠場,5,6,欠場,4,6,欠場,4,5,欠場
6,2,58.9,6,1,135.7,6,1,78.6,6,1,141.7,6,1,欠場,5,1,欠場
6,3,52.3,6,3,99.4,6,2,71.7,6,2,145.1,6,2,欠場,5,2,欠場
6,4,92.6,6,4,199.6,6,4,108.3,6,3,152.8,6,3,欠場,5,3,欠場
6,5,欠場,6,5,欠場,6,5,欠場,6,5,欠場,6,4,欠場,5,4,欠場
