1,西山 貴浩,西山 貴浩.1,2,天野 友和,天野 友和.1,3,大上 卓人,大上 卓人.1,4,丸尾 義孝,丸尾 義孝.1,5,倉尾 大介,倉尾 大介.1,6,高野 心吾,高野 心吾.1
2.0,3.0,6.7,1.0,3.0,81.1,1.0,2.0,33.2,1.0,2.0,173.7,1.0,2.0,485.5,1.0,2.0,2178.0
2.0,4.0,12.0,1.0,4.0,119.5,1.0,4.0,23.7,1.0,3.0,130.6,1.0,3.0,437.5,1.0,3.0,2387.0
2.0,5.0,30.3,1.0,5.0,260.0,1.0,5.0,48.0,1.0,5.0,237.3,1.0,4.0,671.6,1.0,4.0,3253.0
2.0,6.0,74.0,1.0,6.0,412.5,1.0,6.0,134.0,1.0,6.0,385.5,1.0,6.0,931.2,1.0,5.0,3186.0
3.0,2.0,4.6,3.0,1.0,163.2,2.0,1.0,119.1,2.0,1.0,372.6,2.0,1.0,1014.0,2.0,1.0,3689.0
3.0,4.0,4.7,3.0,4.0,283.5,2.0,4.0,186.3,2.0,3.0,460.0,2.0,3.0,1593.0,2.0,3.0,3520.0
3.0,5.0,12.2,3.0,5.0,730.1,2.0,5.0,409.4,2.0,5.0,939.1,2.0,4.0,2254.0,2.0,4.0,4562.0
3.0,6.0,40.7,3.0,6.0,1155.0,2.0,6.0,715.9,2.0,6.0,1386.0,2.0,6.0,2294.0,2.0,5.0,4617.0
4.0,2.0,16.2,4.0,1.0,329.0,4.0,1.0,89.4,3.0,1.0,195.3,3.0,1.0,751.5,3.0,1.0,3267.0
4.0,3.0,12.8,4.0,3.0,404.1,4.0,2.0,168.7,3.0,2.0,373.3,3.0,2.0,1391.0,3.0,2.0,4380.0
4.0,5.0,35.4,4.0,5.0,953.0,4.0,5.0,221.4,3.0,5.0,523.4,3.0,4.0,1482.0,3.0,4.0,3253.0
4.0,6.0,77.7,4.0,6.0,1331.0,4.0,6.0,410.5,3.0,6.0,769.5,3.0,6.0,2067.0,3.0,5.0,4456.0
5.0,2.0,58.6,5.0,1.0,950.7,5.0,1.0,257.0,5.0,1.0,451.6,4.0,1.0,1082.0,4.0,1.0,4079.0
5.0,3.0,47.4,5.0,3.0,1268.0,5.0,2.0,488.9,5.0,2.0,816.7,4.0,2.0,2002.0,4.0,2.0,4190.0
5.0,4.0,79.5,5.0,4.0,1633.0,5.0,4.0,456.2,5.0,3.0,697.1,4.0,3.0,1644.0,4.0,3.0,4730.0
5.0,6.0,152.2,5.0,6.0,2372.0,5.0,6.0,910.3,5.0,6.0,928.9,4.0,6.0,2234.0,4.0,5.0,4482.0
6.0,2.0,276.0,6.0,1.0,1937.0,6.0,1.0,828.1,6.0,1.0,1371.0,6.0,1.0,2387.0,5.0,1.0,3603.0
6.0,3.0,239.2,6.0,3.0,2596.0,6.0,2.0,1679.0,6.0,2.0,2129.0,6.0,2.0,3212.0,5.0,2.0,4789.0
6.0,4.0,309.6,6.0,4.0,3035.0,6.0,4.0,1399.0,6.0,3.0,1694.0,6.0,3.0,3047.0,5.0,3.0,4213.0
6.0,5.0,323.1,6.0,5.0,3323.0,6.0,5.0,1640.0,6.0,5.0,2023.0,6.0,4.0,2920.0,5.0,4.0,4259.0
