1,竹田 辰也,竹田 辰也.1,2,國崎 良春,國崎 良春.1,3,倉尾 大介,倉尾 大介.1,4,坪口 竜也,坪口 竜也.1,5,谷川 将太,谷川 将太.1,6,宇田川　信一,宇田川　信一.1
2.0,3.0,7.5,1.0,3.0,60.3,1.0,2.0,65.7,1.0,2.0,67.5,1.0,2.0,427.1,1.0,2.0,1299.0
2.0,4.0,6.6,1.0,4.0,55.5,1.0,4.0,40.3,1.0,3.0,79.6,1.0,3.0,463.6,1.0,3.0,2302.0
2.0,5.0,27.0,1.0,5.0,161.1,1.0,5.0,80.1,1.0,5.0,88.9,1.0,4.0,356.6,1.0,4.0,1617.0
2.0,6.0,99.2,1.0,6.0,317.6,1.0,6.0,231.3,1.0,6.0,209.7,1.0,6.0,857.7,1.0,5.0,2463.0
3.0,2.0,8.7,3.0,1.0,168.9,2.0,1.0,161.7,2.0,1.0,143.1,2.0,1.0,784.7,2.0,1.0,2017.0
3.0,4.0,5.5,3.0,4.0,230.8,2.0,4.0,194.9,2.0,3.0,286.7,2.0,3.0,1722.0,2.0,3.0,3363.0
3.0,5.0,17.8,3.0,5.0,607.0,2.0,5.0,449.8,2.0,5.0,413.0,2.0,4.0,1157.0,2.0,4.0,3070.0
3.0,6.0,62.5,3.0,6.0,1224.0,2.0,6.0,1008.0,2.0,6.0,653.9,2.0,6.0,1908.0,2.0,5.0,3783.0
4.0,2.0,10.4,4.0,1.0,143.7,4.0,1.0,79.8,3.0,1.0,145.4,3.0,1.0,735.6,3.0,1.0,3162.0
4.0,3.0,9.7,4.0,3.0,279.8,4.0,2.0,155.1,3.0,2.0,309.7,3.0,2.0,1605.0,3.0,2.0,3026.0
4.0,5.0,20.9,4.0,5.0,452.7,4.0,5.0,182.8,3.0,5.0,293.4,3.0,4.0,1203.0,3.0,4.0,2825.0
4.0,6.0,71.7,4.0,6.0,773.2,4.0,6.0,435.9,3.0,6.0,623.1,3.0,6.0,1557.0,3.0,5.0,3473.0
5.0,2.0,55.9,5.0,1.0,572.6,5.0,1.0,306.6,5.0,1.0,188.8,4.0,1.0,375.6,4.0,1.0,1842.0
5.0,3.0,60.4,5.0,3.0,879.1,5.0,2.0,540.4,5.0,2.0,301.8,4.0,2.0,764.8,4.0,2.0,3363.0
5.0,4.0,55.0,5.0,4.0,600.2,5.0,4.0,335.2,5.0,3.0,309.7,4.0,3.0,1038.0,4.0,3.0,3026.0
5.0,6.0,224.6,5.0,6.0,2278.0,5.0,6.0,1038.0,5.0,6.0,377.6,4.0,6.0,1018.0,4.0,5.0,3070.0
6.0,2.0,378.3,6.0,1.0,1197.0,6.0,1.0,1133.0,6.0,1.0,607.0,6.0,1.0,1998.0,5.0,1.0,3591.0
6.0,3.0,377.0,6.0,3.0,2435.0,6.0,2.0,1908.0,6.0,2.0,882.8,6.0,2.0,2681.0,5.0,2.0,3210.0
6.0,4.0,335.7,6.0,4.0,1276.0,6.0,4.0,933.3,6.0,3.0,1075.0,6.0,3.0,2863.0,5.0,3.0,2751.0
6.0,5.0,491.5,6.0,5.0,2863.0,6.0,5.0,1546.0,6.0,5.0,770.4,6.0,4.0,2328.0,5.0,4.0,2902.0
