1,天野 友和,天野 友和.1,2,原田 雄次,原田 雄次.1,3,胡本 悟志,胡本 悟志.1,4,梅原 祥平,梅原 祥平.1,5,林 祐介,林 祐介.1,6,西山 貴浩,西山 貴浩.1
2.0,3.0,66.2,1.0,3.0,217.8,1.0,2.0,452.7,1.0,2.0,178.4,1.0,2.0,315.7,1.0,2.0,17.1
2.0,4.0,57.4,1.0,4.0,199.2,1.0,4.0,272.5,1.0,3.0,237.6,1.0,3.0,462.2,1.0,3.0,41.7
2.0,5.0,54.2,1.0,5.0,193.0,1.0,5.0,331.1,1.0,5.0,109.0,1.0,4.0,279.8,1.0,4.0,22.2
2.0,6.0,13.2,1.0,6.0,44.3,1.0,6.0,149.6,1.0,6.0,77.1,1.0,6.0,135.4,1.0,5.0,17.5
3.0,2.0,84.5,3.0,1.0,592.6,2.0,1.0,842.0,2.0,1.0,334.7,2.0,1.0,565.8,2.0,1.0,40.8
3.0,4.0,75.4,3.0,4.0,1009.0,2.0,4.0,1013.0,2.0,3.0,838.9,2.0,3.0,1287.0,2.0,3.0,185.4
3.0,5.0,87.5,3.0,5.0,1336.0,2.0,5.0,1232.0,2.0,5.0,469.7,2.0,4.0,985.6,2.0,4.0,113.2
3.0,6.0,27.5,3.0,6.0,558.3,2.0,6.0,689.9,2.0,6.0,286.4,2.0,6.0,524.1,2.0,5.0,91.5
4.0,2.0,78.3,4.0,1.0,436.5,4.0,1.0,498.1,3.0,1.0,436.1,3.0,1.0,870.5,3.0,1.0,109.3
4.0,3.0,111.7,4.0,3.0,969.1,4.0,2.0,1124.0,3.0,2.0,947.2,3.0,2.0,1505.0,3.0,2.0,244.2
4.0,5.0,68.8,4.0,5.0,1036.0,4.0,5.0,825.4,3.0,5.0,580.7,3.0,4.0,1219.0,3.0,4.0,171.7
4.0,6.0,28.3,4.0,6.0,406.9,4.0,6.0,470.7,3.0,6.0,419.1,3.0,6.0,883.8,3.0,5.0,182.8
5.0,2.0,96.4,5.0,1.0,536.2,5.0,1.0,692.0,5.0,1.0,128.3,4.0,1.0,290.9,4.0,1.0,38.2
5.0,3.0,151.9,5.0,3.0,1203.0,5.0,2.0,1161.0,5.0,2.0,274.8,4.0,2.0,582.9,4.0,2.0,90.1
5.0,4.0,101.1,5.0,4.0,1152.0,5.0,4.0,1015.0,5.0,3.0,334.7,4.0,3.0,716.7,4.0,3.0,130.8
5.0,6.0,36.3,5.0,6.0,384.9,5.0,6.0,538.1,5.0,6.0,114.9,4.0,6.0,240.5,4.0,5.0,48.9
6.0,2.0,8.7,6.0,1.0,65.9,6.0,1.0,160.8,6.0,1.0,87.8,6.0,1.0,152.2,5.0,1.0,39.3
6.0,3.0,17.3,6.0,3.0,287.3,6.0,2.0,447.0,6.0,2.0,200.3,6.0,2.0,353.4,5.0,2.0,89.2
6.0,4.0,12.0,6.0,4.0,242.1,6.0,4.0,275.3,6.0,3.0,273.6,6.0,3.0,545.1,5.0,3.0,156.2
6.0,5.0,11.3,6.0,5.0,186.9,6.0,5.0,274.6,6.0,5.0,114.1,6.0,4.0,251.9,5.0,4.0,67.3
