1,金田 大輔,金田 大輔.1,2,山田 真聖,山田 真聖.1,3,堀本 裕也,堀本 裕也.1,4,木山 和幸,木山 和幸.1,5,丸尾 義孝,丸尾 義孝.1,6,原田 雄次,原田 雄次.1
2.0,3.0,54.3,1.0,3.0,165.1,1.0,2.0,242.1,1.0,2.0,86.9,1.0,2.0,71.7,1.0,2.0,540.2
2.0,4.0,27.7,1.0,4.0,147.8,1.0,4.0,165.7,1.0,3.0,123.9,1.0,3.0,99.5,1.0,3.0,763.6
2.0,5.0,24.4,1.0,5.0,104.9,1.0,5.0,118.8,1.0,5.0,31.1,1.0,4.0,29.9,1.0,4.0,317.0
2.0,6.0,50.9,1.0,6.0,185.7,1.0,6.0,213.4,1.0,6.0,48.5,1.0,6.0,35.2,1.0,5.0,247.3
3.0,2.0,57.5,3.0,1.0,319.5,2.0,1.0,421.2,2.0,1.0,178.4,2.0,1.0,144.1,2.0,1.0,664.5
3.0,4.0,39.5,3.0,4.0,419.0,2.0,4.0,356.1,2.0,3.0,326.1,2.0,3.0,245.4,2.0,3.0,1087.0
3.0,5.0,27.4,3.0,5.0,352.1,2.0,5.0,352.9,2.0,5.0,141.9,2.0,4.0,174.9,2.0,4.0,822.9
3.0,6.0,61.2,3.0,6.0,573.3,2.0,6.0,485.7,2.0,6.0,196.5,2.0,6.0,180.6,2.0,5.0,835.9
4.0,2.0,30.8,4.0,1.0,234.2,4.0,1.0,215.5,3.0,1.0,236.0,3.0,1.0,194.4,3.0,1.0,1073.0
4.0,3.0,45.4,4.0,3.0,371.0,4.0,2.0,349.8,3.0,2.0,333.6,3.0,2.0,371.0,3.0,2.0,1470.0
4.0,5.0,14.3,4.0,5.0,212.3,4.0,5.0,141.1,3.0,5.0,153.0,3.0,4.0,224.3,3.0,4.0,951.0
4.0,6.0,27.0,4.0,6.0,319.5,4.0,6.0,230.1,3.0,6.0,234.2,3.0,6.0,246.6,3.0,5.0,822.9
5.0,2.0,25.5,5.0,1.0,181.1,5.0,1.0,182.3,5.0,1.0,25.4,4.0,1.0,34.2,4.0,1.0,371.0
5.0,3.0,31.8,5.0,3.0,359.3,5.0,2.0,335.0,5.0,2.0,64.4,4.0,2.0,91.4,4.0,2.0,650.9
5.0,4.0,14.9,5.0,4.0,238.8,5.0,4.0,178.4,5.0,3.0,87.7,4.0,3.0,119.4,4.0,3.0,863.2
5.0,6.0,18.6,5.0,6.0,271.5,5.0,6.0,216.9,5.0,6.0,23.0,4.0,6.0,27.2,4.0,5.0,154.9
6.0,2.0,113.2,6.0,1.0,408.3,6.0,1.0,514.0,6.0,1.0,82.2,6.0,1.0,61.8,5.0,1.0,314.5
6.0,3.0,117.1,6.0,3.0,767.2,6.0,2.0,818.7,6.0,2.0,178.4,6.0,2.0,167.1,5.0,2.0,618.0
6.0,4.0,61.0,6.0,4.0,581.7,6.0,4.0,475.5,6.0,3.0,226.8,6.0,3.0,209.5,5.0,3.0,709.0
6.0,5.0,50.0,6.0,5.0,448.6,6.0,5.0,359.3,6.0,5.0,50.3,6.0,4.0,53.8,5.0,4.0,153.7
