1,渡辺 空依,渡辺 空依.1,2,富永　夏哉人,富永　夏哉人.1,3,三馬 崇史,三馬 崇史.1,4,大森 翼,大森 翼.1,5,重冨 勇哉,重冨 勇哉.1,6,西川 拓利,西川 拓利.1
2.0,3.0,23.2,1.0,3.0,96.1,1.0,2.0,70.3,1.0,2.0,203.7,1.0,2.0,182.5,1.0,2.0,327.3
2.0,4.0,43.1,1.0,4.0,125.5,1.0,4.0,24.2,1.0,3.0,95.9,1.0,3.0,83.1,1.0,3.0,169.6
2.0,5.0,38.8,1.0,5.0,119.8,1.0,5.0,22.3,1.0,5.0,118.6,1.0,4.0,164.0,1.0,4.0,253.8
2.0,6.0,61.2,1.0,6.0,159.0,1.0,6.0,35.9,1.0,6.0,121.6,1.0,6.0,110.7,1.0,5.0,272.1
3.0,2.0,16.7,3.0,1.0,174.9,2.0,1.0,131.8,2.0,1.0,314.3,2.0,1.0,306.4,2.0,1.0,678.6
3.0,4.0,9.2,3.0,4.0,343.7,2.0,4.0,187.1,2.0,3.0,425.0,2.0,3.0,446.6,2.0,3.0,790.6
3.0,5.0,9.2,3.0,5.0,266.6,2.0,5.0,148.1,2.0,5.0,442.9,2.0,4.0,465.0,2.0,4.0,786.6
3.0,6.0,18.4,3.0,6.0,330.7,2.0,6.0,196.4,2.0,6.0,451.7,2.0,6.0,349.8,2.0,5.0,1013.0
4.0,2.0,55.2,4.0,1.0,294.4,4.0,1.0,44.7,3.0,1.0,96.0,3.0,1.0,111.8,3.0,1.0,221.4
4.0,3.0,23.8,4.0,3.0,446.6,4.0,2.0,144.1,3.0,2.0,290.1,3.0,2.0,370.3,3.0,2.0,650.7
4.0,5.0,44.0,4.0,5.0,537.8,4.0,5.0,55.6,3.0,5.0,120.5,3.0,4.0,239.5,3.0,4.0,305.2
4.0,6.0,43.9,4.0,6.0,537.8,4.0,6.0,53.3,3.0,6.0,111.1,3.0,6.0,157.1,3.0,5.0,345.2
5.0,2.0,52.1,5.0,1.0,257.1,5.0,1.0,50.2,5.0,1.0,131.6,4.0,1.0,251.3,4.0,1.0,370.3
5.0,3.0,23.4,5.0,3.0,430.8,5.0,2.0,160.0,5.0,2.0,309.4,4.0,2.0,480.6,4.0,2.0,868.7
5.0,4.0,55.4,5.0,4.0,480.6,5.0,4.0,75.4,5.0,3.0,162.6,4.0,3.0,294.4,4.0,3.0,356.1
5.0,6.0,48.7,5.0,6.0,397.2,5.0,6.0,71.0,5.0,6.0,134.5,4.0,6.0,211.3,4.0,5.0,503.5
6.0,2.0,124.9,6.0,1.0,406.4,6.0,1.0,90.1,6.0,1.0,195.4,6.0,1.0,184.5,5.0,1.0,366.0
6.0,3.0,55.3,6.0,3.0,605.8,6.0,2.0,263.5,6.0,2.0,374.6,6.0,2.0,371.1,5.0,2.0,786.6
6.0,4.0,83.7,6.0,4.0,794.5,6.0,4.0,114.5,6.0,3.0,211.9,6.0,3.0,226.2,5.0,3.0,386.6
6.0,5.0,87.6,6.0,5.0,653.3,6.0,5.0,133.8,6.0,5.0,223.0,6.0,4.0,266.1,5.0,4.0,500.3
