1,上瀧 絢也,上瀧 絢也.1,2,大澤 風葵,大澤 風葵.1,3,重冨 勇哉,重冨 勇哉.1,4,久永 祥平,久永 祥平.1,5,永松 良教,永松 良教.1,6,高山 敬悟,高山 敬悟.1
2.0,3.0,18.8,1.0,3.0,11.4,1.0,2.0,123.1,1.0,2.0,44.5,1.0,2.0,429.9,1.0,2.0,1404.0
2.0,4.0,12.3,1.0,4.0,8.3,1.0,4.0,149.9,1.0,3.0,147.8,1.0,3.0,810.6,1.0,3.0,1902.0
2.0,5.0,58.7,1.0,5.0,38.1,1.0,5.0,352.1,1.0,5.0,101.6,1.0,4.0,546.4,1.0,4.0,1412.0
2.0,6.0,94.0,1.0,6.0,48.2,1.0,6.0,327.2,1.0,6.0,140.2,1.0,6.0,843.7,1.0,5.0,2217.0
3.0,2.0,41.5,3.0,1.0,24.5,2.0,1.0,96.3,2.0,1.0,34.3,2.0,1.0,419.2,2.0,1.0,1348.0
3.0,4.0,52.4,3.0,4.0,15.4,2.0,4.0,65.0,2.0,3.0,56.0,2.0,3.0,607.0,2.0,3.0,1328.0
3.0,5.0,157.1,3.0,5.0,59.8,2.0,5.0,176.4,2.0,5.0,42.7,2.0,4.0,253.1,2.0,4.0,516.9
3.0,6.0,230.3,3.0,6.0,75.5,2.0,6.0,180.9,2.0,6.0,59.5,2.0,6.0,570.8,2.0,5.0,1404.0
4.0,2.0,24.9,4.0,1.0,12.3,4.0,1.0,201.4,3.0,1.0,211.7,3.0,1.0,1334.0,3.0,1.0,1889.0
4.0,3.0,56.9,4.0,3.0,15.6,4.0,2.0,101.5,3.0,2.0,100.5,3.0,2.0,897.3,3.0,2.0,1646.0
4.0,5.0,88.2,4.0,5.0,24.8,4.0,5.0,225.6,3.0,5.0,258.4,3.0,4.0,885.5,3.0,4.0,1161.0
4.0,6.0,145.7,4.0,6.0,34.2,4.0,6.0,257.2,3.0,6.0,271.8,3.0,6.0,1474.0,3.0,5.0,2079.0
5.0,2.0,137.7,5.0,1.0,110.7,5.0,1.0,755.8,5.0,1.0,112.4,4.0,1.0,479.1,4.0,1.0,1397.0
5.0,3.0,266.4,5.0,3.0,144.6,5.0,2.0,423.8,5.0,2.0,64.7,4.0,2.0,251.7,4.0,2.0,545.3
5.0,4.0,191.1,5.0,4.0,75.7,5.0,4.0,516.9,5.0,3.0,239.5,4.0,3.0,747.4,4.0,3.0,1052.0
5.0,6.0,398.0,5.0,6.0,163.0,5.0,6.0,900.3,5.0,6.0,112.1,4.0,6.0,480.8,4.0,5.0,1334.0
6.0,2.0,259.4,6.0,1.0,333.3,6.0,1.0,536.6,6.0,1.0,282.7,6.0,1.0,1242.0,5.0,1.0,2129.0
6.0,3.0,393.4,6.0,3.0,281.5,6.0,2.0,374.7,6.0,2.0,137.5,6.0,2.0,1039.0,5.0,2.0,1666.0
6.0,4.0,324.4,6.0,4.0,164.7,6.0,4.0,239.3,6.0,3.0,386.0,6.0,3.0,1753.0,5.0,3.0,2484.0
6.0,5.0,452.4,6.0,5.0,304.5,6.0,5.0,637.3,6.0,5.0,222.8,6.0,4.0,868.3,5.0,4.0,1355.0
