1,高山 敬悟,高山 敬悟.1,2,坂本 雄紀,坂本 雄紀.1,3,藤原 孝斗,藤原 孝斗.1,4,中村 駿平,中村 駿平.1,5,仲本 舜,仲本 舜.1,6,富永　夏哉人,富永　夏哉人.1
2.0,3.0,27.5,1.0,3.0,23.7,1.0,2.0,121.5,1.0,2.0,54.3,1.0,2.0,182.8,1.0,2.0,481.0
2.0,4.0,23.9,1.0,4.0,22.2,1.0,4.0,169.2,1.0,3.0,126.7,1.0,3.0,329.0,1.0,3.0,668.7
2.0,5.0,57.3,1.0,5.0,43.5,1.0,5.0,222.6,1.0,5.0,76.4,1.0,4.0,227.5,1.0,4.0,466.0
2.0,6.0,104.6,1.0,6.0,81.8,1.0,6.0,312.1,1.0,6.0,86.0,1.0,6.0,299.1,1.0,5.0,1134.0
3.0,2.0,49.4,3.0,1.0,35.8,2.0,1.0,112.4,2.0,1.0,43.7,2.0,1.0,185.6,2.0,1.0,486.7
3.0,4.0,62.8,3.0,4.0,20.1,2.0,4.0,63.2,2.0,3.0,44.0,2.0,3.0,148.0,2.0,3.0,467.3
3.0,5.0,112.3,3.0,5.0,28.1,2.0,5.0,90.4,2.0,5.0,30.3,2.0,4.0,85.6,2.0,4.0,232.3
3.0,6.0,181.3,3.0,6.0,64.5,2.0,6.0,149.7,2.0,6.0,43.5,2.0,6.0,138.6,2.0,5.0,507.7
4.0,2.0,45.7,4.0,1.0,28.0,4.0,1.0,191.9,3.0,1.0,180.7,3.0,1.0,518.9,3.0,1.0,929.4
4.0,3.0,84.1,4.0,3.0,20.1,4.0,2.0,90.7,3.0,2.0,77.4,3.0,2.0,221.1,3.0,2.0,721.5
4.0,5.0,98.3,4.0,5.0,20.0,4.0,5.0,147.1,3.0,5.0,117.4,3.0,4.0,285.6,3.0,4.0,652.8
4.0,6.0,112.9,4.0,6.0,41.8,4.0,6.0,209.5,3.0,6.0,145.0,3.0,6.0,373.9,3.0,5.0,1075.0
5.0,2.0,123.6,5.0,1.0,85.0,5.0,1.0,315.7,5.0,1.0,66.7,4.0,1.0,178.8,4.0,1.0,368.8
5.0,3.0,183.0,5.0,3.0,59.8,5.0,2.0,161.9,5.0,2.0,30.2,4.0,2.0,71.0,4.0,2.0,208.2
5.0,4.0,182.3,5.0,4.0,38.5,5.0,4.0,180.7,5.0,3.0,87.4,4.0,3.0,182.8,4.0,3.0,371.3
5.0,6.0,299.1,5.0,6.0,90.9,5.0,6.0,292.2,5.0,6.0,40.9,4.0,6.0,93.9,4.0,5.0,315.7
6.0,2.0,269.7,6.0,1.0,207.9,6.0,1.0,522.2,6.0,1.0,96.5,6.0,1.0,426.2,5.0,1.0,1068.0
6.0,3.0,335.0,6.0,3.0,158.0,6.0,2.0,373.9,6.0,2.0,58.3,6.0,2.0,213.3,5.0,2.0,569.2
6.0,4.0,271.4,6.0,4.0,113.6,6.0,4.0,406.2,6.0,3.0,140.9,6.0,3.0,396.4,5.0,3.0,861.3
6.0,5.0,500.0,6.0,5.0,169.4,6.0,5.0,451.9,6.0,5.0,75.0,6.0,4.0,205.3,5.0,4.0,424.0
