1,西丸　侑太朗,西丸　侑太朗.1,2,久永 祥平,久永 祥平.1,3,西川 拓利,西川 拓利.1,4,田中 宏典,田中 宏典.1,5,前原 大道,前原 大道.1,6,山口 晃朋,山口 晃朋.1
2.0,3.0,15.4,1.0,3.0,31.5,1.0,2.0,84.9,1.0,2.0,315.6,1.0,2.0,32.2,1.0,2.0,152.4
2.0,4.0,42.7,1.0,4.0,77.4,1.0,4.0,156.4,1.0,3.0,480.5,1.0,3.0,85.3,1.0,3.0,224.9
2.0,5.0,9.8,1.0,5.0,17.5,1.0,5.0,82.8,1.0,5.0,279.4,1.0,4.0,162.5,1.0,4.0,333.8
2.0,6.0,19.8,1.0,6.0,40.6,1.0,6.0,101.4,1.0,6.0,450.8,1.0,6.0,58.0,1.0,5.0,140.3
3.0,2.0,25.7,3.0,1.0,81.6,2.0,1.0,115.2,2.0,1.0,368.6,2.0,1.0,31.8,2.0,1.0,201.3
3.0,4.0,63.4,3.0,4.0,228.1,2.0,4.0,220.3,2.0,3.0,526.3,2.0,3.0,92.2,2.0,3.0,317.4
3.0,5.0,25.5,3.0,5.0,93.6,2.0,5.0,125.9,2.0,5.0,430.2,2.0,4.0,165.3,2.0,4.0,466.6
3.0,6.0,36.4,3.0,6.0,140.4,2.0,6.0,156.9,2.0,6.0,533.8,2.0,6.0,67.0,2.0,5.0,193.7
4.0,2.0,92.2,4.0,1.0,230.7,4.0,1.0,350.9,3.0,1.0,565.8,3.0,1.0,143.9,3.0,1.0,259.2
4.0,3.0,104.4,4.0,3.0,349.8,4.0,2.0,384.2,3.0,2.0,621.7,3.0,2.0,158.7,3.0,2.0,339.3
4.0,5.0,92.7,4.0,5.0,234.5,4.0,5.0,326.1,3.0,5.0,501.8,3.0,4.0,321.0,3.0,4.0,530.0
4.0,6.0,138.2,4.0,6.0,358.1,4.0,6.0,395.6,3.0,6.0,620.0,3.0,6.0,190.5,3.0,5.0,329.9
5.0,2.0,14.1,5.0,1.0,30.2,5.0,1.0,117.1,5.0,1.0,321.4,4.0,1.0,274.6,4.0,1.0,578.8
5.0,3.0,29.8,5.0,3.0,66.8,5.0,2.0,128.5,5.0,2.0,395.6,4.0,2.0,326.1,4.0,2.0,677.6
5.0,4.0,63.8,5.0,4.0,147.2,5.0,4.0,222.5,5.0,3.0,541.4,4.0,3.0,418.3,4.0,3.0,820.0
5.0,6.0,31.2,5.0,6.0,66.1,5.0,6.0,145.4,5.0,6.0,449.0,4.0,6.0,390.9,4.0,5.0,548.0
6.0,2.0,47.6,6.0,1.0,109.2,6.0,1.0,145.6,6.0,1.0,570.1,6.0,1.0,92.0,5.0,1.0,143.7
6.0,3.0,56.5,6.0,3.0,176.2,6.0,2.0,179.2,6.0,2.0,654.1,6.0,2.0,93.5,5.0,2.0,162.7
6.0,4.0,104.9,6.0,4.0,290.5,6.0,4.0,302.9,6.0,3.0,767.2,6.0,3.0,166.4,5.0,3.0,276.6
6.0,5.0,44.9,6.0,5.0,107.3,6.0,5.0,166.2,6.0,5.0,567.2,6.0,4.0,261.9,5.0,4.0,339.3
