1,前原 大道,前原 大道.1,2,登玉 隼百,登玉 隼百.1,3,坂井 滉哉,坂井 滉哉.1,4,藤本 元輝,藤本 元輝.1,5,森清 友翔,森清 友翔.1,6,藤原 孝斗,藤原 孝斗.1
2.0,3.0,5.1,1.0,3.0,30.5,1.0,2.0,116.6,1.0,2.0,102.2,1.0,2.0,219.4,1.0,2.0,250.5
2.0,4.0,6.6,1.0,4.0,40.0,1.0,4.0,165.1,1.0,3.0,156.8,1.0,3.0,388.6,1.0,3.0,367.7
2.0,5.0,18.2,1.0,5.0,68.7,1.0,5.0,201.9,1.0,5.0,124.6,1.0,4.0,289.7,1.0,4.0,381.9
2.0,6.0,10.6,1.0,6.0,39.4,1.0,6.0,154.3,1.0,6.0,103.1,1.0,6.0,253.3,1.0,5.0,582.9
3.0,2.0,13.7,3.0,1.0,105.3,2.0,1.0,166.8,2.0,1.0,193.0,2.0,1.0,418.3,2.0,1.0,396.7
3.0,4.0,25.4,3.0,4.0,180.7,2.0,4.0,306.3,2.0,3.0,332.8,2.0,3.0,768.7,2.0,3.0,759.2
3.0,5.0,39.9,3.0,5.0,273.0,2.0,5.0,417.6,2.0,5.0,367.7,2.0,4.0,632.3,2.0,4.0,814.5
3.0,6.0,28.9,3.0,6.0,212.9,2.0,6.0,317.0,2.0,6.0,296.3,2.0,6.0,540.6,2.0,5.0,891.3
4.0,2.0,18.9,4.0,1.0,136.3,4.0,1.0,305.5,3.0,1.0,305.2,3.0,1.0,717.2,3.0,1.0,643.9
4.0,3.0,31.9,4.0,3.0,237.4,4.0,2.0,456.4,3.0,2.0,477.6,3.0,2.0,1008.0,3.0,2.0,924.8
4.0,5.0,38.2,4.0,5.0,289.4,4.0,5.0,480.4,3.0,5.0,552.8,3.0,4.0,946.1,3.0,4.0,566.8
4.0,6.0,33.4,4.0,6.0,251.0,4.0,6.0,244.5,3.0,6.0,262.8,3.0,6.0,785.9,3.0,5.0,1322.0
5.0,2.0,41.8,5.0,1.0,265.0,5.0,1.0,452.2,5.0,1.0,188.9,4.0,1.0,405.2,4.0,1.0,602.9
5.0,3.0,70.1,5.0,3.0,462.4,5.0,2.0,638.9,5.0,2.0,266.5,4.0,2.0,588.5,4.0,2.0,901.1
5.0,4.0,65.4,5.0,4.0,427.8,5.0,4.0,663.0,5.0,3.0,434.6,4.0,3.0,872.3,4.0,3.0,607.4
5.0,6.0,67.5,5.0,6.0,428.5,5.0,6.0,559.0,5.0,6.0,195.3,4.0,6.0,384.9,4.0,5.0,788.4
6.0,2.0,40.2,6.0,1.0,217.8,6.0,1.0,342.6,6.0,1.0,239.7,6.0,1.0,503.0,5.0,1.0,836.7
6.0,3.0,60.4,6.0,3.0,384.3,6.0,2.0,565.5,6.0,2.0,381.3,6.0,2.0,657.7,5.0,2.0,1078.0
6.0,4.0,68.5,6.0,4.0,397.4,6.0,4.0,404.6,6.0,3.0,339.7,6.0,3.0,911.1,5.0,3.0,1268.0
6.0,5.0,94.2,6.0,5.0,486.1,6.0,5.0,704.8,6.0,5.0,283.7,6.0,4.0,523.4,5.0,4.0,768.7
