1,木谷 賢太,木谷 賢太.1,2,登玉 隼百,登玉 隼百.1,3,村松 栄太,村松 栄太.1,4,板橋 侑我,板橋 侑我.1,5,眞崎 武蔵,眞崎 武蔵.1,6,仲本 舜,仲本 舜.1
2.0,3.0,11.9,1.0,3.0,33.6,1.0,2.0,123.3,1.0,2.0,19.0,1.0,2.0,270.2,1.0,2.0,1015.0
2.0,4.0,6.2,1.0,4.0,15.3,1.0,4.0,92.0,1.0,3.0,40.2,1.0,3.0,383.7,1.0,3.0,1803.0
2.0,5.0,37.0,1.0,5.0,67.5,1.0,5.0,191.2,1.0,5.0,44.7,1.0,4.0,259.0,1.0,4.0,1037.0
2.0,6.0,49.6,1.0,6.0,92.6,1.0,6.0,310.5,1.0,6.0,55.2,1.0,6.0,456.0,1.0,5.0,1875.0
3.0,2.0,24.3,3.0,1.0,120.7,2.0,1.0,192.3,2.0,1.0,34.1,2.0,1.0,486.5,2.0,1.0,1368.0
3.0,4.0,16.9,3.0,4.0,135.5,2.0,4.0,192.6,2.0,3.0,101.4,2.0,3.0,845.3,2.0,3.0,2803.0
3.0,5.0,52.3,3.0,5.0,337.5,2.0,5.0,443.1,2.0,5.0,91.9,2.0,4.0,556.3,2.0,4.0,1215.0
3.0,6.0,92.4,3.0,6.0,461.9,2.0,6.0,591.2,2.0,6.0,127.2,2.0,6.0,928.4,2.0,5.0,3292.0
4.0,2.0,7.3,4.0,1.0,32.0,4.0,1.0,129.6,3.0,1.0,116.9,3.0,1.0,709.7,3.0,1.0,2949.0
4.0,3.0,13.8,4.0,3.0,86.3,4.0,2.0,175.0,3.0,2.0,184.9,3.0,2.0,1076.0,3.0,2.0,3292.0
4.0,5.0,28.6,4.0,5.0,140.5,4.0,5.0,261.4,3.0,5.0,250.1,3.0,4.0,925.4,3.0,4.0,3111.0
4.0,6.0,31.4,4.0,6.0,170.5,4.0,6.0,376.5,3.0,6.0,364.4,3.0,6.0,1258.0,3.0,5.0,4045.0
5.0,2.0,88.3,5.0,1.0,257.9,5.0,1.0,377.0,5.0,1.0,76.6,4.0,1.0,322.5,4.0,1.0,1101.0
5.0,3.0,119.7,5.0,3.0,583.8,5.0,2.0,594.9,5.0,2.0,98.3,4.0,2.0,408.6,4.0,2.0,1220.0
5.0,4.0,90.2,5.0,4.0,361.6,5.0,4.0,461.2,5.0,3.0,223.1,4.0,3.0,667.8,4.0,3.0,2803.0
5.0,6.0,198.8,5.0,6.0,759.2,5.0,6.0,680.7,5.0,6.0,118.9,4.0,6.0,518.6,4.0,5.0,1716.0
6.0,2.0,197.2,6.0,1.0,429.0,6.0,1.0,940.8,6.0,1.0,163.8,6.0,1.0,1060.0,5.0,1.0,2441.0
6.0,3.0,303.1,6.0,3.0,1072.0,6.0,2.0,1155.0,6.0,2.0,190.9,6.0,2.0,1215.0,5.0,2.0,2889.0
6.0,4.0,166.9,6.0,4.0,512.0,6.0,4.0,1072.0,6.0,3.0,458.9,6.0,3.0,1231.0,5.0,3.0,3539.0
6.0,5.0,379.6,6.0,5.0,993.6,6.0,5.0,1137.0,6.0,5.0,213.5,6.0,4.0,940.8,5.0,4.0,1900.0
