1,中野 仁照,中野 仁照.1,2,藤本 元輝,藤本 元輝.1,3,品川　二千翔,品川　二千翔.1,4,藤原 孝斗,藤原 孝斗.1,5,高山 敬悟,高山 敬悟.1,6,畑田 汰一,畑田 汰一.1
2,3,欠場,1,3,欠場,1,2,欠場,1,2,欠場,1,2,欠場,1,2,欠場
2,4,欠場,1,4,欠場,1,4,55.1,1,3,107.7,1,3,101.3,1,3,17.6
2,5,欠場,1,5,欠場,1,5,80.9,1,5,165.9,1,4,134.6,1,4,26.6
2,6,欠場,1,6,欠場,1,6,28.0,1,6,68.8,1,6,51.2,1,5,31.3
3,2,欠場,3,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場,2,1,欠場
3,4,12.3,3,4,欠場,2,4,欠場,2,3,欠場,2,3,欠場,2,3,欠場
3,5,22.6,3,5,欠場,2,5,欠場,2,5,欠場,2,4,欠場,2,4,欠場
3,6,7.5,3,6,欠場,2,6,欠場,2,6,欠場,2,6,欠場,2,5,欠場
4,2,欠場,4,1,欠場,4,1,172.6,3,1,262.9,3,1,203.0,3,1,40.1
4,3,19.1,4,3,欠場,4,2,欠場,3,2,欠場,3,2,欠場,3,2,欠場
4,5,30.3,4,5,欠場,4,5,344.7,3,5,501.4,3,4,454.2,3,4,94.2
4,6,12.9,4,6,欠場,4,6,168.7,3,6,226.5,3,6,211.6,3,5,107.7
5,2,欠場,5,1,欠場,5,1,193.5,5,1,283.6,4,1,281.0,4,1,86.6
5,3,36.3,5,3,欠場,5,2,欠場,5,2,欠場,4,2,欠場,4,2,欠場
5,4,47.5,5,4,欠場,5,4,413.8,5,3,512.0,4,3,445.0,4,3,132.5
5,6,21.4,5,6,欠場,5,6,220.9,5,6,242.8,4,6,244.3,4,5,152.5
6,2,欠場,6,1,欠場,6,1,51.5,6,1,111.4,6,1,49.0,5,1,57.7
6,3,7.2,6,3,欠場,6,2,欠場,6,2,欠場,6,2,欠場,5,2,欠場
6,4,11.2,6,4,欠場,6,4,124.7,6,3,171.1,6,3,95.9,5,3,106.7
6,5,14.8,6,5,欠場,6,5,154.3,6,5,196.9,6,4,131.0,5,4,139.5
