1,尾上 雅也,尾上 雅也.1,2,為本 智也,為本 智也.1,3,金子 順一,金子 順一.1,4,横田 貴満,横田 貴満.1,5,高木 圭大,高木 圭大.1,6,川辺 郭人,川辺 郭人.1
2.0,3.0,10.1,1.0,3.0,41.7,1.0,2.0,212.8,1.0,2.0,32.6,1.0,2.0,191.3,1.0,2.0,1717.0
2.0,4.0,3.5,1.0,4.0,18.6,1.0,4.0,259.1,1.0,3.0,131.1,1.0,3.0,400.0,1.0,3.0,4854.0
2.0,5.0,12.4,1.0,5.0,46.4,1.0,5.0,363.7,1.0,5.0,52.0,1.0,4.0,220.4,1.0,4.0,1802.0
2.0,6.0,141.0,1.0,6.0,335.6,1.0,6.0,1157.0,1.0,6.0,319.9,1.0,6.0,640.6,1.0,5.0,2315.0
3.0,2.0,22.4,3.0,1.0,125.5,2.0,1.0,271.4,2.0,1.0,60.8,2.0,1.0,293.5,2.0,1.0,3944.0
3.0,4.0,23.9,3.0,4.0,157.1,2.0,4.0,336.5,2.0,3.0,251.9,2.0,3.0,617.1,2.0,3.0,5736.0
3.0,5.0,45.8,3.0,5.0,212.1,2.0,5.0,428.5,2.0,5.0,112.8,2.0,4.0,442.8,2.0,4.0,3824.0
3.0,6.0,300.4,3.0,6.0,891.9,2.0,6.0,1442.0,2.0,6.0,621.7,2.0,6.0,1493.0,2.0,5.0,4428.0
4.0,2.0,5.8,4.0,1.0,45.3,4.0,1.0,384.7,3.0,1.0,345.3,3.0,1.0,691.5,3.0,1.0,6310.0
4.0,3.0,20.3,4.0,3.0,144.4,4.0,2.0,459.7,3.0,2.0,432.2,3.0,2.0,749.0,3.0,2.0,6642.0
4.0,5.0,14.2,4.0,5.0,120.6,4.0,5.0,791.2,3.0,5.0,623.2,3.0,4.0,1765.0,3.0,4.0,6472.0
4.0,6.0,156.2,4.0,6.0,620.1,4.0,6.0,1869.0,3.0,6.0,1321.0,3.0,6.0,2359.0,3.0,5.0,5487.0
5.0,2.0,34.1,5.0,1.0,181.2,5.0,1.0,568.5,5.0,1.0,79.6,4.0,1.0,256.7,4.0,1.0,3236.0
5.0,3.0,79.5,5.0,3.0,353.5,5.0,2.0,565.9,5.0,2.0,105.6,4.0,2.0,332.5,4.0,2.0,3658.0
5.0,4.0,41.7,5.0,4.0,243.4,5.0,4.0,1196.0,5.0,3.0,376.1,4.0,3.0,1043.0,4.0,3.0,7011.0
5.0,6.0,304.4,5.0,6.0,1262.0,5.0,6.0,1842.0,5.0,6.0,363.7,4.0,6.0,1026.0,4.0,5.0,3767.0
6.0,2.0,473.5,6.0,1.0,873.4,6.0,1.0,2233.0,6.0,1.0,876.4,6.0,1.0,2337.0,5.0,1.0,5048.0
6.0,3.0,959.7,6.0,3.0,2294.0,6.0,2.0,2836.0,6.0,2.0,1107.0,6.0,2.0,2935.0,5.0,2.0,3824.0
6.0,4.0,588.3,6.0,4.0,1607.0,6.0,4.0,2804.0,6.0,3.0,1694.0,6.0,3.0,3321.0,5.0,3.0,5487.0
6.0,5.0,729.5,6.0,5.0,2403.0,6.0,5.0,2969.0,6.0,5.0,855.6,6.0,4.0,2450.0,5.0,4.0,3883.0
