1,熊本 英一,熊本 英一.1,2,浮田 圭浩,浮田 圭浩.1,3,高木 圭大,高木 圭大.1,4,荻野 裕介,荻野 裕介.1,5,齊藤 廉,齊藤 廉.1,6,花田 和明,花田 和明.1
2.0,3.0,15.0,1.0,3.0,25.5,1.0,2.0,51.6,1.0,2.0,100.9,1.0,2.0,784.5,1.0,2.0,66.5
2.0,4.0,21.6,1.0,4.0,15.4,1.0,4.0,46.5,1.0,3.0,113.4,1.0,3.0,922.5,1.0,3.0,103.3
2.0,5.0,161.4,1.0,5.0,236.6,1.0,5.0,187.2,1.0,5.0,452.9,1.0,4.0,1403.0,1.0,4.0,94.8
2.0,6.0,17.1,1.0,6.0,20.2,1.0,6.0,63.0,1.0,6.0,138.3,1.0,6.0,967.3,1.0,5.0,516.2
3.0,2.0,29.8,3.0,1.0,46.7,2.0,1.0,58.3,2.0,1.0,107.3,2.0,1.0,1294.0,2.0,1.0,78.2
3.0,4.0,49.5,3.0,4.0,37.4,2.0,4.0,37.9,2.0,3.0,100.6,2.0,3.0,1186.0,2.0,3.0,86.8
3.0,5.0,200.8,3.0,5.0,256.8,2.0,5.0,194.6,2.0,5.0,498.2,2.0,4.0,1717.0,2.0,4.0,74.4
3.0,6.0,48.9,3.0,6.0,46.6,2.0,6.0,52.9,2.0,6.0,101.8,2.0,6.0,1083.0,2.0,5.0,559.7
4.0,2.0,44.7,4.0,1.0,35.6,4.0,1.0,37.5,3.0,1.0,87.1,3.0,1.0,1083.0,3.0,1.0,120.3
4.0,3.0,75.4,4.0,3.0,46.3,4.0,2.0,35.4,3.0,2.0,74.8,3.0,2.0,1172.0,3.0,2.0,103.5
4.0,5.0,302.8,4.0,5.0,415.1,4.0,5.0,75.4,3.0,5.0,173.8,3.0,4.0,1027.0,3.0,4.0,123.0
4.0,6.0,75.3,4.0,6.0,41.9,4.0,6.0,49.3,3.0,6.0,100.7,3.0,6.0,797.1,3.0,5.0,438.9
5.0,2.0,381.7,5.0,1.0,766.4,5.0,1.0,286.3,5.0,1.0,743.5,4.0,1.0,1779.0,4.0,1.0,145.6
5.0,3.0,442.8,5.0,3.0,754.8,5.0,2.0,366.3,5.0,2.0,722.0,4.0,2.0,2033.0,4.0,2.0,115.9
5.0,4.0,664.2,5.0,4.0,784.5,5.0,4.0,262.9,5.0,3.0,544.4,4.0,3.0,1107.0,4.0,3.0,151.1
5.0,6.0,566.1,5.0,6.0,874.0,5.0,6.0,390.7,5.0,6.0,569.3,4.0,6.0,1060.0,4.0,5.0,638.7
6.0,2.0,25.5,6.0,1.0,41.6,6.0,1.0,95.5,6.0,1.0,187.2,6.0,1.0,1328.0,5.0,1.0,1245.0
6.0,3.0,44.4,6.0,3.0,46.9,6.0,2.0,83.5,6.0,2.0,122.7,6.0,2.0,1423.0,5.0,2.0,1294.0
6.0,4.0,49.6,6.0,4.0,37.1,6.0,4.0,89.8,6.0,3.0,160.7,6.0,3.0,797.1,5.0,3.0,630.6
6.0,5.0,306.5,6.0,5.0,341.2,6.0,5.0,336.6,6.0,5.0,634.6,6.0,4.0,1364.0,5.0,4.0,1132.0
