1,畑 竜生,畑 竜生.1,2,林 恵祐,林 恵祐.1,3,横田 貴満,横田 貴満.1,4,川辺 郭人,川辺 郭人.1,5,江夏 満,江夏 満.1,6,眞鳥 康太,眞鳥 康太.1
2.0,3.0,28.7,1.0,3.0,152.5,1.0,2.0,99.7,1.0,2.0,1013.0,1.0,2.0,41.4,1.0,2.0,238.9
2.0,4.0,269.7,1.0,4.0,522.7,1.0,4.0,388.9,1.0,3.0,1470.0,1.0,3.0,24.9,1.0,3.0,205.8
2.0,5.0,21.3,1.0,5.0,104.2,1.0,5.0,26.5,1.0,5.0,1013.0,1.0,4.0,244.1,1.0,4.0,1037.0
2.0,6.0,51.7,1.0,6.0,243.2,1.0,6.0,69.1,1.0,6.0,2158.0,1.0,6.0,28.3,1.0,5.0,112.3
3.0,2.0,22.8,3.0,1.0,246.8,2.0,1.0,203.0,2.0,1.0,1470.0,2.0,1.0,93.9,2.0,1.0,543.9
3.0,4.0,166.8,3.0,4.0,592.0,2.0,4.0,643.3,2.0,3.0,1593.0,2.0,3.0,106.4,2.0,3.0,597.3
3.0,5.0,8.1,3.0,5.0,167.4,2.0,5.0,137.2,2.0,5.0,1227.0,2.0,4.0,510.7,2.0,4.0,1612.0
3.0,6.0,19.9,3.0,6.0,365.6,2.0,6.0,264.4,2.0,6.0,1760.0,2.0,6.0,118.2,2.0,5.0,557.5
4.0,2.0,331.2,4.0,1.0,969.6,4.0,1.0,1053.0,3.0,1.0,1884.0,3.0,1.0,38.3,3.0,1.0,314.1
4.0,3.0,435.8,4.0,3.0,949.0,4.0,2.0,1053.0,3.0,2.0,1997.0,3.0,2.0,62.6,3.0,2.0,531.0
4.0,5.0,394.7,4.0,5.0,826.0,4.0,5.0,528.9,3.0,5.0,1124.0,3.0,4.0,354.9,3.0,4.0,1555.0
4.0,6.0,481.3,4.0,6.0,892.0,4.0,6.0,898.0,3.0,6.0,2478.0,3.0,6.0,39.6,3.0,5.0,225.2
5.0,2.0,16.8,5.0,1.0,136.4,5.0,1.0,38.0,5.0,1.0,1324.0,4.0,1.0,649.5,4.0,1.0,2090.0
5.0,3.0,8.0,5.0,3.0,157.7,5.0,2.0,78.5,5.0,2.0,1006.0,4.0,2.0,689.7,4.0,2.0,2158.0
5.0,4.0,206.8,5.0,4.0,655.9,5.0,4.0,355.8,5.0,3.0,904.1,4.0,3.0,550.6,4.0,3.0,2676.0
5.0,6.0,9.2,5.0,6.0,222.2,5.0,6.0,47.2,5.0,6.0,1365.0,4.0,6.0,504.9,4.0,5.0,1997.0
6.0,2.0,67.2,6.0,1.0,541.7,6.0,1.0,163.3,6.0,1.0,2676.0,6.0,1.0,36.1,5.0,1.0,106.7
6.0,3.0,29.1,6.0,3.0,704.2,6.0,2.0,275.3,6.0,2.0,2230.0,6.0,2.0,68.6,5.0,2.0,235.1
6.0,4.0,369.6,6.0,4.0,1631.0,6.0,4.0,791.7,6.0,3.0,3041.0,6.0,3.0,47.9,5.0,3.0,152.7
6.0,5.0,17.4,6.0,5.0,458.2,6.0,5.0,104.2,6.0,5.0,1967.0,6.0,4.0,181.5,5.0,4.0,569.4
