1,安河内 将,安河内 将.1,2,岡部 大輝,岡部 大輝.1,3,北川 潤二,北川 潤二.1,4,花本 夏樹,花本 夏樹.1,5,吉島 祥之,吉島 祥之.1,6,山本 浩輔,山本 浩輔.1
2.0,3.0,5.1,1.0,3.0,68.4,1.0,2.0,67.0,1.0,2.0,338.1,1.0,2.0,189.5,1.0,2.0,2025.0
2.0,4.0,12.1,1.0,4.0,137.6,1.0,4.0,63.4,1.0,3.0,280.0,1.0,3.0,133.8,1.0,3.0,2228.0
2.0,5.0,10.4,1.0,5.0,125.3,1.0,5.0,49.4,1.0,5.0,287.0,1.0,4.0,301.8,1.0,4.0,2826.0
2.0,6.0,47.4,1.0,6.0,288.8,1.0,6.0,176.0,1.0,6.0,507.5,1.0,6.0,367.4,1.0,5.0,3062.0
3.0,2.0,6.0,3.0,1.0,195.9,2.0,1.0,204.4,2.0,1.0,728.9,2.0,1.0,465.4,2.0,1.0,2623.0
3.0,4.0,8.9,3.0,4.0,734.1,2.0,4.0,599.0,2.0,3.0,1268.0,2.0,3.0,929.4,2.0,3.0,3960.0
3.0,5.0,7.1,3.0,5.0,562.1,2.0,5.0,466.1,2.0,5.0,1177.0,2.0,4.0,1615.0,2.0,4.0,3124.0
3.0,6.0,40.4,3.0,6.0,1221.0,2.0,6.0,1038.0,2.0,6.0,1516.0,2.0,6.0,1501.0,2.0,5.0,4378.0
4.0,2.0,25.5,4.0,1.0,588.2,4.0,1.0,206.0,3.0,1.0,413.4,3.0,1.0,269.1,3.0,1.0,3307.0
4.0,3.0,23.1,4.0,3.0,1164.0,4.0,2.0,575.1,3.0,2.0,1019.0,3.0,2.0,829.0,3.0,2.0,3838.0
4.0,5.0,32.8,4.0,5.0,1279.0,4.0,5.0,317.2,3.0,5.0,652.4,3.0,4.0,778.2,3.0,4.0,4640.0
4.0,6.0,65.7,4.0,6.0,1666.0,4.0,6.0,608.4,3.0,6.0,1132.0,3.0,6.0,1363.0,3.0,5.0,5360.0
5.0,2.0,21.7,5.0,1.0,502.6,5.0,1.0,152.3,5.0,1.0,468.5,4.0,1.0,714.6,4.0,1.0,3862.0
5.0,3.0,19.5,5.0,3.0,971.5,5.0,2.0,412.0,5.0,2.0,827.9,4.0,2.0,1391.0,4.0,2.0,3791.0
5.0,4.0,42.5,5.0,4.0,1476.0,5.0,4.0,352.6,5.0,3.0,724.6,4.0,3.0,1136.0,4.0,3.0,4640.0
5.0,6.0,76.7,5.0,6.0,2174.0,5.0,6.0,739.3,5.0,6.0,761.9,4.0,6.0,1298.0,4.0,5.0,4934.0
6.0,2.0,178.8,6.0,1.0,1494.0,6.0,1.0,1066.0,6.0,1.0,1391.0,6.0,1.0,1422.0,5.0,1.0,4229.0
6.0,3.0,179.8,6.0,3.0,2477.0,6.0,2.0,2189.0,6.0,2.0,1766.0,6.0,2.0,2228.0,5.0,2.0,4640.0
6.0,4.0,216.6,6.0,4.0,2623.0,6.0,4.0,1907.0,6.0,3.0,2252.0,6.0,3.0,2228.0,5.0,3.0,5269.0
6.0,5.0,252.2,6.0,5.0,3473.0,6.0,5.0,2031.0,6.0,5.0,1685.0,6.0,4.0,1999.0,5.0,4.0,3768.0
