1,金子 順一,金子 順一.1,2,林 恵祐,林 恵祐.1,3,熊本 英一,熊本 英一.1,4,森 弘行,森 弘行.1,5,山崎 善庸,山崎 善庸.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,9.9,1.0,3.0,14.4,1.0,2.0,36.6,1.0,2.0,82.7,1.0,2.0,123.5,1.0,2.0,804.3
2.0,4.0,16.2,1.0,4.0,20.0,1.0,4.0,51.3,1.0,3.0,110.0,1.0,3.0,162.0,1.0,3.0,888.1
2.0,5.0,19.3,1.0,5.0,27.7,1.0,5.0,58.8,1.0,5.0,98.6,1.0,4.0,194.6,1.0,4.0,979.9
2.0,6.0,160.2,1.0,6.0,187.7,1.0,6.0,437.2,1.0,6.0,329.1,1.0,6.0,434.9,1.0,5.0,916.7
3.0,2.0,13.5,3.0,1.0,27.2,2.0,1.0,50.0,2.0,1.0,105.3,2.0,1.0,161.1,2.0,1.0,761.2
3.0,4.0,18.9,3.0,4.0,40.6,2.0,4.0,62.8,2.0,3.0,105.9,2.0,3.0,142.5,2.0,3.0,979.9
3.0,5.0,23.0,3.0,5.0,35.8,2.0,5.0,63.8,2.0,5.0,111.7,2.0,4.0,171.5,2.0,4.0,754.5
3.0,6.0,217.4,3.0,6.0,338.3,2.0,6.0,378.9,2.0,6.0,411.8,2.0,6.0,650.8,2.0,5.0,1121.0
4.0,2.0,29.1,4.0,1.0,63.0,4.0,1.0,80.5,3.0,1.0,147.7,3.0,1.0,242.9,3.0,1.0,1522.0
4.0,3.0,39.8,4.0,3.0,62.9,4.0,2.0,75.3,3.0,2.0,109.1,3.0,2.0,165.8,3.0,2.0,1469.0
4.0,5.0,43.6,4.0,5.0,75.9,4.0,5.0,91.0,3.0,5.0,146.2,3.0,4.0,239.4,3.0,4.0,1705.0
4.0,6.0,345.1,4.0,6.0,346.5,4.0,6.0,583.9,3.0,6.0,613.3,3.0,6.0,844.1,3.0,5.0,1639.0
5.0,2.0,42.8,5.0,1.0,70.3,5.0,1.0,122.1,5.0,1.0,108.3,4.0,1.0,193.3,4.0,1.0,1136.0
5.0,3.0,41.6,5.0,3.0,60.5,5.0,2.0,92.3,5.0,2.0,95.3,4.0,2.0,182.5,4.0,2.0,936.9
5.0,4.0,44.3,5.0,4.0,88.3,5.0,4.0,132.3,5.0,3.0,125.5,4.0,3.0,194.2,4.0,3.0,1578.0
5.0,6.0,361.2,5.0,6.0,364.3,5.0,6.0,434.9,5.0,6.0,168.8,4.0,6.0,346.5,4.0,5.0,747.8
6.0,2.0,557.2,6.0,1.0,666.0,6.0,1.0,957.9,6.0,1.0,465.8,6.0,1.0,710.4,5.0,1.0,1272.0
6.0,3.0,617.8,6.0,3.0,936.9,6.0,2.0,844.1,6.0,2.0,387.5,6.0,2.0,897.4,5.0,2.0,1578.0
6.0,4.0,827.7,6.0,4.0,693.1,6.0,4.0,1121.0,6.0,3.0,704.6,6.0,3.0,936.9,5.0,3.0,1550.0
6.0,5.0,916.7,6.0,5.0,608.9,6.0,5.0,631.5,6.0,5.0,308.9,6.0,4.0,532.8,5.0,4.0,789.4
