1,溝口　海義也,溝口　海義也.1,2,山本 浩輔,山本 浩輔.1,3,岡部 貴司,岡部 貴司.1,4,山崎 善庸,山崎 善庸.1,5,堂原 洋史,堂原 洋史.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,4.1,1.0,3.0,57.8,1.0,2.0,60.4,1.0,2.0,290.9,1.0,2.0,360.7,1.0,2.0,1629.0
2.0,4.0,9.0,1.0,4.0,94.2,1.0,4.0,82.8,1.0,3.0,277.0,1.0,3.0,321.3,1.0,3.0,2000.0
2.0,5.0,13.9,1.0,5.0,141.7,1.0,5.0,96.9,1.0,5.0,351.6,1.0,4.0,526.2,1.0,4.0,2157.0
2.0,6.0,79.1,1.0,6.0,474.9,1.0,6.0,367.4,1.0,6.0,692.0,1.0,6.0,857.1,1.0,5.0,2617.0
3.0,2.0,4.9,3.0,1.0,129.6,2.0,1.0,137.3,2.0,1.0,554.0,2.0,1.0,732.1,2.0,1.0,2860.0
3.0,4.0,7.1,3.0,4.0,373.3,2.0,4.0,365.8,2.0,3.0,919.6,2.0,3.0,1258.0,2.0,3.0,4472.0
3.0,5.0,10.7,3.0,5.0,537.1,2.0,5.0,485.2,2.0,5.0,1298.0,2.0,4.0,1782.0,2.0,4.0,4241.0
3.0,6.0,63.0,3.0,6.0,1291.0,2.0,6.0,1033.0,2.0,6.0,1732.0,2.0,6.0,2299.0,2.0,5.0,4315.0
4.0,2.0,16.6,4.0,1.0,319.2,4.0,1.0,271.6,3.0,1.0,429.7,3.0,1.0,590.6,3.0,1.0,3814.0
4.0,3.0,16.2,4.0,3.0,576.8,4.0,2.0,478.6,3.0,2.0,694.9,3.0,2.0,1245.0,3.0,2.0,4393.0
4.0,5.0,30.7,4.0,5.0,914.5,4.0,5.0,525.6,3.0,5.0,940.7,3.0,4.0,1248.0,3.0,4.0,4205.0
4.0,6.0,101.6,4.0,6.0,1769.0,4.0,6.0,1120.0,3.0,6.0,1685.0,3.0,6.0,2562.0,3.0,5.0,5179.0
5.0,2.0,34.4,5.0,1.0,515.2,5.0,1.0,354.2,5.0,1.0,567.4,4.0,1.0,995.9,4.0,1.0,3617.0
5.0,3.0,31.4,5.0,3.0,1053.0,5.0,2.0,733.2,5.0,2.0,984.0,4.0,2.0,2050.0,4.0,2.0,5348.0
5.0,4.0,56.7,5.0,4.0,1362.0,5.0,4.0,725.6,5.0,3.0,1088.0,4.0,3.0,1571.0,4.0,3.0,5125.0
5.0,6.0,142.6,5.0,6.0,2688.0,5.0,6.0,1518.0,5.0,6.0,1062.0,4.0,6.0,2102.0,4.0,5.0,5234.0
6.0,2.0,334.2,6.0,1.0,1640.0,6.0,1.0,1914.0,6.0,1.0,1968.0,6.0,1.0,1802.0,5.0,1.0,3874.0
6.0,3.0,271.9,6.0,3.0,3393.0,6.0,2.0,3133.0,6.0,2.0,3755.0,6.0,2.0,3037.0,5.0,2.0,4871.0
6.0,4.0,387.7,6.0,4.0,3153.0,6.0,4.0,3489.0,6.0,3.0,3671.0,6.0,3.0,3174.0,5.0,3.0,5179.0
6.0,5.0,387.1,6.0,5.0,4354.0,6.0,5.0,3539.0,6.0,5.0,3133.0,6.0,4.0,3489.0,5.0,4.0,4555.0
