1,森 照夫,森 照夫.1,2,金子 順一,金子 順一.1,3,浮田 圭浩,浮田 圭浩.1,4,吉島 祥之,吉島 祥之.1,5,浜野 孝志,浜野 孝志.1,6,荻野 裕介,荻野 裕介.1
2.0,3.0,33.0,1.0,3.0,146.8,1.0,2.0,162.6,1.0,2.0,68.9,1.0,2.0,138.3,1.0,2.0,1231.0
2.0,4.0,22.5,1.0,4.0,106.0,1.0,4.0,61.3,1.0,3.0,61.3,1.0,3.0,108.7,1.0,3.0,802.7
2.0,5.0,28.6,1.0,5.0,131.2,1.0,5.0,56.4,1.0,5.0,26.5,1.0,4.0,59.1,1.0,4.0,709.6
2.0,6.0,105.7,1.0,6.0,320.3,1.0,6.0,125.2,1.0,6.0,63.0,1.0,6.0,115.9,1.0,5.0,787.9
3.0,2.0,27.7,3.0,1.0,384.7,2.0,1.0,325.7,2.0,1.0,152.3,2.0,1.0,281.6,2.0,1.0,1913.0
3.0,4.0,11.1,3.0,4.0,432.1,2.0,4.0,346.2,2.0,3.0,343.4,2.0,3.0,456.9,2.0,3.0,2209.0
3.0,5.0,13.9,3.0,5.0,417.7,2.0,5.0,323.7,2.0,5.0,152.0,2.0,4.0,325.2,2.0,4.0,2122.0
3.0,6.0,39.1,3.0,6.0,787.9,2.0,6.0,545.3,2.0,6.0,275.8,2.0,6.0,529.2,2.0,5.0,2060.0
4.0,2.0,19.6,4.0,1.0,210.5,4.0,1.0,90.4,3.0,1.0,123.1,3.0,1.0,185.4,3.0,1.0,1428.0
4.0,3.0,12.7,4.0,3.0,378.0,4.0,2.0,273.0,3.0,2.0,310.1,3.0,2.0,497.2,3.0,2.0,2187.0
4.0,5.0,10.6,4.0,5.0,234.2,4.0,5.0,91.8,3.0,5.0,111.1,3.0,4.0,211.7,3.0,4.0,1283.0
4.0,6.0,32.7,4.0,6.0,511.5,4.0,6.0,167.1,3.0,6.0,194.4,3.0,6.0,374.0,3.0,5.0,1419.0
5.0,2.0,32.8,5.0,1.0,270.9,5.0,1.0,118.5,5.0,1.0,28.9,4.0,1.0,61.4,4.0,1.0,793.8
5.0,3.0,23.2,5.0,3.0,480.5,5.0,2.0,354.8,5.0,2.0,76.8,4.0,2.0,160.7,4.0,2.0,1553.0
5.0,4.0,19.0,5.0,4.0,344.5,5.0,4.0,134.2,5.0,3.0,78.4,4.0,3.0,141.0,4.0,3.0,1217.0
5.0,6.0,50.1,5.0,6.0,628.5,5.0,6.0,225.6,5.0,6.0,37.3,4.0,6.0,80.0,4.0,5.0,345.6
6.0,2.0,283.8,6.0,1.0,779.3,6.0,1.0,446.5,6.0,1.0,155.7,6.0,1.0,283.5,5.0,1.0,1015.0
6.0,3.0,158.4,6.0,3.0,961.1,6.0,2.0,935.9,6.0,2.0,323.2,6.0,2.0,527.9,5.0,2.0,1831.0
6.0,4.0,108.6,6.0,4.0,983.1,6.0,4.0,403.6,6.0,3.0,307.5,6.0,3.0,480.5,5.0,3.0,1428.0
6.0,5.0,142.2,6.0,5.0,843.8,6.0,5.0,400.6,6.0,5.0,112.6,6.0,4.0,183.6,5.0,4.0,378.6
