1,為本 智也,為本 智也.1,2,山本 浩輔,山本 浩輔.1,3,久田 敏之,久田 敏之.1,4,高山 秀雄,高山 秀雄.1,5,齊藤 廉,齊藤 廉.1,6,明石 正之,明石 正之.1
2.0,3.0,10.0,1.0,3.0,45.2,1.0,2.0,19.8,1.0,2.0,468.8,1.0,2.0,1348.0,1.0,2.0,204.5
2.0,4.0,34.1,1.0,4.0,109.4,1.0,4.0,22.7,1.0,3.0,244.0,1.0,3.0,1144.0,1.0,3.0,103.5
2.0,5.0,139.8,1.0,5.0,314.0,1.0,5.0,107.6,1.0,5.0,1118.0,1.0,4.0,2212.0,1.0,4.0,362.6
2.0,6.0,22.0,1.0,6.0,70.4,1.0,6.0,11.3,1.0,6.0,301.1,1.0,6.0,1321.0,1.0,5.0,754.5
3.0,2.0,5.6,3.0,1.0,70.4,2.0,1.0,54.5,2.0,1.0,609.7,2.0,1.0,1641.0,2.0,1.0,369.4
3.0,4.0,10.4,3.0,4.0,226.1,2.0,4.0,135.5,2.0,3.0,724.0,2.0,3.0,1304.0,2.0,3.0,379.4
3.0,5.0,68.0,3.0,5.0,679.0,2.0,5.0,401.9,2.0,5.0,1641.0,2.0,4.0,3787.0,2.0,4.0,859.9
3.0,6.0,6.7,3.0,6.0,119.7,2.0,6.0,67.6,2.0,6.0,751.6,2.0,6.0,2401.0,2.0,5.0,1491.0
4.0,2.0,46.8,4.0,1.0,336.0,4.0,1.0,70.0,3.0,1.0,256.4,3.0,1.0,1367.0,3.0,1.0,122.6
4.0,3.0,36.2,4.0,3.0,433.7,4.0,2.0,137.0,3.0,2.0,570.8,3.0,2.0,3787.0,3.0,2.0,290.4
4.0,5.0,222.5,4.0,5.0,1480.0,4.0,5.0,317.1,3.0,5.0,1118.0,3.0,4.0,3228.0,3.0,4.0,328.2
4.0,6.0,46.5,4.0,6.0,448.5,4.0,6.0,68.1,3.0,6.0,318.1,3.0,6.0,2697.0,3.0,5.0,729.3
5.0,2.0,406.0,5.0,1.0,1193.0,5.0,1.0,529.3,5.0,1.0,2237.0,4.0,1.0,2492.0,4.0,1.0,593.1
5.0,3.0,293.0,5.0,3.0,1930.0,5.0,2.0,781.4,5.0,2.0,2263.0,4.0,2.0,4102.0,4.0,2.0,946.7
5.0,4.0,530.8,5.0,4.0,2212.0,5.0,4.0,769.2,5.0,3.0,2289.0,4.0,3.0,3516.0,4.0,3.0,508.8
5.0,6.0,439.5,5.0,6.0,1989.0,5.0,6.0,579.2,5.0,6.0,2289.0,4.0,6.0,3646.0,4.0,5.0,2492.0
6.0,2.0,36.4,6.0,1.0,196.5,6.0,1.0,31.1,6.0,1.0,429.9,6.0,1.0,2140.0,5.0,1.0,1437.0
6.0,3.0,22.1,6.0,3.0,245.2,6.0,2.0,62.2,6.0,2.0,784.5,6.0,2.0,3176.0,5.0,2.0,1875.0
6.0,4.0,61.7,6.0,4.0,541.0,6.0,4.0,71.4,6.0,3.0,395.4,6.0,3.0,2735.0,5.0,3.0,1840.0
6.0,5.0,250.2,6.0,5.0,1047.0,6.0,5.0,262.9,6.0,5.0,1857.0,6.0,4.0,3454.0,5.0,4.0,2401.0
