1,郷原 章平,郷原 章平.1,2,岡部 貴司,岡部 貴司.1,3,金子 順一,金子 順一.1,4,山口 修路,山口 修路.1,5,林 恵祐,林 恵祐.1,6,山根 大樹,山根 大樹.1
2.0,3.0,9.5,1.0,3.0,44.8,1.0,2.0,185.7,1.0,2.0,38.2,1.0,2.0,155.9,1.0,2.0,375.5
2.0,4.0,5.7,1.0,4.0,23.7,1.0,4.0,168.6,1.0,3.0,92.8,1.0,3.0,329.9,1.0,3.0,696.4
2.0,5.0,15.0,1.0,5.0,49.8,1.0,5.0,241.4,1.0,5.0,42.1,1.0,4.0,162.8,1.0,4.0,438.0
2.0,6.0,17.4,1.0,6.0,65.0,1.0,6.0,328.3,1.0,6.0,110.6,1.0,6.0,386.9,1.0,5.0,755.1
3.0,2.0,20.1,3.0,1.0,170.3,2.0,1.0,319.5,2.0,1.0,69.9,2.0,1.0,244.7,2.0,1.0,626.2
3.0,4.0,22.8,3.0,4.0,240.7,2.0,4.0,446.3,2.0,3.0,230.9,2.0,3.0,689.4,2.0,3.0,1557.0
3.0,5.0,41.6,3.0,5.0,435.9,2.0,5.0,737.8,2.0,5.0,105.4,2.0,4.0,381.5,2.0,4.0,830.9
3.0,6.0,45.8,3.0,6.0,552.8,2.0,6.0,997.6,2.0,6.0,250.1,2.0,6.0,978.0,2.0,5.0,1593.0
4.0,2.0,9.7,4.0,1.0,76.4,4.0,1.0,361.5,3.0,1.0,273.2,3.0,1.0,676.6,3.0,1.0,1234.0
4.0,3.0,24.4,4.0,3.0,230.4,4.0,2.0,485.9,3.0,2.0,383.6,3.0,2.0,999.5,3.0,2.0,1980.0
4.0,5.0,19.8,4.0,5.0,172.7,4.0,5.0,528.7,3.0,5.0,331.3,3.0,4.0,917.3,3.0,4.0,1769.0
4.0,6.0,34.6,4.0,6.0,293.7,4.0,6.0,817.2,3.0,6.0,574.9,3.0,6.0,1603.0,3.0,5.0,2249.0
5.0,2.0,40.9,5.0,1.0,190.3,5.0,1.0,626.9,5.0,1.0,51.3,4.0,1.0,164.2,4.0,1.0,640.2
5.0,3.0,76.4,5.0,3.0,579.7,5.0,2.0,965.9,5.0,2.0,70.3,4.0,2.0,233.7,4.0,2.0,874.7
5.0,4.0,48.5,5.0,4.0,298.6,5.0,4.0,838.5,5.0,3.0,167.3,4.0,3.0,422.8,4.0,3.0,1506.0
5.0,6.0,107.3,5.0,6.0,724.1,5.0,6.0,1531.0,5.0,6.0,141.6,4.0,6.0,415.4,4.0,5.0,768.9
6.0,2.0,48.9,6.0,1.0,282.6,6.0,1.0,931.4,6.0,1.0,335.2,6.0,1.0,964.2,5.0,1.0,1280.0
6.0,3.0,86.2,6.0,3.0,816.0,6.0,2.0,1461.0,6.0,2.0,445.9,6.0,2.0,1320.0,5.0,2.0,1959.0
6.0,4.0,56.7,6.0,4.0,431.8,6.0,4.0,1333.0,6.0,3.0,794.6,6.0,3.0,1697.0,5.0,3.0,2346.0
6.0,5.0,100.0,6.0,5.0,835.9,6.0,5.0,1553.0,6.0,5.0,351.3,6.0,4.0,745.8,5.0,4.0,1047.0
