1,杉山 正樹,杉山 正樹.1,2,繁野谷　圭介,繁野谷　圭介.1,3,庄司　樹良々,庄司　樹良々.1,4,牧山 敦也,牧山 敦也.1,5,中尾 優香,中尾 優香.1,6,青木 蓮,青木 蓮.1
2.0,3.0,5.1,1.0,3.0,41.0,1.0,2.0,79.0,1.0,2.0,96.4,1.0,2.0,752.7,1.0,2.0,154.4
2.0,4.0,5.8,1.0,4.0,41.8,1.0,4.0,86.3,1.0,3.0,165.7,1.0,3.0,852.0,1.0,3.0,246.6
2.0,5.0,47.2,1.0,5.0,186.0,1.0,5.0,216.4,1.0,5.0,344.3,1.0,4.0,1249.0,1.0,4.0,269.3
2.0,6.0,10.9,1.0,6.0,63.4,1.0,6.0,106.3,1.0,6.0,170.4,1.0,6.0,1013.0,1.0,5.0,631.3
3.0,2.0,9.2,3.0,1.0,157.6,2.0,1.0,188.7,2.0,1.0,164.7,2.0,1.0,1231.0,2.0,1.0,276.1
3.0,4.0,12.0,3.0,4.0,246.8,2.0,4.0,342.6,2.0,3.0,429.1,2.0,3.0,2620.0,2.0,3.0,620.1
3.0,5.0,54.9,3.0,5.0,674.0,2.0,5.0,708.3,2.0,5.0,735.2,2.0,4.0,1873.0,2.0,4.0,571.3
3.0,6.0,18.9,3.0,6.0,325.7,2.0,6.0,394.6,2.0,6.0,362.6,2.0,6.0,2205.0,2.0,5.0,1399.0
4.0,2.0,10.9,4.0,1.0,134.1,4.0,1.0,235.0,3.0,1.0,307.8,3.0,1.0,998.5,3.0,1.0,526.4
4.0,3.0,16.1,4.0,3.0,245.0,4.0,2.0,404.7,3.0,2.0,528.8,3.0,2.0,3168.0,3.0,2.0,852.0
4.0,5.0,80.9,4.0,5.0,875.6,4.0,5.0,738.3,3.0,5.0,1210.0,3.0,4.0,2403.0,3.0,4.0,1082.0
4.0,6.0,24.5,4.0,6.0,352.7,4.0,6.0,492.2,3.0,6.0,672.7,3.0,6.0,2525.0,3.0,5.0,2112.0
5.0,2.0,149.3,5.0,1.0,797.4,5.0,1.0,615.7,5.0,1.0,688.7,4.0,1.0,1824.0,4.0,1.0,550.5
5.0,3.0,182.7,5.0,3.0,1262.0,5.0,2.0,1235.0,5.0,2.0,1013.0,4.0,2.0,2562.0,4.0,2.0,793.8
5.0,4.0,224.5,5.0,4.0,1361.0,5.0,4.0,1117.0,5.0,3.0,1377.0,4.0,3.0,2810.0,4.0,3.0,1185.0
5.0,6.0,176.6,5.0,6.0,1201.0,5.0,6.0,1262.0,5.0,6.0,788.4,4.0,6.0,2420.0,4.0,5.0,1925.0
6.0,2.0,33.2,6.0,1.0,276.1,6.0,1.0,355.9,6.0,1.0,310.6,6.0,1.0,1483.0,5.0,1.0,1276.0
6.0,3.0,45.0,6.0,3.0,442.2,6.0,2.0,588.6,6.0,2.0,447.3,6.0,2.0,2038.0,5.0,2.0,1968.0
6.0,4.0,58.4,6.0,4.0,508.7,6.0,4.0,701.2,6.0,3.0,774.4,6.0,3.0,2788.0,5.0,3.0,2600.0
6.0,5.0,160.0,6.0,5.0,1113.0,6.0,5.0,1197.0,6.0,5.0,854.1,6.0,4.0,2640.0,5.0,4.0,2387.0
