1,今村 暢孝,今村 暢孝.1,2,安田 吉宏,安田 吉宏.1,3,鈴木 賢一,鈴木 賢一.1,4,大場 敏,大場 敏.1,5,土性 雅也,土性 雅也.1,6,大谷 直弘,大谷 直弘.1
2.0,3.0,36.4,1.0,3.0,234.3,1.0,2.0,110.8,1.0,2.0,78.8,1.0,2.0,499.6,1.0,2.0,399.8
2.0,4.0,27.4,1.0,4.0,200.6,1.0,4.0,28.3,1.0,3.0,28.9,1.0,3.0,316.2,1.0,3.0,308.7
2.0,5.0,74.2,1.0,5.0,402.8,1.0,5.0,74.8,1.0,5.0,39.4,1.0,4.0,233.5,1.0,4.0,217.3
2.0,6.0,69.2,1.0,6.0,345.5,1.0,6.0,62.8,1.0,6.0,31.5,1.0,6.0,298.2,1.0,5.0,609.1
3.0,2.0,27.0,3.0,1.0,398.6,2.0,1.0,270.9,2.0,1.0,196.1,2.0,1.0,983.0,2.0,1.0,720.3
3.0,4.0,7.1,3.0,4.0,553.4,2.0,4.0,320.3,2.0,3.0,411.3,2.0,3.0,1538.0,2.0,3.0,1425.0
3.0,5.0,24.3,3.0,5.0,938.9,2.0,5.0,589.3,2.0,5.0,463.8,2.0,4.0,1139.0,2.0,4.0,1134.0
3.0,6.0,20.7,3.0,6.0,1008.0,2.0,6.0,573.2,2.0,6.0,360.6,2.0,6.0,1204.0,2.0,5.0,2250.0
4.0,2.0,19.8,4.0,1.0,301.8,4.0,1.0,39.5,3.0,1.0,47.7,3.0,1.0,389.0,3.0,1.0,396.3
4.0,3.0,7.3,4.0,3.0,684.1,4.0,2.0,152.8,3.0,2.0,242.2,3.0,2.0,1226.0,3.0,2.0,1178.0
4.0,5.0,15.6,4.0,5.0,929.3,4.0,5.0,79.8,3.0,5.0,93.8,3.0,4.0,515.7,3.0,4.0,467.8
4.0,6.0,11.5,4.0,6.0,705.4,4.0,6.0,66.0,3.0,6.0,69.8,3.0,6.0,720.3,3.0,5.0,1153.0
5.0,2.0,93.1,5.0,1.0,1080.0,5.0,1.0,199.7,5.0,1.0,63.0,4.0,1.0,207.3,4.0,1.0,245.3
5.0,3.0,63.5,5.0,3.0,1712.0,5.0,2.0,716.5,5.0,2.0,279.5,4.0,2.0,803.2,4.0,2.0,878.3
5.0,4.0,48.0,5.0,4.0,1403.0,5.0,4.0,225.2,5.0,3.0,161.9,4.0,3.0,512.8,4.0,3.0,465.4
5.0,6.0,74.7,5.0,6.0,1403.0,5.0,6.0,275.3,5.0,6.0,79.2,4.0,6.0,239.0,4.0,5.0,580.5
6.0,2.0,121.2,6.0,1.0,810.4,6.0,1.0,170.8,6.0,1.0,63.1,6.0,1.0,504.2,5.0,1.0,773.5
6.0,3.0,70.9,6.0,3.0,1890.0,6.0,2.0,618.8,6.0,2.0,219.2,6.0,2.0,1139.0,5.0,2.0,1712.0
6.0,4.0,45.5,6.0,4.0,1102.0,6.0,4.0,198.7,6.0,3.0,127.0,6.0,3.0,872.7,5.0,3.0,1396.0
6.0,5.0,111.1,6.0,5.0,1904.0,6.0,5.0,345.5,6.0,5.0,108.4,6.0,4.0,488.8,5.0,4.0,705.4
