1,大橋　栄里佳,大橋　栄里佳.1,2,加藤 奈月,加藤 奈月.1,3,沼田 七華,沼田 七華.1,4,渡邉　真奈美,渡邉　真奈美.1,5,来田 衣織,来田 衣織.1,6,畑田 希咲,畑田 希咲.1
2.0,3.0,56.4,1.0,3.0,184.2,1.0,2.0,279.7,1.0,2.0,15.5,1.0,2.0,74.8,1.0,2.0,897.2
2.0,4.0,16.2,1.0,4.0,60.3,1.0,4.0,187.7,1.0,3.0,54.2,1.0,3.0,199.8,1.0,3.0,1459.0
2.0,5.0,29.3,1.0,5.0,90.9,1.0,5.0,279.8,1.0,5.0,9.8,1.0,4.0,41.6,1.0,4.0,857.1
2.0,6.0,204.7,1.0,6.0,436.0,1.0,6.0,713.5,1.0,6.0,60.0,1.0,6.0,197.3,1.0,5.0,1009.0
3.0,2.0,87.9,3.0,1.0,349.4,2.0,1.0,435.0,2.0,1.0,32.7,2.0,1.0,125.6,2.0,1.0,1161.0
3.0,4.0,61.1,3.0,4.0,425.0,2.0,4.0,486.9,2.0,3.0,129.4,2.0,3.0,460.1,2.0,3.0,2146.0
3.0,5.0,97.1,3.0,5.0,617.7,2.0,5.0,695.4,2.0,5.0,33.2,2.0,4.0,124.8,2.0,4.0,1402.0
3.0,6.0,294.9,3.0,6.0,1550.0,2.0,6.0,1382.0,2.0,6.0,155.5,2.0,6.0,450.0,2.0,5.0,1917.0
4.0,2.0,11.8,4.0,1.0,77.5,4.0,1.0,205.9,3.0,1.0,129.3,3.0,1.0,415.8,3.0,1.0,1843.0
4.0,3.0,34.3,4.0,3.0,280.8,4.0,2.0,341.7,3.0,2.0,235.3,3.0,2.0,775.1,3.0,2.0,2237.0
4.0,5.0,9.1,4.0,5.0,120.1,4.0,5.0,239.1,3.0,5.0,160.1,3.0,4.0,395.2,3.0,4.0,1567.0
4.0,6.0,92.7,4.0,6.0,514.8,4.0,6.0,714.4,3.0,6.0,361.0,3.0,6.0,984.8,3.0,5.0,2018.0
5.0,2.0,29.5,5.0,1.0,166.8,5.0,1.0,441.7,5.0,1.0,9.6,4.0,1.0,34.2,4.0,1.0,768.9
5.0,3.0,90.8,5.0,3.0,566.0,5.0,2.0,788.9,5.0,2.0,17.5,4.0,2.0,55.4,4.0,2.0,1157.0
5.0,4.0,18.0,5.0,4.0,165.1,5.0,4.0,424.7,5.0,3.0,58.6,4.0,3.0,158.9,4.0,3.0,1392.0
5.0,6.0,195.2,5.0,6.0,727.1,5.0,6.0,1180.0,5.0,6.0,29.5,4.0,6.0,89.2,4.0,5.0,579.1
6.0,2.0,489.4,6.0,1.0,1001.0,6.0,1.0,1223.0,6.0,1.0,139.4,6.0,1.0,407.0,5.0,1.0,1145.0
6.0,3.0,658.0,6.0,3.0,2025.0,6.0,2.0,1917.0,6.0,2.0,242.2,6.0,2.0,617.7,5.0,2.0,1879.0
6.0,4.0,397.1,6.0,4.0,1255.0,6.0,4.0,1602.0,6.0,3.0,351.5,6.0,3.0,858.4,5.0,3.0,2099.0
6.0,5.0,548.8,6.0,5.0,1242.0,6.0,5.0,1758.0,6.0,5.0,118.0,6.0,4.0,293.7,5.0,4.0,678.2
