1,阪本 勇介,阪本 勇介.1,2,梅木 敬太,梅木 敬太.1,3,桑島 和宏,桑島 和宏.1,4,加藤 奈月,加藤 奈月.1,5,大橋　栄里佳,大橋　栄里佳.1,6,木村 仁紀,木村 仁紀.1
2.0,3.0,11.6,1.0,3.0,20.5,1.0,2.0,27.0,1.0,2.0,581.8,1.0,2.0,156.3,1.0,2.0,89.7
2.0,4.0,76.7,1.0,4.0,128.1,1.0,4.0,64.2,1.0,3.0,621.1,1.0,3.0,153.1,1.0,3.0,72.4
2.0,5.0,36.5,1.0,5.0,53.6,1.0,5.0,38.0,1.0,5.0,489.8,1.0,4.0,414.7,1.0,4.0,361.6
2.0,6.0,23.5,1.0,6.0,35.4,1.0,6.0,18.3,1.0,6.0,494.5,1.0,6.0,132.0,1.0,5.0,143.1
3.0,2.0,11.3,3.0,1.0,33.7,2.0,1.0,44.7,2.0,1.0,646.1,2.0,1.0,217.7,2.0,1.0,111.5
3.0,4.0,58.8,3.0,4.0,175.1,2.0,4.0,198.2,2.0,3.0,796.1,2.0,3.0,233.9,2.0,3.0,112.9
3.0,5.0,23.0,3.0,5.0,74.9,2.0,5.0,87.0,2.0,5.0,1108.0,2.0,4.0,758.5,2.0,4.0,522.6
3.0,6.0,12.8,3.0,6.0,40.9,2.0,6.0,48.3,2.0,6.0,862.9,2.0,6.0,178.4,2.0,5.0,192.6
4.0,2.0,183.2,4.0,1.0,347.9,4.0,1.0,169.7,3.0,1.0,683.9,3.0,1.0,221.8,3.0,1.0,85.4
4.0,3.0,170.3,4.0,3.0,337.4,4.0,2.0,348.9,3.0,2.0,806.1,3.0,2.0,306.8,3.0,2.0,110.5
4.0,5.0,213.9,4.0,5.0,554.2,4.0,5.0,296.6,3.0,5.0,883.7,3.0,4.0,706.4,3.0,4.0,365.8
4.0,6.0,179.8,4.0,6.0,427.1,4.0,6.0,157.7,3.0,6.0,683.9,3.0,6.0,204.5,3.0,5.0,150.1
5.0,2.0,71.9,5.0,1.0,133.4,5.0,1.0,92.8,5.0,1.0,572.7,4.0,1.0,571.4,4.0,1.0,612.2
5.0,3.0,53.9,5.0,3.0,139.6,5.0,2.0,127.3,5.0,2.0,781.6,4.0,2.0,837.6,4.0,2.0,756.3
5.0,4.0,197.6,5.0,4.0,544.8,5.0,4.0,271.8,5.0,3.0,706.4,4.0,3.0,720.3,4.0,3.0,631.8
5.0,6.0,60.0,5.0,6.0,125.0,5.0,6.0,80.8,5.0,6.0,340.1,4.0,6.0,383.8,4.0,5.0,532.4
6.0,2.0,43.8,6.0,1.0,82.1,6.0,1.0,35.0,6.0,1.0,575.3,6.0,1.0,137.3,5.0,1.0,186.2
6.0,3.0,31.3,6.0,3.0,74.6,6.0,2.0,62.5,6.0,2.0,669.7,6.0,2.0,148.3,5.0,2.0,210.4
6.0,4.0,169.7,6.0,4.0,357.6,6.0,4.0,113.9,6.0,3.0,636.5,6.0,3.0,159.5,5.0,3.0,193.2
6.0,5.0,79.4,6.0,5.0,133.7,6.0,5.0,76.0,6.0,5.0,420.8,6.0,4.0,279.5,5.0,4.0,424.3
