1,加藤 奈月,加藤 奈月.1,2,大谷 直弘,大谷 直弘.1,3,繁野谷　圭介,繁野谷　圭介.1,4,田路 朋史,田路 朋史.1,5,鈴木 賢一,鈴木 賢一.1,6,木下 翔太,木下 翔太.1
2.0,3.0,121.1,1.0,3.0,118.8,1.0,2.0,148.7,1.0,2.0,127.1,1.0,2.0,480.0,1.0,2.0,282.3
2.0,4.0,153.0,1.0,4.0,137.6,1.0,4.0,146.3,1.0,3.0,145.8,1.0,3.0,541.8,1.0,3.0,315.1
2.0,5.0,285.6,1.0,5.0,254.3,1.0,5.0,265.7,1.0,5.0,131.1,1.0,4.0,439.4,1.0,4.0,256.4
2.0,6.0,152.3,1.0,6.0,131.8,1.0,6.0,126.9,1.0,6.0,71.0,1.0,6.0,324.7,1.0,5.0,492.6
3.0,2.0,129.2,3.0,1.0,113.7,2.0,1.0,128.9,2.0,1.0,111.5,2.0,1.0,555.5,2.0,1.0,261.1
3.0,4.0,122.0,3.0,4.0,41.5,2.0,4.0,44.4,2.0,3.0,41.4,2.0,3.0,429.8,2.0,3.0,87.0
3.0,5.0,251.2,3.0,5.0,108.1,2.0,5.0,111.6,2.0,5.0,45.9,2.0,4.0,290.0,2.0,4.0,96.6
3.0,6.0,131.1,3.0,6.0,33.1,2.0,6.0,33.7,2.0,6.0,23.5,2.0,6.0,232.4,2.0,5.0,245.2
4.0,2.0,169.5,4.0,1.0,122.9,4.0,1.0,131.7,3.0,1.0,136.3,3.0,1.0,705.1,3.0,1.0,271.1
4.0,3.0,166.3,4.0,3.0,44.0,4.0,2.0,49.3,3.0,2.0,47.3,3.0,2.0,504.6,3.0,2.0,89.0
4.0,5.0,252.9,4.0,5.0,80.5,4.0,5.0,103.7,3.0,5.0,88.5,3.0,4.0,385.2,3.0,4.0,82.7
4.0,6.0,124.8,4.0,6.0,33.1,4.0,6.0,29.1,3.0,6.0,26.6,3.0,6.0,290.2,3.0,5.0,271.1
5.0,2.0,413.7,5.0,1.0,404.3,5.0,1.0,402.6,5.0,1.0,65.3,4.0,1.0,268.9,4.0,1.0,138.6
5.0,3.0,440.5,5.0,3.0,246.8,5.0,2.0,221.9,5.0,2.0,34.8,4.0,2.0,124.1,4.0,2.0,61.4
5.0,4.0,462.8,5.0,4.0,189.2,5.0,4.0,207.5,5.0,3.0,60.9,4.0,3.0,211.3,4.0,3.0,61.8
5.0,6.0,419.7,5.0,6.0,179.7,5.0,6.0,139.2,5.0,6.0,17.9,4.0,6.0,67.4,4.0,5.0,70.0
6.0,2.0,242.6,6.0,1.0,176.3,6.0,1.0,145.5,6.0,1.0,37.5,6.0,1.0,340.0,5.0,1.0,461.1
6.0,3.0,223.6,6.0,3.0,57.1,6.0,2.0,47.5,6.0,2.0,16.2,6.0,2.0,196.0,5.0,2.0,275.9
6.0,4.0,210.3,6.0,4.0,63.7,6.0,4.0,46.4,6.0,3.0,21.0,6.0,3.0,244.8,5.0,3.0,296.4
6.0,5.0,414.1,6.0,5.0,156.7,6.0,5.0,123.4,6.0,5.0,15.5,6.0,4.0,106.1,5.0,4.0,131.1
