1,田路 朋史,田路 朋史.1,2,中本 大樹,中本 大樹.1,3,土性 雅也,土性 雅也.1,4,植田 太一,植田 太一.1,5,安田 吉宏,安田 吉宏.1,6,野中 義生,野中 義生.1
2.0,3.0,17.0,1.0,3.0,104.0,1.0,2.0,146.1,1.0,2.0,41.1,1.0,2.0,283.3,1.0,2.0,689.8
2.0,4.0,13.7,1.0,4.0,74.4,1.0,4.0,76.5,1.0,3.0,35.5,1.0,3.0,306.8,1.0,3.0,632.9
2.0,5.0,42.4,1.0,5.0,190.2,1.0,5.0,144.5,1.0,5.0,26.5,1.0,4.0,139.4,1.0,4.0,495.6
2.0,6.0,67.3,1.0,6.0,243.5,1.0,6.0,184.2,1.0,6.0,36.8,1.0,6.0,195.4,1.0,5.0,958.8
3.0,2.0,21.7,3.0,1.0,163.8,2.0,1.0,232.2,2.0,1.0,103.2,2.0,1.0,584.7,2.0,1.0,1081.0
3.0,4.0,9.7,3.0,4.0,128.4,2.0,4.0,178.2,2.0,3.0,202.1,2.0,3.0,749.2,2.0,3.0,1594.0
3.0,5.0,27.9,3.0,5.0,214.6,2.0,5.0,287.3,2.0,5.0,135.0,2.0,4.0,579.4,2.0,4.0,1400.0
3.0,6.0,34.7,3.0,6.0,354.4,2.0,6.0,435.3,2.0,6.0,222.8,2.0,6.0,807.4,2.0,5.0,1760.0
4.0,2.0,12.3,4.0,1.0,121.3,4.0,1.0,119.6,3.0,1.0,93.2,3.0,1.0,598.8,3.0,1.0,897.4
4.0,3.0,9.0,4.0,3.0,167.7,4.0,2.0,223.4,3.0,2.0,232.7,3.0,2.0,912.6,3.0,2.0,1695.0
4.0,5.0,15.5,4.0,5.0,216.8,4.0,5.0,213.3,3.0,5.0,185.3,3.0,4.0,747.5,3.0,4.0,1110.0
4.0,6.0,19.9,4.0,6.0,333.8,4.0,6.0,255.6,3.0,6.0,211.2,3.0,6.0,1146.0,3.0,5.0,1563.0
5.0,2.0,64.0,5.0,1.0,345.3,5.0,1.0,299.1,5.0,1.0,33.2,4.0,1.0,122.5,4.0,1.0,536.9
5.0,3.0,57.9,5.0,3.0,383.0,5.0,2.0,424.4,5.0,2.0,76.1,4.0,2.0,292.8,4.0,2.0,1029.0
5.0,4.0,41.1,5.0,4.0,331.1,5.0,4.0,312.1,5.0,3.0,124.7,4.0,3.0,449.9,4.0,3.0,902.4
5.0,6.0,79.4,5.0,6.0,423.3,5.0,6.0,452.4,5.0,6.0,42.9,4.0,6.0,154.1,4.0,5.0,747.5
6.0,2.0,121.7,6.0,1.0,712.7,6.0,1.0,453.1,6.0,1.0,76.1,6.0,1.0,495.6,5.0,1.0,1206.0
6.0,3.0,92.8,6.0,3.0,765.2,6.0,2.0,985.2,6.0,2.0,172.2,6.0,2.0,904.9,5.0,2.0,1635.0
6.0,4.0,71.2,6.0,4.0,854.5,6.0,4.0,523.0,6.0,3.0,234.4,6.0,3.0,1013.0,5.0,3.0,1602.0
6.0,5.0,157.9,6.0,5.0,791.5,6.0,5.0,791.5,6.0,5.0,82.3,6.0,4.0,416.2,5.0,4.0,902.4
