1,浦野 海,浦野 海.1,2,金子 猛志,金子 猛志.1,3,山本 隆幸,山本 隆幸.1,4,畑田 希咲,畑田 希咲.1,5,大場 敏,大場 敏.1,6,本橋 克洋,本橋 克洋.1
2.0,3.0,20.5,1.0,3.0,92.9,1.0,2.0,45.4,1.0,2.0,964.9,1.0,2.0,130.7,1.0,2.0,291.7
2.0,4.0,241.2,1.0,4.0,517.3,1.0,4.0,230.0,1.0,3.0,2198.0,1.0,3.0,58.1,1.0,3.0,141.5
2.0,5.0,27.0,1.0,5.0,118.8,1.0,5.0,16.6,1.0,5.0,1362.0,1.0,4.0,541.0,1.0,4.0,1309.0
2.0,6.0,40.0,1.0,6.0,151.4,1.0,6.0,23.5,1.0,6.0,1458.0,1.0,6.0,73.4,1.0,5.0,192.5
3.0,2.0,16.1,3.0,1.0,127.0,2.0,1.0,87.7,2.0,1.0,1161.0,2.0,1.0,224.2,2.0,1.0,505.4
3.0,4.0,205.9,3.0,4.0,974.1,2.0,4.0,436.6,2.0,3.0,2700.0,2.0,3.0,197.4,2.0,3.0,381.9
3.0,5.0,9.0,3.0,5.0,133.7,2.0,5.0,69.7,2.0,5.0,2214.0,2.0,4.0,1157.0,2.0,4.0,1900.0
3.0,6.0,12.4,3.0,6.0,147.4,2.0,6.0,88.3,2.0,6.0,2214.0,2.0,6.0,234.6,2.0,5.0,552.6
4.0,2.0,301.7,4.0,1.0,986.6,4.0,1.0,916.1,3.0,1.0,2297.0,3.0,1.0,33.8,3.0,1.0,140.6
4.0,3.0,574.3,4.0,3.0,2094.0,4.0,2.0,1002.0,3.0,2.0,2565.0,3.0,2.0,109.9,3.0,2.0,267.4
4.0,5.0,633.3,4.0,5.0,1458.0,4.0,5.0,561.7,3.0,5.0,1386.0,3.0,4.0,558.6,3.0,4.0,894.8
4.0,6.0,492.5,4.0,6.0,2167.0,4.0,6.0,561.7,3.0,6.0,1986.0,3.0,6.0,55.7,3.0,5.0,116.6
5.0,2.0,27.7,5.0,1.0,225.1,5.0,1.0,17.1,5.0,1.0,1570.0,4.0,1.0,1368.0,4.0,1.0,1332.0
5.0,3.0,14.2,5.0,3.0,194.7,5.0,2.0,28.2,5.0,2.0,1973.0,4.0,2.0,1646.0,4.0,2.0,2544.0
5.0,4.0,319.9,5.0,4.0,1516.0,5.0,4.0,57.5,5.0,3.0,1719.0,4.0,3.0,1135.0,4.0,3.0,1800.0
5.0,6.0,24.8,5.0,6.0,251.2,5.0,6.0,14.2,5.0,6.0,1374.0,4.0,6.0,1211.0,4.0,5.0,1960.0
6.0,2.0,51.5,6.0,1.0,314.4,6.0,1.0,47.0,6.0,1.0,2230.0,6.0,1.0,92.2,5.0,1.0,178.5
6.0,3.0,30.1,6.0,3.0,270.2,6.0,2.0,94.3,6.0,2.0,2653.0,6.0,2.0,159.0,5.0,2.0,327.4
6.0,4.0,355.0,6.0,4.0,2038.0,6.0,4.0,332.0,6.0,3.0,2386.0,6.0,3.0,67.5,5.0,3.0,121.3
6.0,5.0,41.6,6.0,5.0,373.5,6.0,5.0,32.4,6.0,5.0,2423.0,6.0,4.0,501.3,5.0,4.0,924.4
