1,庄司　樹良々,庄司　樹良々.1,2,植田 太一,植田 太一.1,3,大橋　栄里佳,大橋　栄里佳.1,4,杉山 正樹,杉山 正樹.1,5,森定 晃史,森定 晃史.1,6,梅木 敬太,梅木 敬太.1
2.0,3.0,48.4,1.0,3.0,111.1,1.0,2.0,348.6,1.0,2.0,29.3,1.0,2.0,89.2,1.0,2.0,580.1
2.0,4.0,11.8,1.0,4.0,31.5,1.0,4.0,242.5,1.0,3.0,117.2,1.0,3.0,244.6,1.0,3.0,940.6
2.0,5.0,21.6,1.0,5.0,47.4,1.0,5.0,236.3,1.0,5.0,16.1,1.0,4.0,51.7,1.0,4.0,481.1
2.0,6.0,73.4,1.0,6.0,136.1,1.0,6.0,513.8,1.0,6.0,43.1,1.0,6.0,118.9,1.0,5.0,633.0
3.0,2.0,75.9,3.0,1.0,233.3,2.0,1.0,462.4,2.0,1.0,60.7,2.0,1.0,171.3,2.0,1.0,880.8
3.0,4.0,47.6,3.0,4.0,184.9,2.0,4.0,308.0,2.0,3.0,234.6,2.0,3.0,543.1,2.0,3.0,1555.0
3.0,5.0,74.6,3.0,5.0,205.7,2.0,5.0,317.1,2.0,5.0,49.4,2.0,4.0,120.2,2.0,4.0,810.1
3.0,6.0,177.0,3.0,6.0,404.0,2.0,6.0,676.7,2.0,6.0,117.5,2.0,6.0,300.5,2.0,5.0,1021.0
4.0,2.0,12.3,4.0,1.0,56.7,4.0,1.0,290.3,3.0,1.0,238.6,3.0,1.0,483.9,3.0,1.0,1527.0
4.0,3.0,38.7,4.0,3.0,171.8,4.0,2.0,385.3,3.0,2.0,368.3,3.0,2.0,755.0,3.0,2.0,2120.0
4.0,5.0,10.9,4.0,5.0,56.5,4.0,5.0,201.8,3.0,5.0,187.4,3.0,4.0,437.5,3.0,4.0,1771.0
4.0,6.0,41.4,4.0,6.0,146.9,4.0,6.0,401.6,3.0,6.0,297.0,3.0,6.0,783.4,3.0,5.0,1555.0
5.0,2.0,29.6,5.0,1.0,110.9,5.0,1.0,360.3,5.0,1.0,15.8,4.0,1.0,43.6,4.0,1.0,545.8
5.0,3.0,78.2,5.0,3.0,289.0,5.0,2.0,394.0,5.0,2.0,26.1,4.0,2.0,65.1,4.0,2.0,706.9
5.0,4.0,22.3,5.0,4.0,86.5,5.0,4.0,294.6,5.0,3.0,90.3,4.0,3.0,205.6,4.0,3.0,1310.0
5.0,6.0,69.3,5.0,6.0,256.3,5.0,6.0,590.3,5.0,6.0,24.1,4.0,6.0,69.4,4.0,5.0,317.7
6.0,2.0,183.0,6.0,1.0,403.6,6.0,1.0,1261.0,6.0,1.0,117.1,6.0,1.0,292.5,5.0,1.0,767.2
6.0,3.0,285.8,6.0,3.0,725.4,6.0,2.0,1370.0,6.0,2.0,145.5,6.0,2.0,386.7,5.0,2.0,1215.0
6.0,4.0,125.8,6.0,4.0,309.1,6.0,4.0,1136.0,6.0,3.0,341.1,6.0,3.0,660.6,5.0,3.0,1290.0
6.0,5.0,168.5,6.0,5.0,417.7,6.0,5.0,985.1,6.0,5.0,84.5,6.0,4.0,175.9,5.0,4.0,347.2
