1,大谷 直弘,大谷 直弘.1,2,西橋 奈未,西橋 奈未.1,3,安田 吉宏,安田 吉宏.1,4,木村 仁紀,木村 仁紀.1,5,村上 彰一,村上 彰一.1,6,中尾 優香,中尾 優香.1
2.0,3.0,17.7,1.0,3.0,28.3,1.0,2.0,165.4,1.0,2.0,23.0,1.0,2.0,279.5,1.0,2.0,1027.0
2.0,4.0,6.1,1.0,4.0,9.6,1.0,4.0,155.7,1.0,3.0,80.6,1.0,3.0,580.4,1.0,3.0,2225.0
2.0,5.0,23.7,1.0,5.0,30.6,1.0,5.0,248.2,1.0,5.0,41.4,1.0,4.0,263.7,1.0,4.0,1750.0
2.0,6.0,110.7,1.0,6.0,129.1,1.0,6.0,586.5,1.0,6.0,203.1,1.0,6.0,920.7,1.0,5.0,2952.0
3.0,2.0,33.0,3.0,1.0,78.3,2.0,1.0,179.5,2.0,1.0,25.2,2.0,1.0,352.0,2.0,1.0,1306.0
3.0,4.0,29.4,3.0,4.0,58.4,2.0,4.0,134.4,2.0,3.0,70.7,2.0,3.0,755.7,2.0,3.0,2446.0
3.0,5.0,72.9,3.0,5.0,120.8,2.0,5.0,242.9,2.0,5.0,39.4,2.0,4.0,254.6,2.0,4.0,1077.0
3.0,6.0,233.0,3.0,6.0,340.4,2.0,6.0,593.6,2.0,6.0,177.5,2.0,6.0,1200.0,2.0,5.0,2684.0
4.0,2.0,8.6,4.0,1.0,16.1,4.0,1.0,187.6,3.0,1.0,183.1,3.0,1.0,1001.0,3.0,1.0,2684.0
4.0,3.0,24.4,4.0,3.0,39.5,4.0,2.0,158.7,3.0,2.0,151.3,3.0,2.0,997.4,3.0,2.0,3209.0
4.0,5.0,22.5,4.0,5.0,30.8,4.0,5.0,239.6,3.0,5.0,204.6,3.0,4.0,960.6,3.0,4.0,3571.0
4.0,6.0,139.8,4.0,6.0,126.8,4.0,6.0,715.4,3.0,6.0,617.6,3.0,6.0,2294.0,3.0,5.0,3514.0
5.0,2.0,71.1,5.0,1.0,115.5,5.0,1.0,504.9,5.0,1.0,64.2,4.0,1.0,294.8,4.0,1.0,2192.0
5.0,3.0,119.3,5.0,3.0,215.1,5.0,2.0,473.1,5.0,2.0,54.6,4.0,2.0,245.3,4.0,2.0,1121.0
5.0,4.0,73.0,5.0,4.0,93.7,5.0,4.0,474.6,5.0,3.0,191.3,4.0,3.0,727.2,4.0,3.0,3256.0
5.0,6.0,404.4,5.0,6.0,551.5,5.0,6.0,1223.0,5.0,6.0,249.9,4.0,6.0,928.4,4.0,5.0,3118.0
6.0,2.0,357.7,6.0,1.0,581.2,6.0,1.0,1703.0,6.0,1.0,527.2,6.0,1.0,2406.0,5.0,1.0,4217.0
6.0,3.0,508.4,6.0,3.0,898.3,6.0,2.0,1318.0,6.0,2.0,412.3,6.0,2.0,1900.0,5.0,2.0,3186.0
6.0,4.0,447.3,6.0,4.0,466.6,6.0,4.0,1853.0,6.0,3.0,1027.0,6.0,3.0,3256.0,5.0,3.0,3459.0
6.0,5.0,743.0,6.0,5.0,990.7,6.0,5.0,2059.0,6.0,5.0,608.3,6.0,4.0,2271.0,5.0,4.0,3487.0
