1,杉山 正樹,杉山 正樹.1,2,沢田 昭宏,沢田 昭宏.1,3,牧山 敦也,牧山 敦也.1,4,森 智也,森 智也.1,5,阪本 勇介,阪本 勇介.1,6,佐々木　和伸,佐々木　和伸.1
2.0,3.0,19.3,1.0,3.0,227.7,1.0,2.0,113.0,1.0,2.0,172.8,1.0,2.0,307.5,1.0,2.0,263.3
2.0,4.0,19.1,1.0,4.0,233.0,1.0,4.0,39.8,1.0,3.0,83.6,1.0,3.0,198.1,1.0,3.0,116.8
2.0,5.0,41.6,1.0,5.0,348.2,1.0,5.0,59.7,1.0,5.0,78.8,1.0,4.0,173.9,1.0,4.0,153.6
2.0,6.0,29.7,1.0,6.0,276.9,1.0,6.0,37.3,1.0,6.0,59.3,1.0,6.0,171.3,1.0,5.0,265.1
3.0,2.0,17.5,3.0,1.0,554.6,2.0,1.0,354.6,2.0,1.0,581.9,2.0,1.0,866.9,2.0,1.0,922.5
3.0,4.0,7.1,3.0,4.0,1027.0,2.0,4.0,525.5,2.0,3.0,1063.0,2.0,3.0,1382.0,2.0,3.0,1374.0
3.0,5.0,17.8,3.0,5.0,1211.0,2.0,5.0,681.9,2.0,5.0,892.1,2.0,4.0,1078.0,2.0,4.0,1680.0
3.0,6.0,9.5,3.0,6.0,1068.0,2.0,6.0,521.9,2.0,6.0,729.5,2.0,6.0,1250.0,2.0,5.0,1805.0
4.0,2.0,19.7,4.0,1.0,737.7,4.0,1.0,99.0,3.0,1.0,158.9,3.0,1.0,379.1,3.0,1.0,245.3
4.0,3.0,11.8,4.0,3.0,1304.0,4.0,2.0,385.2,3.0,2.0,617.0,3.0,2.0,1230.0,3.0,2.0,904.4
4.0,5.0,23.0,4.0,5.0,1114.0,4.0,5.0,180.8,3.0,5.0,289.8,3.0,4.0,758.3,3.0,4.0,430.6
4.0,6.0,14.0,4.0,6.0,1201.0,4.0,6.0,121.1,3.0,6.0,186.8,3.0,6.0,738.9,3.0,5.0,858.8
5.0,2.0,68.9,5.0,1.0,1013.0,5.0,1.0,210.7,5.0,1.0,145.1,4.0,1.0,281.5,4.0,1.0,318.5
5.0,3.0,43.7,5.0,3.0,1529.0,5.0,2.0,734.1,5.0,2.0,543.4,4.0,2.0,655.7,4.0,2.0,1429.0
5.0,4.0,43.5,5.0,4.0,1330.0,5.0,4.0,290.4,5.0,3.0,327.8,4.0,3.0,652.9,4.0,3.0,500.9
5.0,6.0,47.7,5.0,6.0,1357.0,5.0,6.0,313.5,5.0,6.0,177.9,4.0,6.0,365.6,4.0,5.0,723.8
6.0,2.0,57.1,6.0,1.0,969.1,6.0,1.0,123.5,6.0,1.0,126.6,6.0,1.0,376.7,5.0,1.0,772.3
6.0,3.0,23.1,6.0,3.0,1524.0,6.0,2.0,444.7,6.0,2.0,457.5,6.0,2.0,967.1,5.0,2.0,1416.0
6.0,4.0,28.9,6.0,4.0,1544.0,6.0,4.0,184.0,6.0,3.0,231.9,6.0,3.0,593.9,5.0,3.0,1020.0
6.0,5.0,55.5,6.0,5.0,1549.0,6.0,5.0,313.1,6.0,5.0,237.6,6.0,4.0,464.5,5.0,4.0,833.9
