1,岩崎 正哉,岩崎 正哉.1,2,井上 大輔,井上 大輔.1,3,新田 智彰,新田 智彰.1,4,宮地 秀祈,宮地 秀祈.1,5,三好 勇人,三好 勇人.1,6,森安 弘雅,森安 弘雅.1
2.0,3.0,6.9,1.0,3.0,26.5,1.0,2.0,57.1,1.0,2.0,159.6,1.0,2.0,78.8,1.0,2.0,521.5
2.0,4.0,13.1,1.0,4.0,43.7,1.0,4.0,100.6,1.0,3.0,280.1,1.0,3.0,107.2,1.0,3.0,829.0
2.0,5.0,8.0,1.0,5.0,27.7,1.0,5.0,55.2,1.0,5.0,211.1,1.0,4.0,187.5,1.0,4.0,970.8
2.0,6.0,23.2,1.0,6.0,67.4,1.0,6.0,108.9,1.0,6.0,300.8,1.0,6.0,156.8,1.0,5.0,785.4
3.0,2.0,10.7,3.0,1.0,76.5,2.0,1.0,111.7,2.0,1.0,264.7,2.0,1.0,145.6,2.0,1.0,776.2
3.0,4.0,23.9,3.0,4.0,166.4,2.0,4.0,226.0,2.0,3.0,544.0,2.0,3.0,242.5,2.0,3.0,1280.0
3.0,5.0,13.9,3.0,5.0,91.7,2.0,5.0,139.2,2.0,5.0,383.5,2.0,4.0,409.3,2.0,4.0,1537.0
3.0,6.0,32.8,3.0,6.0,217.0,2.0,6.0,297.0,2.0,6.0,639.0,2.0,6.0,335.8,2.0,5.0,1251.0
4.0,2.0,30.5,4.0,1.0,133.7,4.0,1.0,308.1,3.0,1.0,609.4,3.0,1.0,239.7,3.0,1.0,1022.0
4.0,3.0,44.9,4.0,3.0,229.0,4.0,2.0,404.3,3.0,2.0,701.7,3.0,2.0,313.1,3.0,2.0,1662.0
4.0,5.0,49.7,4.0,5.0,212.7,4.0,5.0,471.5,3.0,5.0,814.6,3.0,4.0,691.4,3.0,4.0,1567.0
4.0,6.0,69.3,4.0,6.0,356.1,4.0,6.0,529.1,3.0,6.0,914.2,3.0,6.0,514.2,3.0,5.0,1696.0
5.0,2.0,18.6,5.0,1.0,85.6,5.0,1.0,162.3,5.0,1.0,309.3,4.0,1.0,441.1,4.0,1.0,1605.0
5.0,3.0,25.2,5.0,3.0,130.4,5.0,2.0,196.1,5.0,2.0,421.9,4.0,2.0,575.3,4.0,2.0,1779.0
5.0,4.0,55.6,5.0,4.0,213.4,5.0,4.0,491.2,5.0,3.0,649.1,4.0,3.0,835.3,4.0,3.0,1613.0
5.0,6.0,52.6,5.0,6.0,196.7,5.0,6.0,384.4,5.0,6.0,455.8,4.0,6.0,664.8,4.0,5.0,2301.0
6.0,2.0,80.1,6.0,1.0,348.2,6.0,1.0,494.9,6.0,1.0,687.1,6.0,1.0,432.4,5.0,1.0,1006.0
6.0,3.0,119.3,6.0,3.0,476.9,6.0,2.0,674.4,6.0,2.0,968.0,6.0,2.0,550.3,5.0,2.0,1327.0
6.0,4.0,137.7,6.0,4.0,662.2,6.0,4.0,866.1,6.0,3.0,932.3,6.0,3.0,554.0,5.0,3.0,1613.0
6.0,5.0,125.4,6.0,5.0,352.0,6.0,5.0,598.4,6.0,5.0,723.3,6.0,4.0,772.5,5.0,4.0,1902.0
