1,平瀬 城啓,平瀬 城啓.1,2,宮地 秀祈,宮地 秀祈.1,3,松田 竜馬,松田 竜馬.1,4,中岡 健人,中岡 健人.1,5,川口 貴久,川口 貴久.1,6,下田 哲也,下田 哲也.1
2.0,3.0,19.0,1.0,3.0,38.9,1.0,2.0,21.0,1.0,2.0,202.5,1.0,2.0,229.7,1.0,2.0,793.1
2.0,4.0,46.0,1.0,4.0,80.3,1.0,4.0,20.5,1.0,3.0,158.6,1.0,3.0,143.9,1.0,3.0,579.7
2.0,5.0,66.3,1.0,5.0,81.4,1.0,5.0,19.9,1.0,5.0,191.0,1.0,4.0,255.5,1.0,4.0,903.9
2.0,6.0,73.1,1.0,6.0,97.6,1.0,6.0,37.5,1.0,6.0,240.8,1.0,6.0,216.1,1.0,5.0,793.1
3.0,2.0,14.2,3.0,1.0,58.1,2.0,1.0,36.4,2.0,1.0,314.8,2.0,1.0,280.2,2.0,1.0,866.7
3.0,4.0,17.0,3.0,4.0,72.4,2.0,4.0,40.7,2.0,3.0,217.2,2.0,3.0,165.4,2.0,3.0,724.7
3.0,5.0,20.7,3.0,5.0,56.1,2.0,5.0,32.1,2.0,5.0,294.9,2.0,4.0,334.9,2.0,4.0,1355.0
3.0,6.0,46.5,3.0,6.0,76.7,2.0,6.0,42.1,2.0,6.0,280.2,2.0,6.0,229.0,2.0,5.0,1064.0
4.0,2.0,79.0,4.0,1.0,212.8,4.0,1.0,38.0,3.0,1.0,136.0,3.0,1.0,127.9,3.0,1.0,518.9
4.0,3.0,49.7,4.0,3.0,146.7,4.0,2.0,52.1,3.0,2.0,165.8,3.0,2.0,115.6,3.0,2.0,667.2
4.0,5.0,98.4,4.0,5.0,202.5,4.0,5.0,31.8,3.0,5.0,117.4,3.0,4.0,135.5,3.0,4.0,518.9
4.0,6.0,126.2,4.0,6.0,274.7,4.0,6.0,47.6,3.0,6.0,147.4,3.0,6.0,109.3,3.0,5.0,373.6
5.0,2.0,83.2,5.0,1.0,208.0,5.0,1.0,34.1,5.0,1.0,224.1,4.0,1.0,290.9,4.0,1.0,1077.0
5.0,3.0,58.2,5.0,3.0,132.1,5.0,2.0,42.7,5.0,2.0,257.8,4.0,2.0,312.5,4.0,2.0,1201.0
5.0,4.0,128.1,5.0,4.0,244.3,5.0,4.0,40.4,5.0,3.0,162.6,4.0,3.0,193.7,4.0,3.0,677.9
5.0,6.0,143.2,5.0,6.0,239.5,5.0,6.0,36.0,5.0,6.0,187.2,4.0,6.0,209.6,4.0,5.0,1120.0
6.0,2.0,234.1,6.0,1.0,451.9,6.0,1.0,120.6,6.0,1.0,348.8,6.0,1.0,284.9,5.0,1.0,672.5
6.0,3.0,170.5,6.0,3.0,302.4,6.0,2.0,109.4,6.0,2.0,437.8,6.0,2.0,299.1,5.0,2.0,913.8
6.0,4.0,262.7,6.0,4.0,518.9,6.0,4.0,101.5,6.0,3.0,228.4,6.0,3.0,217.2,5.0,3.0,402.2
6.0,5.0,291.9,6.0,5.0,456.9,6.0,5.0,84.6,6.0,5.0,334.9,6.0,4.0,312.5,5.0,4.0,923.8
