1,川原 正明,川原 正明.1,2,桐本 康臣,桐本 康臣.1,3,森安 弘雅,森安 弘雅.1,4,小坂 宗司,小坂 宗司.1,5,土井 歩夢,土井 歩夢.1,6,香月 大輝,香月 大輝.1
2.0,3.0,6.6,1.0,3.0,13.6,1.0,2.0,45.5,1.0,2.0,63.1,1.0,2.0,222.7,1.0,2.0,1904.0
2.0,4.0,8.0,1.0,4.0,13.1,1.0,4.0,42.2,1.0,3.0,96.6,1.0,3.0,272.1,1.0,3.0,3301.0
2.0,5.0,25.6,1.0,5.0,52.2,1.0,5.0,80.5,1.0,5.0,99.3,1.0,4.0,241.1,1.0,4.0,3301.0
2.0,6.0,261.5,1.0,6.0,170.7,1.0,6.0,538.3,1.0,6.0,503.6,1.0,6.0,1010.0,1.0,5.0,4127.0
3.0,2.0,10.1,3.0,1.0,42.7,2.0,1.0,74.4,2.0,1.0,89.8,2.0,1.0,338.4,2.0,1.0,2251.0
3.0,4.0,10.8,3.0,4.0,51.6,2.0,4.0,79.5,2.0,3.0,133.9,2.0,3.0,554.3,2.0,3.0,6190.0
3.0,5.0,30.3,3.0,5.0,159.7,2.0,5.0,198.3,2.0,5.0,144.1,2.0,4.0,443.5,2.0,4.0,2435.0
3.0,6.0,245.5,3.0,6.0,552.3,2.0,6.0,1039.0,2.0,6.0,637.6,2.0,6.0,1531.0,2.0,5.0,5123.0
4.0,2.0,13.1,4.0,1.0,39.0,4.0,1.0,99.1,3.0,1.0,159.9,3.0,1.0,479.2,3.0,1.0,3376.0
4.0,3.0,17.2,4.0,3.0,56.2,4.0,2.0,109.2,3.0,2.0,185.7,3.0,2.0,629.5,3.0,2.0,4792.0
4.0,5.0,38.3,4.0,5.0,129.4,4.0,5.0,177.3,3.0,5.0,231.4,3.0,4.0,601.5,3.0,4.0,6459.0
4.0,6.0,274.1,4.0,6.0,451.6,4.0,6.0,858.8,3.0,6.0,1134.0,3.0,6.0,2035.0,3.0,5.0,7075.0
5.0,2.0,65.5,5.0,1.0,159.5,5.0,1.0,206.6,5.0,1.0,132.5,4.0,1.0,333.1,4.0,1.0,5123.0
5.0,3.0,70.8,5.0,3.0,308.2,5.0,2.0,310.1,5.0,2.0,150.8,4.0,2.0,409.3,4.0,2.0,3376.0
5.0,4.0,62.5,5.0,4.0,245.5,5.0,4.0,279.2,5.0,3.0,235.4,4.0,3.0,603.9,4.0,3.0,6190.0
5.0,6.0,556.4,5.0,6.0,863.8,5.0,6.0,1248.0,5.0,6.0,571.4,4.0,6.0,1314.0,4.0,5.0,5714.0
6.0,2.0,769.8,6.0,1.0,1747.0,6.0,1.0,1485.0,6.0,1.0,1269.0,6.0,1.0,2063.0,5.0,1.0,3455.0
6.0,3.0,868.8,6.0,3.0,2358.0,6.0,2.0,1954.0,6.0,2.0,1303.0,6.0,2.0,2396.0,5.0,2.0,6190.0
6.0,4.0,1291.0,6.0,4.0,1500.0,6.0,4.0,1632.0,6.0,3.0,2653.0,6.0,3.0,2751.0,5.0,3.0,5306.0
6.0,5.0,1188.0,6.0,5.0,2285.0,6.0,5.0,2803.0,6.0,5.0,1768.0,6.0,4.0,2653.0,5.0,4.0,3909.0
