1,川村 正輝,川村 正輝.1,2,鈴木 峻佑,鈴木 峻佑.1,3,宮地 秀祈,宮地 秀祈.1,4,藤丸 光一,藤丸 光一.1,5,宮崎 奨,宮崎 奨.1,6,小坂 宗司,小坂 宗司.1
2.0,3.0,31.0,1.0,3.0,104.5,1.0,2.0,252.5,1.0,2.0,131.7,1.0,2.0,34.8,1.0,2.0,394.3
2.0,4.0,28.0,1.0,4.0,75.5,1.0,4.0,234.0,1.0,3.0,164.5,1.0,3.0,69.4,1.0,3.0,899.7
2.0,5.0,14.7,1.0,5.0,56.7,1.0,5.0,139.9,1.0,5.0,55.5,1.0,4.0,25.6,1.0,4.0,384.3
2.0,6.0,39.3,1.0,6.0,125.0,1.0,6.0,298.4,1.0,6.0,92.8,1.0,6.0,29.1,1.0,5.0,242.9
3.0,2.0,42.2,3.0,1.0,261.7,2.0,1.0,357.2,2.0,1.0,212.7,2.0,1.0,66.5,2.0,1.0,598.3
3.0,4.0,39.4,3.0,4.0,413.1,2.0,4.0,460.0,2.0,3.0,476.3,2.0,3.0,255.1,2.0,3.0,1124.0
3.0,5.0,21.8,3.0,5.0,273.5,2.0,5.0,352.0,2.0,5.0,214.6,2.0,4.0,157.5,2.0,4.0,880.1
3.0,6.0,39.5,3.0,6.0,465.3,2.0,6.0,690.1,2.0,6.0,272.9,2.0,6.0,92.0,2.0,5.0,506.1
4.0,2.0,36.5,4.0,1.0,161.0,4.0,1.0,427.6,3.0,1.0,362.5,3.0,1.0,196.5,3.0,1.0,1446.0
4.0,3.0,39.8,4.0,3.0,396.9,4.0,2.0,537.4,3.0,2.0,710.3,3.0,2.0,383.1,3.0,2.0,1663.0
4.0,5.0,17.3,4.0,5.0,165.9,4.0,5.0,335.5,3.0,5.0,366.9,3.0,4.0,340.2,3.0,4.0,1812.0
4.0,6.0,43.1,4.0,6.0,273.5,4.0,6.0,516.8,3.0,6.0,530.4,3.0,6.0,229.6,3.0,5.0,913.2
5.0,2.0,19.9,5.0,1.0,114.5,5.0,1.0,276.6,5.0,1.0,33.7,4.0,1.0,49.6,4.0,1.0,547.1
5.0,3.0,23.6,5.0,3.0,267.5,5.0,2.0,369.1,5.0,2.0,76.6,4.0,2.0,124.3,4.0,2.0,763.9
5.0,4.0,15.4,5.0,4.0,171.0,5.0,4.0,362.5,5.0,3.0,116.1,4.0,3.0,226.6,4.0,3.0,1428.0
5.0,6.0,20.3,5.0,6.0,176.0,5.0,6.0,352.0,5.0,6.0,40.0,4.0,6.0,45.5,4.0,5.0,277.3
6.0,2.0,107.7,6.0,1.0,335.5,6.0,1.0,820.7,6.0,1.0,188.9,6.0,1.0,43.2,5.0,1.0,206.2
6.0,3.0,90.7,6.0,3.0,788.7,6.0,2.0,1084.0,6.0,2.0,317.9,6.0,2.0,61.6,5.0,2.0,334.6
6.0,4.0,86.0,6.0,4.0,478.2,6.0,4.0,849.3,6.0,3.0,635.9,6.0,3.0,127.8,5.0,3.0,559.7
6.0,5.0,37.6,6.0,5.0,328.2,6.0,5.0,619.7,6.0,5.0,124.1,6.0,4.0,54.3,5.0,4.0,251.4
