1,渡邊 哲也,渡邊 哲也.1,2,松田 竜馬,松田 竜馬.1,3,川原 正明,川原 正明.1,4,三好 勇人,三好 勇人.1,5,宮野 仁,宮野 仁.1,6,船越 健吾,船越 健吾.1
2.0,3.0,19.1,1.0,3.0,19.9,1.0,2.0,44.3,1.0,2.0,50.5,1.0,2.0,295.7,1.0,2.0,582.7
2.0,4.0,19.4,1.0,4.0,15.1,1.0,4.0,45.2,1.0,3.0,82.6,1.0,3.0,494.8,1.0,3.0,849.0
2.0,5.0,50.2,1.0,5.0,33.2,1.0,5.0,101.0,1.0,5.0,90.9,1.0,4.0,485.1,1.0,4.0,920.4
2.0,6.0,91.5,1.0,6.0,66.2,1.0,6.0,167.2,1.0,6.0,97.2,1.0,6.0,521.0,1.0,5.0,1588.0
3.0,2.0,36.6,3.0,1.0,29.9,2.0,1.0,53.5,2.0,1.0,48.4,2.0,1.0,253.1,2.0,1.0,639.5
3.0,4.0,34.9,3.0,4.0,17.1,2.0,4.0,26.8,2.0,3.0,44.0,2.0,3.0,377.3,2.0,3.0,631.3
3.0,5.0,79.2,3.0,5.0,47.7,2.0,5.0,52.2,2.0,5.0,48.6,2.0,4.0,226.4,2.0,4.0,582.7
3.0,6.0,143.1,3.0,6.0,54.2,2.0,6.0,62.8,2.0,6.0,54.5,2.0,6.0,430.0,2.0,5.0,946.9
4.0,2.0,34.4,4.0,1.0,24.0,4.0,1.0,68.5,3.0,1.0,127.2,3.0,1.0,482.7,3.0,1.0,1349.0
4.0,3.0,48.6,4.0,3.0,22.1,4.0,2.0,37.7,3.0,2.0,50.5,3.0,2.0,371.6,3.0,2.0,781.6
4.0,5.0,89.5,4.0,5.0,40.8,4.0,5.0,51.4,3.0,5.0,136.7,3.0,4.0,502.4,3.0,4.0,856.3
4.0,6.0,111.5,4.0,6.0,49.1,4.0,6.0,83.7,3.0,6.0,169.8,3.0,6.0,763.4,3.0,5.0,1406.0
5.0,2.0,120.9,5.0,1.0,123.7,5.0,1.0,189.0,5.0,1.0,126.9,4.0,1.0,334.9,4.0,1.0,879.3
5.0,3.0,172.7,5.0,3.0,152.9,5.0,2.0,131.8,5.0,2.0,90.4,4.0,2.0,223.8,4.0,2.0,611.7
5.0,4.0,174.0,5.0,4.0,104.9,5.0,4.0,137.5,5.0,3.0,189.3,4.0,3.0,502.4,4.0,3.0,781.6
5.0,6.0,464.5,5.0,6.0,261.2,5.0,6.0,261.9,5.0,6.0,146.5,4.0,6.0,458.0,4.0,5.0,984.8
6.0,2.0,352.9,6.0,1.0,289.6,6.0,1.0,431.9,6.0,1.0,220.8,6.0,1.0,1492.0,5.0,1.0,2344.0
6.0,3.0,393.9,6.0,3.0,248.6,6.0,2.0,275.0,6.0,2.0,156.8,6.0,2.0,729.5,5.0,2.0,1387.0
6.0,4.0,389.2,6.0,4.0,190.1,6.0,4.0,263.3,6.0,3.0,241.9,6.0,3.0,1186.0,5.0,3.0,2188.0
6.0,5.0,631.3,6.0,5.0,367.4,6.0,5.0,426.3,6.0,5.0,249.3,6.0,4.0,834.6,5.0,4.0,1262.0
