1,新田 智彰,新田 智彰.1,2,宮崎 奨,宮崎 奨.1,3,川上 清人,川上 清人.1,4,小坂 宗司,小坂 宗司.1,5,中岡 健人,中岡 健人.1,6,青木　幸太郎,青木　幸太郎.1
2.0,3.0,9.4,1.0,3.0,26.4,1.0,2.0,159.8,1.0,2.0,59.1,1.0,2.0,213.8,1.0,2.0,209.6
2.0,4.0,5.1,1.0,4.0,12.1,1.0,4.0,197.0,1.0,3.0,212.3,1.0,3.0,406.6,1.0,3.0,788.1
2.0,5.0,14.6,1.0,5.0,36.9,1.0,5.0,268.2,1.0,5.0,143.1,1.0,4.0,306.8,1.0,4.0,426.2
2.0,6.0,14.5,1.0,6.0,30.1,1.0,6.0,409.5,1.0,6.0,128.0,1.0,6.0,306.8,1.0,5.0,684.9
3.0,2.0,23.8,3.0,1.0,113.7,2.0,1.0,251.8,2.0,1.0,77.8,2.0,1.0,313.5,2.0,1.0,286.2
3.0,4.0,29.6,3.0,4.0,167.5,2.0,4.0,262.1,2.0,3.0,250.7,2.0,3.0,689.0,2.0,3.0,852.4
3.0,5.0,47.5,3.0,5.0,236.7,2.0,5.0,447.7,2.0,5.0,204.7,2.0,4.0,516.0,2.0,4.0,416.9
3.0,6.0,60.8,3.0,6.0,279.3,2.0,6.0,530.3,2.0,6.0,167.2,2.0,6.0,547.9,2.0,5.0,871.7
4.0,2.0,11.9,4.0,1.0,46.3,4.0,1.0,381.0,3.0,1.0,394.0,3.0,1.0,608.8,3.0,1.0,1403.0
4.0,3.0,31.4,4.0,3.0,130.0,4.0,2.0,392.7,3.0,2.0,432.6,3.0,2.0,913.3,3.0,2.0,1264.0
4.0,5.0,44.0,4.0,5.0,95.2,4.0,5.0,618.6,3.0,5.0,821.9,3.0,4.0,1085.0,3.0,4.0,1338.0
4.0,6.0,37.6,4.0,6.0,81.3,4.0,6.0,518.3,3.0,6.0,693.2,3.0,6.0,1353.0,3.0,5.0,2018.0
5.0,2.0,46.8,5.0,1.0,138.6,5.0,1.0,561.3,5.0,1.0,232.0,4.0,1.0,569.6,4.0,1.0,705.9
5.0,3.0,85.6,5.0,3.0,296.5,5.0,2.0,646.4,5.0,2.0,273.3,4.0,2.0,705.9,4.0,2.0,622.0
5.0,4.0,67.8,5.0,4.0,220.8,5.0,4.0,846.1,5.0,3.0,661.3,4.0,3.0,1250.0,4.0,3.0,1514.0
5.0,6.0,101.6,5.0,6.0,238.7,5.0,6.0,1186.0,5.0,6.0,301.2,4.0,6.0,878.4,4.0,5.0,1456.0
6.0,2.0,40.5,6.0,1.0,132.8,6.0,1.0,810.3,6.0,1.0,279.3,6.0,1.0,615.3,5.0,1.0,983.5
6.0,3.0,90.8,6.0,3.0,427.7,6.0,2.0,793.6,6.0,2.0,289.1,6.0,2.0,622.0,5.0,2.0,1065.0
6.0,4.0,67.5,6.0,4.0,211.1,6.0,4.0,885.2,6.0,3.0,827.8,6.0,3.0,1278.0,5.0,3.0,2092.0
6.0,5.0,95.4,6.0,5.0,280.6,6.0,5.0,1643.0,6.0,5.0,430.9,6.0,4.0,958.9,5.0,4.0,1420.0
