1,土井 歩夢,土井 歩夢.1,2,藤丸 光一,藤丸 光一.1,3,大西 隆洋,大西 隆洋.1,4,寺嶋 雄,寺嶋 雄.1,5,川原 正明,川原 正明.1,6,井川 大作,井川 大作.1
2.0,3.0,14.8,1.0,3.0,42.1,1.0,2.0,114.7,1.0,2.0,89.2,1.0,2.0,62.2,1.0,2.0,1011.0
2.0,4.0,12.0,1.0,4.0,34.2,1.0,4.0,99.6,1.0,3.0,159.1,1.0,3.0,82.3,1.0,3.0,1633.0
2.0,5.0,11.9,1.0,5.0,30.5,1.0,5.0,96.9,1.0,5.0,92.4,1.0,4.0,78.7,1.0,4.0,1473.0
2.0,6.0,68.1,1.0,6.0,120.3,1.0,6.0,325.8,1.0,6.0,224.8,1.0,6.0,112.9,1.0,5.0,1210.0
3.0,2.0,26.9,3.0,1.0,86.7,2.0,1.0,151.9,2.0,1.0,100.7,2.0,1.0,86.8,2.0,1.0,1489.0
3.0,4.0,27.1,3.0,4.0,80.0,2.0,4.0,117.3,2.0,3.0,156.9,2.0,3.0,84.9,2.0,3.0,1291.0
3.0,5.0,29.1,3.0,5.0,58.4,2.0,5.0,99.0,2.0,5.0,85.5,2.0,4.0,76.1,2.0,4.0,1342.0
3.0,6.0,123.3,3.0,6.0,267.9,2.0,6.0,345.8,2.0,6.0,218.6,2.0,6.0,139.0,2.0,5.0,788.1
4.0,2.0,17.5,4.0,1.0,72.3,4.0,1.0,147.9,3.0,1.0,216.2,3.0,1.0,153.1,3.0,1.0,1964.0
4.0,3.0,32.3,4.0,3.0,90.8,4.0,2.0,140.7,3.0,2.0,196.7,3.0,2.0,113.9,3.0,2.0,1426.0
4.0,5.0,24.0,4.0,5.0,66.0,4.0,5.0,93.3,3.0,5.0,135.6,3.0,4.0,122.5,3.0,4.0,1807.0
4.0,6.0,84.7,4.0,6.0,212.1,4.0,6.0,357.6,3.0,6.0,485.8,3.0,6.0,273.3,3.0,5.0,1807.0
5.0,2.0,22.5,5.0,1.0,69.4,5.0,1.0,142.1,5.0,1.0,73.4,4.0,1.0,104.8,4.0,1.0,1673.0
5.0,3.0,35.2,5.0,3.0,63.9,5.0,2.0,117.2,5.0,2.0,65.6,4.0,2.0,87.1,4.0,2.0,1342.0
5.0,4.0,28.6,5.0,4.0,70.2,5.0,4.0,100.2,5.0,3.0,94.0,4.0,3.0,118.0,4.0,3.0,2464.0
5.0,6.0,78.8,5.0,6.0,129.8,5.0,6.0,297.9,5.0,6.0,117.0,4.0,6.0,142.1,4.0,5.0,1168.0
6.0,2.0,274.9,6.0,1.0,480.7,6.0,1.0,1189.0,6.0,1.0,487.6,6.0,1.0,235.7,5.0,1.0,1102.0
6.0,3.0,397.5,6.0,3.0,560.1,6.0,2.0,863.4,6.0,2.0,509.6,6.0,2.0,210.5,5.0,2.0,886.0
6.0,4.0,325.8,6.0,4.0,521.4,6.0,4.0,1059.0,6.0,3.0,698.7,6.0,3.0,307.4,5.0,3.0,1426.0
6.0,5.0,318.9,6.0,5.0,341.4,6.0,5.0,891.8,6.0,5.0,377.6,6.0,4.0,233.3,5.0,4.0,1111.0
