1,橋本 英一,橋本 英一.1,2,田中 孝明,田中 孝明.1,3,安東 幸治,安東 幸治.1,4,下河 雅史,下河 雅史.1,5,柴田 朋哉,柴田 朋哉.1,6,石川 真二,石川 真二.1
2.0,3.0,146.0,1.0,3.0,197.1,1.0,2.0,170.3,1.0,2.0,451.8,1.0,2.0,509.3,1.0,2.0,49.3
2.0,4.0,252.6,1.0,4.0,238.2,1.0,4.0,87.7,1.0,3.0,265.2,1.0,3.0,371.4,1.0,3.0,19.9
2.0,5.0,324.3,1.0,5.0,267.4,1.0,5.0,96.1,1.0,5.0,312.2,1.0,4.0,536.3,1.0,4.0,43.3
2.0,6.0,182.5,1.0,6.0,186.6,1.0,6.0,62.1,1.0,6.0,223.0,1.0,6.0,246.4,1.0,5.0,50.6
3.0,2.0,151.4,3.0,1.0,142.6,2.0,1.0,163.1,2.0,1.0,471.7,2.0,1.0,633.7,2.0,1.0,56.7
3.0,4.0,129.3,3.0,4.0,73.2,2.0,4.0,79.3,2.0,3.0,233.6,2.0,3.0,452.8,2.0,3.0,33.0
3.0,5.0,153.0,3.0,5.0,93.2,2.0,5.0,88.8,2.0,5.0,318.9,2.0,4.0,568.1,2.0,4.0,52.7
3.0,6.0,68.9,3.0,6.0,68.1,2.0,6.0,77.6,2.0,6.0,210.0,2.0,6.0,413.8,2.0,5.0,72.2
4.0,2.0,336.8,4.0,1.0,267.0,4.0,1.0,93.2,3.0,1.0,195.1,3.0,1.0,301.9,3.0,1.0,20.5
4.0,3.0,226.1,4.0,3.0,124.7,4.0,2.0,91.3,3.0,2.0,175.2,3.0,2.0,322.7,3.0,2.0,28.3
4.0,5.0,297.7,4.0,5.0,157.0,4.0,5.0,37.9,3.0,5.0,95.1,3.0,4.0,189.1,3.0,4.0,14.8
4.0,6.0,160.5,4.0,6.0,120.0,4.0,6.0,33.6,3.0,6.0,73.6,3.0,6.0,106.2,3.0,5.0,17.2
5.0,2.0,450.7,5.0,1.0,410.2,5.0,1.0,112.8,5.0,1.0,341.6,4.0,1.0,521.7,4.0,1.0,67.2
5.0,3.0,275.4,5.0,3.0,208.7,5.0,2.0,128.1,5.0,2.0,344.7,4.0,2.0,542.4,4.0,2.0,82.3
5.0,4.0,367.1,5.0,4.0,239.7,5.0,4.0,58.1,5.0,3.0,151.9,4.0,3.0,236.4,4.0,3.0,33.3
5.0,6.0,251.9,5.0,6.0,225.3,5.0,6.0,43.8,5.0,6.0,153.4,4.0,6.0,196.1,4.0,5.0,55.3
6.0,2.0,109.8,6.0,1.0,152.2,6.0,1.0,40.8,6.0,1.0,180.4,6.0,1.0,219.4,5.0,1.0,88.9
6.0,3.0,44.1,6.0,3.0,86.9,6.0,2.0,53.5,6.0,2.0,185.8,6.0,2.0,327.1,5.0,2.0,135.0
6.0,4.0,94.7,6.0,4.0,110.7,6.0,4.0,27.9,6.0,3.0,83.9,6.0,3.0,103.3,5.0,3.0,42.1
6.0,5.0,117.8,6.0,5.0,141.9,6.0,5.0,29.0,6.0,5.0,124.6,6.0,4.0,164.5,5.0,4.0,73.4
