1,鶴田 勇雄,鶴田 勇雄.1,2,小林 遼太,小林 遼太.1,3,田中 宏樹,田中 宏樹.1,4,竹井 貴史,竹井 貴史.1,5,岡崎 恭裕,岡崎 恭裕.1,6,小林 文彦,小林 文彦.1
2.0,3.0,41.3,1.0,3.0,153.0,1.0,2.0,85.5,1.0,2.0,81.9,1.0,2.0,105.9,1.0,2.0,1568.0
2.0,4.0,34.7,1.0,4.0,114.5,1.0,4.0,30.3,1.0,3.0,43.7,1.0,3.0,70.4,1.0,3.0,1627.0
2.0,5.0,42.5,1.0,5.0,142.8,1.0,5.0,35.3,1.0,5.0,24.6,1.0,4.0,45.5,1.0,4.0,1038.0
2.0,6.0,131.7,1.0,6.0,298.3,1.0,6.0,111.9,1.0,6.0,81.1,1.0,6.0,104.2,1.0,5.0,1058.0
3.0,2.0,44.4,3.0,1.0,253.8,2.0,1.0,187.0,2.0,1.0,176.0,2.0,1.0,245.4,2.0,1.0,2305.0
3.0,4.0,13.6,3.0,4.0,356.5,2.0,4.0,213.1,2.0,3.0,289.9,2.0,3.0,436.9,2.0,3.0,3254.0
3.0,5.0,16.6,3.0,5.0,475.8,2.0,5.0,237.0,2.0,5.0,165.5,2.0,4.0,268.9,2.0,4.0,3237.0
3.0,6.0,84.0,3.0,6.0,967.6,2.0,6.0,534.8,2.0,6.0,327.0,2.0,6.0,422.9,2.0,5.0,2646.0
4.0,2.0,32.5,4.0,1.0,190.2,4.0,1.0,35.4,3.0,1.0,58.0,3.0,1.0,106.5,3.0,1.0,2028.0
4.0,3.0,15.1,4.0,3.0,382.0,4.0,2.0,143.2,3.0,2.0,204.3,3.0,2.0,308.7,3.0,2.0,2998.0
4.0,5.0,12.3,4.0,5.0,280.9,4.0,5.0,24.5,3.0,5.0,36.6,3.0,4.0,76.2,3.0,4.0,1560.0
4.0,6.0,55.1,4.0,6.0,598.4,4.0,6.0,83.7,3.0,6.0,108.0,3.0,6.0,212.2,3.0,5.0,1866.0
5.0,2.0,48.7,5.0,1.0,280.8,5.0,1.0,57.4,5.0,1.0,29.1,4.0,1.0,49.5,4.0,1.0,1043.0
5.0,3.0,27.9,5.0,3.0,558.3,5.0,2.0,176.7,5.0,2.0,100.7,4.0,2.0,151.1,4.0,2.0,2405.0
5.0,4.0,22.0,5.0,4.0,360.5,5.0,4.0,41.7,5.0,3.0,45.0,4.0,3.0,75.8,4.0,3.0,1529.0
5.0,6.0,75.8,5.0,6.0,713.5,5.0,6.0,125.8,5.0,6.0,46.7,4.0,6.0,77.4,4.0,5.0,624.2
6.0,2.0,340.0,6.0,1.0,787.3,6.0,1.0,441.9,6.0,1.0,225.8,6.0,1.0,265.3,5.0,1.0,1060.0
6.0,3.0,309.2,6.0,3.0,1729.0,6.0,2.0,908.4,6.0,2.0,497.2,6.0,2.0,526.9,5.0,2.0,2105.0
6.0,4.0,225.4,6.0,4.0,1247.0,6.0,4.0,353.0,6.0,3.0,353.6,6.0,3.0,442.6,5.0,3.0,1779.0
6.0,5.0,262.6,6.0,5.0,1323.0,6.0,5.0,364.8,6.0,5.0,175.7,6.0,4.0,207.5,5.0,4.0,639.9
