1,渡辺 崇,渡辺 崇.1,2,大庭 元明,大庭 元明.1,3,下河 雅史,下河 雅史.1,4,岡崎 恭裕,岡崎 恭裕.1,5,柴田 大輔,柴田 大輔.1,6,野相 弘司,野相 弘司.1
2.0,3.0,18.3,1.0,3.0,59.9,1.0,2.0,107.6,1.0,2.0,17.0,1.0,2.0,286.1,1.0,2.0,2170.0
2.0,4.0,8.5,1.0,4.0,28.2,1.0,4.0,57.2,1.0,3.0,23.5,1.0,3.0,448.0,1.0,3.0,3033.0
2.0,5.0,39.0,1.0,5.0,99.7,1.0,5.0,177.9,1.0,5.0,27.1,1.0,4.0,213.5,1.0,4.0,1701.0
2.0,6.0,139.8,1.0,6.0,272.2,1.0,6.0,389.1,1.0,6.0,72.5,1.0,6.0,509.7,1.0,5.0,3357.0
3.0,2.0,23.6,3.0,1.0,123.0,2.0,1.0,144.4,2.0,1.0,27.1,2.0,1.0,476.8,2.0,1.0,2468.0
3.0,4.0,14.3,3.0,4.0,101.6,2.0,4.0,123.2,2.0,3.0,52.4,2.0,3.0,902.4,2.0,3.0,3546.0
3.0,5.0,52.4,3.0,5.0,295.1,2.0,5.0,275.7,2.0,5.0,53.5,2.0,4.0,430.4,2.0,4.0,1922.0
3.0,6.0,151.5,3.0,6.0,657.4,2.0,6.0,657.4,2.0,6.0,124.2,2.0,6.0,1176.0,2.0,5.0,4127.0
4.0,2.0,8.1,4.0,1.0,36.1,4.0,1.0,67.7,3.0,1.0,48.7,3.0,1.0,847.8,3.0,1.0,3449.0
4.0,3.0,11.1,4.0,3.0,73.1,4.0,2.0,96.6,3.0,2.0,67.8,3.0,2.0,1406.0,3.0,2.0,4662.0
4.0,5.0,20.8,4.0,5.0,102.9,4.0,5.0,143.8,3.0,5.0,94.2,3.0,4.0,671.4,3.0,4.0,2310.0
4.0,6.0,60.3,4.0,6.0,228.9,4.0,6.0,244.4,3.0,6.0,167.4,3.0,6.0,2208.0,3.0,5.0,4750.0
5.0,2.0,92.9,5.0,1.0,310.4,5.0,1.0,445.6,5.0,1.0,47.3,4.0,1.0,230.5,4.0,1.0,1645.0
5.0,3.0,110.3,5.0,3.0,499.5,5.0,2.0,640.7,5.0,2.0,56.5,4.0,2.0,275.4,4.0,2.0,1837.0
5.0,4.0,72.9,5.0,4.0,286.7,5.0,4.0,411.4,5.0,3.0,96.0,4.0,3.0,380.9,4.0,3.0,2268.0
5.0,6.0,304.8,5.0,6.0,883.4,5.0,6.0,1071.0,5.0,6.0,84.0,4.0,6.0,414.8,4.0,5.0,2208.0
6.0,2.0,507.6,6.0,1.0,1109.0,6.0,1.0,1339.0,6.0,1.0,192.9,6.0,1.0,1507.0,5.0,1.0,3270.0
6.0,3.0,518.1,6.0,3.0,1773.0,6.0,2.0,1463.0,6.0,2.0,203.8,6.0,2.0,2047.0,5.0,2.0,4267.0
6.0,4.0,305.9,6.0,4.0,812.2,6.0,4.0,991.3,6.0,3.0,332.1,6.0,3.0,2268.0,5.0,3.0,4842.0
6.0,5.0,650.6,6.0,5.0,1879.0,6.0,5.0,1967.0,6.0,5.0,198.4,6.0,4.0,1311.0,5.0,4.0,2468.0
