1,安東 幸治,安東 幸治.1,2,村本 大成,村本 大成.1,3,仲本 舜,仲本 舜.1,4,檀 将太,檀 将太.1,5,西山 貴浩,西山 貴浩.1,6,溝口　海義也,溝口　海義也.1
2.0,3.0,143.0,1.0,3.0,153.8,1.0,2.0,481.1,1.0,2.0,932.6,1.0,2.0,25.1,1.0,2.0,101.2
2.0,4.0,182.2,1.0,4.0,202.8,1.0,4.0,777.5,1.0,3.0,1216.0,1.0,3.0,41.7,1.0,3.0,179.8
2.0,5.0,44.3,1.0,5.0,55.9,1.0,5.0,249.5,1.0,5.0,463.3,1.0,4.0,50.7,1.0,4.0,208.2
2.0,6.0,67.2,1.0,6.0,78.6,1.0,6.0,453.3,1.0,6.0,491.9,1.0,6.0,6.8,1.0,5.0,32.6
3.0,2.0,237.0,3.0,1.0,139.9,2.0,1.0,438.4,2.0,1.0,969.7,2.0,1.0,59.6,2.0,1.0,180.8
3.0,4.0,366.9,3.0,4.0,163.5,2.0,4.0,431.5,2.0,3.0,952.9,2.0,3.0,156.1,2.0,3.0,451.0
3.0,5.0,102.7,3.0,5.0,109.0,2.0,5.0,295.8,2.0,5.0,810.5,2.0,4.0,222.5,2.0,4.0,587.2
3.0,6.0,174.3,3.0,6.0,173.9,2.0,6.0,506.0,2.0,6.0,967.6,2.0,6.0,59.8,2.0,5.0,143.6
4.0,2.0,324.2,4.0,1.0,261.9,4.0,1.0,1036.0,3.0,1.0,1220.0,3.0,1.0,142.3,3.0,1.0,501.4
4.0,3.0,478.0,4.0,3.0,257.3,4.0,2.0,791.5,3.0,2.0,963.3,3.0,2.0,301.9,3.0,2.0,722.5
4.0,5.0,164.7,4.0,5.0,201.4,4.0,5.0,772.0,3.0,5.0,1153.0,3.0,4.0,441.0,3.0,4.0,849.6
4.0,6.0,238.8,4.0,6.0,268.1,4.0,6.0,1002.0,3.0,6.0,843.1,3.0,6.0,161.3,3.0,5.0,383.9
5.0,2.0,18.6,5.0,1.0,51.6,5.0,1.0,301.0,5.0,1.0,493.0,4.0,1.0,200.4,4.0,1.0,536.3
5.0,3.0,32.2,5.0,3.0,100.8,5.0,2.0,436.6,5.0,2.0,909.5,4.0,2.0,462.4,4.0,2.0,894.6
5.0,4.0,49.7,5.0,4.0,156.9,5.0,4.0,700.6,5.0,3.0,1216.0,4.0,3.0,540.3,4.0,3.0,1021.0
5.0,6.0,5.8,5.0,6.0,62.5,5.0,6.0,330.7,5.0,6.0,374.8,4.0,6.0,165.8,4.0,5.0,441.9
6.0,2.0,43.2,6.0,1.0,122.4,6.0,1.0,760.0,6.0,1.0,780.2,6.0,1.0,10.1,5.0,1.0,30.1
6.0,3.0,71.2,6.0,3.0,282.3,6.0,2.0,967.6,6.0,2.0,1210.0,6.0,2.0,29.8,5.0,2.0,82.0
6.0,4.0,99.5,6.0,4.0,336.8,6.0,4.0,1399.0,6.0,3.0,1514.0,6.0,3.0,55.5,5.0,3.0,140.3
6.0,5.0,12.8,6.0,5.0,98.0,6.0,5.0,481.1,6.0,5.0,547.0,6.0,4.0,56.9,5.0,4.0,143.4
