1,宮脇 遼太,宮脇 遼太.1,2,小林 文彦,小林 文彦.1,3,木下 大將,木下 大將.1,4,池永 太,池永 太.1,5,川添 英正,川添 英正.1,6,仲本 舜,仲本 舜.1
2.0,3.0,10.5,1.0,3.0,40.6,1.0,2.0,53.2,1.0,2.0,33.3,1.0,2.0,474.5,1.0,2.0,1838.0
2.0,4.0,10.2,1.0,4.0,36.0,1.0,4.0,25.1,1.0,3.0,24.1,1.0,3.0,514.3,1.0,3.0,1862.0
2.0,5.0,54.8,1.0,5.0,142.0,1.0,5.0,95.2,1.0,5.0,53.9,1.0,4.0,395.4,1.0,4.0,1794.0
2.0,6.0,171.6,1.0,6.0,321.2,1.0,6.0,254.5,1.0,6.0,166.0,1.0,6.0,931.1,1.0,5.0,3871.0
3.0,2.0,11.9,3.0,1.0,88.2,2.0,1.0,96.0,2.0,1.0,73.7,2.0,1.0,674.8,2.0,1.0,2451.0
3.0,4.0,7.0,3.0,4.0,80.8,2.0,4.0,72.5,2.0,3.0,74.4,2.0,3.0,786.7,2.0,3.0,3269.0
3.0,5.0,41.1,3.0,5.0,274.9,2.0,5.0,251.4,2.0,5.0,125.8,2.0,4.0,855.3,2.0,4.0,3002.0
3.0,6.0,132.4,3.0,6.0,731.9,2.0,6.0,710.6,2.0,6.0,381.1,2.0,6.0,1581.0,2.0,5.0,4903.0
4.0,2.0,11.0,4.0,1.0,70.2,4.0,1.0,30.5,3.0,1.0,38.0,3.0,1.0,739.2,3.0,1.0,1268.0
4.0,3.0,8.7,4.0,3.0,71.8,4.0,2.0,55.4,3.0,2.0,67.2,3.0,2.0,919.4,3.0,2.0,4597.0
4.0,5.0,34.2,4.0,5.0,189.3,4.0,5.0,76.0,3.0,5.0,83.5,3.0,4.0,684.2,3.0,4.0,2536.0
4.0,6.0,110.6,4.0,6.0,510.8,4.0,6.0,245.6,3.0,6.0,283.4,3.0,6.0,2674.0,3.0,5.0,4597.0
5.0,2.0,172.0,5.0,1.0,404.1,5.0,1.0,230.5,5.0,1.0,89.7,4.0,1.0,420.3,4.0,1.0,1988.0
5.0,3.0,140.1,5.0,3.0,546.8,5.0,2.0,336.6,5.0,2.0,135.5,4.0,2.0,615.5,4.0,2.0,3002.0
5.0,4.0,126.0,5.0,4.0,467.0,5.0,4.0,208.9,5.0,3.0,113.4,4.0,3.0,538.8,4.0,3.0,2101.0
5.0,6.0,505.5,5.0,6.0,1581.0,5.0,6.0,559.3,5.0,6.0,202.0,4.0,6.0,931.1,4.0,5.0,4086.0
6.0,2.0,605.4,6.0,1.0,902.5,6.0,1.0,1066.0,6.0,1.0,439.1,6.0,1.0,2451.0,5.0,1.0,3772.0
6.0,3.0,628.6,6.0,3.0,1301.0,6.0,2.0,1616.0,6.0,2.0,574.6,6.0,2.0,3588.0,5.0,2.0,5254.0
6.0,4.0,516.1,6.0,4.0,1414.0,6.0,4.0,1066.0,6.0,3.0,550.9,6.0,3.0,2536.0,5.0,3.0,5072.0
6.0,5.0,799.5,6.0,5.0,2451.0,6.0,5.0,1816.0,6.0,5.0,550.9,6.0,4.0,2627.0,5.0,4.0,3976.0
