1,大庭 元明,大庭 元明.1,2,松下 哲也,松下 哲也.1,3,宮脇 遼太,宮脇 遼太.1,4,溝口　海義也,溝口　海義也.1,5,仲本 舜,仲本 舜.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,15.4,1.0,3.0,39.3,1.0,2.0,67.3,1.0,2.0,16.5,1.0,2.0,645.8,1.0,2.0,1696.0
2.0,4.0,7.7,1.0,4.0,20.7,1.0,4.0,38.5,1.0,3.0,22.2,1.0,3.0,600.7,1.0,3.0,3542.0
2.0,5.0,74.5,1.0,5.0,128.2,1.0,5.0,132.2,1.0,5.0,52.0,1.0,4.0,462.3,1.0,4.0,2210.0
2.0,6.0,219.6,1.0,6.0,349.1,1.0,6.0,568.1,1.0,6.0,143.4,1.0,6.0,1853.0,1.0,5.0,4818.0
3.0,2.0,18.2,3.0,1.0,95.9,2.0,1.0,119.6,2.0,1.0,36.9,2.0,1.0,1075.0,2.0,1.0,3441.0
3.0,4.0,9.8,3.0,4.0,74.0,2.0,4.0,82.5,2.0,3.0,57.1,2.0,3.0,1468.0,2.0,3.0,6510.0
3.0,5.0,62.2,3.0,5.0,275.9,2.0,5.0,281.7,2.0,5.0,133.1,2.0,4.0,872.8,2.0,4.0,3088.0
3.0,6.0,272.2,3.0,6.0,672.9,2.0,6.0,915.9,2.0,6.0,318.6,2.0,6.0,2251.0,2.0,5.0,5125.0
4.0,2.0,6.3,4.0,1.0,36.2,4.0,1.0,52.8,3.0,1.0,55.5,3.0,1.0,869.6,3.0,1.0,4226.0
4.0,3.0,7.4,4.0,3.0,57.7,4.0,2.0,79.1,3.0,2.0,80.8,3.0,2.0,2059.0,3.0,2.0,6022.0
4.0,5.0,29.0,4.0,5.0,148.9,4.0,5.0,145.7,3.0,5.0,163.8,3.0,4.0,1353.0,3.0,4.0,5018.0
4.0,6.0,101.9,4.0,6.0,355.3,4.0,6.0,459.7,3.0,6.0,394.9,3.0,6.0,4226.0,3.0,5.0,2834.0
5.0,2.0,200.0,5.0,1.0,551.2,5.0,1.0,381.7,5.0,1.0,123.1,4.0,1.0,654.6,4.0,1.0,3393.0
5.0,3.0,182.6,5.0,3.0,487.6,5.0,2.0,660.0,5.0,2.0,176.7,4.0,2.0,854.2,4.0,2.0,3764.0
5.0,4.0,128.4,5.0,4.0,329.1,5.0,4.0,417.5,5.0,3.0,243.5,4.0,3.0,1163.0,4.0,3.0,5018.0
5.0,6.0,678.6,5.0,6.0,1163.0,5.0,6.0,1433.0,5.0,6.0,349.6,4.0,6.0,1733.0,4.0,5.0,4461.0
6.0,2.0,605.2,6.0,1.0,1384.0,6.0,1.0,1838.0,6.0,1.0,447.7,6.0,1.0,3542.0,5.0,1.0,2676.0
6.0,3.0,759.9,6.0,3.0,710.6,6.0,2.0,1838.0,6.0,2.0,555.0,6.0,2.0,3823.0,5.0,2.0,5125.0
6.0,4.0,442.8,6.0,4.0,704.3,6.0,4.0,1638.0,6.0,3.0,616.1,6.0,3.0,4380.0,5.0,3.0,6510.0
6.0,5.0,937.3,6.0,5.0,971.3,6.0,5.0,2483.0,6.0,5.0,416.7,6.0,4.0,3088.0,5.0,4.0,4015.0
