1,小林 文彦,小林 文彦.1,2,橋本 英一,橋本 英一.1,3,鶴田 勇雄,鶴田 勇雄.1,4,川添 英正,川添 英正.1,5,山田 丈,山田 丈.1,6,岡崎 恭裕,岡崎 恭裕.1
2.0,3.0,16.9,1.0,3.0,75.7,1.0,2.0,65.3,1.0,2.0,361.2,1.0,2.0,263.2,1.0,2.0,68.4
2.0,4.0,36.9,1.0,4.0,123.2,1.0,4.0,69.5,1.0,3.0,344.2,1.0,3.0,177.6,1.0,3.0,35.7
2.0,5.0,36.2,1.0,5.0,143.9,1.0,5.0,56.6,1.0,5.0,426.4,1.0,4.0,382.3,1.0,4.0,107.4
2.0,6.0,18.0,1.0,6.0,74.2,1.0,6.0,27.6,1.0,6.0,239.6,1.0,6.0,129.4,1.0,5.0,93.9
3.0,2.0,14.9,3.0,1.0,157.3,2.0,1.0,150.4,2.0,1.0,479.3,2.0,1.0,529.0,2.0,1.0,177.7
3.0,4.0,24.8,3.0,4.0,250.1,2.0,4.0,248.9,2.0,3.0,630.9,2.0,3.0,690.6,2.0,3.0,187.5
3.0,5.0,18.9,3.0,5.0,293.0,2.0,5.0,212.4,2.0,5.0,806.9,2.0,4.0,1084.0,2.0,4.0,356.4
3.0,6.0,9.1,3.0,6.0,138.6,2.0,6.0,130.1,2.0,6.0,451.0,2.0,6.0,441.1,2.0,5.0,374.7
4.0,2.0,55.5,4.0,1.0,296.2,4.0,1.0,179.1,3.0,1.0,454.2,3.0,1.0,301.2,3.0,1.0,57.2
4.0,3.0,56.1,4.0,3.0,305.8,4.0,2.0,265.1,3.0,2.0,743.4,3.0,2.0,590.3,3.0,2.0,120.0
4.0,5.0,91.9,4.0,5.0,524.7,4.0,5.0,231.0,3.0,5.0,651.4,3.0,4.0,602.5,3.0,4.0,151.2
4.0,6.0,45.3,4.0,6.0,302.1,4.0,6.0,117.9,3.0,6.0,304.9,3.0,6.0,204.4,3.0,5.0,115.8
5.0,2.0,56.3,5.0,1.0,317.9,5.0,1.0,123.7,5.0,1.0,590.3,4.0,1.0,872.6,4.0,1.0,288.8
5.0,3.0,40.8,5.0,3.0,333.4,5.0,2.0,235.2,5.0,2.0,775.7,4.0,2.0,1077.0,4.0,2.0,443.5
5.0,4.0,105.9,5.0,4.0,557.5,5.0,4.0,246.2,5.0,3.0,633.4,4.0,3.0,755.6,4.0,3.0,273.3
5.0,6.0,32.8,5.0,6.0,293.8,5.0,6.0,91.2,5.0,6.0,418.7,4.0,6.0,539.7,4.0,5.0,459.4
6.0,2.0,23.1,6.0,1.0,139.6,6.0,1.0,42.6,6.0,1.0,294.9,6.0,1.0,154.8,5.0,1.0,168.2
6.0,3.0,14.5,6.0,3.0,158.7,6.0,2.0,95.0,6.0,2.0,411.2,6.0,2.0,325.0,5.0,2.0,366.6
6.0,4.0,45.3,6.0,4.0,302.1,6.0,4.0,85.8,6.0,3.0,302.6,6.0,3.0,181.7,5.0,3.0,181.9
6.0,5.0,30.4,6.0,5.0,281.2,6.0,5.0,70.1,6.0,5.0,402.4,6.0,4.0,375.1,5.0,4.0,397.4
