1,小林 基樹,小林 基樹.1,2,笠置 博之,笠置 博之.1,3,矢野　真梨菜,矢野　真梨菜.1,4,乙藤 智史,乙藤 智史.1,5,渡辺 浩司,渡辺 浩司.1,6,増田 進,増田 進.1
2.0,3.0,70.0,1.0,3.0,125.1,1.0,2.0,393.1,1.0,2.0,59.0,1.0,2.0,29.3,1.0,2.0,1398.0
2.0,4.0,30.5,1.0,4.0,41.8,1.0,4.0,363.2,1.0,3.0,192.9,1.0,3.0,128.6,1.0,3.0,2646.0
2.0,5.0,19.4,1.0,5.0,28.2,1.0,5.0,266.0,1.0,5.0,30.4,1.0,4.0,31.8,1.0,4.0,1543.0
2.0,6.0,151.8,1.0,6.0,180.5,1.0,6.0,733.7,1.0,6.0,138.5,1.0,6.0,90.9,1.0,5.0,1205.0
3.0,2.0,112.9,3.0,1.0,237.5,2.0,1.0,410.5,2.0,1.0,61.3,2.0,1.0,30.8,2.0,1.0,1214.0
3.0,4.0,136.8,3.0,4.0,201.9,2.0,4.0,352.8,2.0,3.0,170.1,2.0,3.0,114.8,2.0,3.0,1807.0
3.0,5.0,94.8,3.0,5.0,155.0,2.0,5.0,277.5,2.0,5.0,22.6,2.0,4.0,26.2,2.0,4.0,968.7
3.0,6.0,328.6,3.0,6.0,537.0,2.0,6.0,823.4,2.0,6.0,123.5,2.0,6.0,59.4,2.0,5.0,744.8
4.0,2.0,41.0,4.0,1.0,60.2,4.0,1.0,410.5,3.0,1.0,394.1,3.0,1.0,290.0,3.0,1.0,2555.0
4.0,3.0,102.3,4.0,3.0,131.3,4.0,2.0,354.5,3.0,2.0,288.9,3.0,2.0,249.5,3.0,2.0,2315.0
4.0,5.0,26.7,4.0,5.0,27.3,4.0,5.0,203.0,3.0,5.0,139.3,3.0,4.0,183.4,3.0,4.0,2245.0
4.0,6.0,113.5,4.0,6.0,155.8,4.0,6.0,814.3,3.0,6.0,630.7,3.0,6.0,509.3,3.0,5.0,1807.0
5.0,2.0,20.9,5.0,1.0,31.0,5.0,1.0,307.5,5.0,1.0,19.7,4.0,1.0,27.0,4.0,1.0,1425.0
5.0,3.0,71.6,5.0,3.0,102.1,5.0,2.0,293.4,5.0,2.0,15.8,4.0,2.0,21.2,4.0,2.0,988.1
5.0,4.0,27.5,5.0,4.0,27.4,5.0,4.0,216.3,5.0,3.0,65.6,4.0,3.0,89.2,4.0,3.0,2179.0
5.0,6.0,73.4,5.0,6.0,77.5,5.0,6.0,583.5,5.0,6.0,29.4,4.0,6.0,36.2,4.0,5.0,509.3
6.0,2.0,383.9,6.0,1.0,597.6,6.0,1.0,1611.0,6.0,1.0,285.0,6.0,1.0,173.1,5.0,1.0,1008.0
6.0,3.0,622.7,6.0,3.0,846.9,6.0,2.0,1829.0,6.0,2.0,267.0,6.0,2.0,135.7,5.0,2.0,647.2
6.0,4.0,353.7,6.0,4.0,453.2,6.0,4.0,1611.0,6.0,3.0,633.4,6.0,3.0,476.5,5.0,3.0,1106.0
6.0,5.0,315.3,6.0,5.0,346.2,6.0,5.0,1593.0,6.0,5.0,117.8,6.0,4.0,105.7,5.0,4.0,445.0
