1,永井 彪也,永井 彪也.1,2,是澤 孝宏,是澤 孝宏.1,3,笠置 博之,笠置 博之.1,4,萩原 知哉,萩原 知哉.1,5,藤原 仙二,藤原 仙二.1,6,土屋 蘭,土屋 蘭.1
2.0,3.0,4.7,1.0,3.0,15.8,1.0,2.0,66.7,1.0,2.0,89.7,1.0,2.0,95.5,1.0,2.0,1261.0
2.0,4.0,8.2,1.0,4.0,22.1,1.0,4.0,108.0,1.0,3.0,140.1,1.0,3.0,131.5,1.0,3.0,1826.0
2.0,5.0,8.2,1.0,5.0,23.1,1.0,5.0,87.9,1.0,5.0,108.4,1.0,4.0,173.0,1.0,4.0,2478.0
2.0,6.0,80.0,1.0,6.0,120.8,1.0,6.0,382.3,1.0,6.0,346.7,1.0,6.0,437.3,1.0,5.0,2635.0
3.0,2.0,11.2,3.0,1.0,54.0,2.0,1.0,107.8,2.0,1.0,130.1,2.0,1.0,158.9,2.0,1.0,1595.0
3.0,4.0,20.5,3.0,4.0,121.8,2.0,4.0,237.9,2.0,3.0,285.3,2.0,3.0,315.9,2.0,3.0,2974.0
3.0,5.0,18.6,3.0,5.0,135.7,2.0,5.0,214.6,2.0,5.0,216.8,2.0,4.0,345.5,2.0,4.0,2832.0
3.0,6.0,135.0,3.0,6.0,516.6,2.0,6.0,744.8,2.0,6.0,588.9,2.0,6.0,785.6,2.0,5.0,3227.0
4.0,2.0,22.1,4.0,1.0,84.9,4.0,1.0,234.0,3.0,1.0,292.2,3.0,1.0,284.0,3.0,1.0,2493.0
4.0,3.0,35.7,4.0,3.0,199.9,4.0,2.0,301.7,3.0,2.0,440.6,3.0,2.0,481.9,3.0,2.0,3652.0
4.0,5.0,41.9,4.0,5.0,190.3,4.0,5.0,371.7,3.0,5.0,520.4,3.0,4.0,736.9,3.0,4.0,4575.0
4.0,6.0,186.8,4.0,6.0,478.6,4.0,6.0,1098.0,3.0,6.0,1104.0,3.0,6.0,1387.0,3.0,5.0,3499.0
5.0,2.0,23.7,5.0,1.0,102.8,5.0,1.0,229.4,5.0,1.0,160.4,4.0,1.0,281.7,4.0,1.0,3107.0
5.0,3.0,35.9,5.0,3.0,211.9,5.0,2.0,309.3,5.0,2.0,211.3,4.0,2.0,350.2,4.0,2.0,3227.0
5.0,4.0,59.8,5.0,4.0,252.2,5.0,4.0,523.7,5.0,3.0,372.7,4.0,3.0,577.5,4.0,3.0,4626.0
5.0,6.0,206.3,5.0,6.0,688.2,5.0,6.0,1116.0,5.0,6.0,472.1,4.0,6.0,708.1,4.0,5.0,2891.0
6.0,2.0,357.7,6.0,1.0,661.9,6.0,1.0,1461.0,6.0,1.0,742.2,6.0,1.0,1402.0,5.0,1.0,3039.0
6.0,3.0,566.5,6.0,3.0,1445.0,6.0,2.0,2103.0,6.0,2.0,950.6,6.0,2.0,1892.0,5.0,2.0,3331.0
6.0,4.0,588.1,6.0,4.0,1056.0,6.0,4.0,2463.0,6.0,3.0,1330.0,6.0,3.0,1842.0,5.0,3.0,2618.0
6.0,5.0,586.4,6.0,5.0,1013.0,6.0,5.0,2001.0,6.0,5.0,765.4,6.0,4.0,1595.0,5.0,4.0,2911.0
