1,宇佐見 淳,宇佐見 淳.1,2,坂井 滉哉,坂井 滉哉.1,3,菅 章哉,菅 章哉.1,4,松山 将吾,松山 将吾.1,5,桑原 将光,桑原 将光.1,6,今坂 晃広,今坂 晃広.1
2.0,3.0,21.6,1.0,3.0,53.9,1.0,2.0,34.6,1.0,2.0,77.5,1.0,2.0,243.3,1.0,2.0,1532.0
2.0,4.0,22.6,1.0,4.0,59.3,1.0,4.0,15.3,1.0,3.0,46.3,1.0,3.0,185.2,1.0,3.0,1376.0
2.0,5.0,44.5,1.0,5.0,101.0,1.0,5.0,25.3,1.0,5.0,58.2,1.0,4.0,195.0,1.0,4.0,1572.0
2.0,6.0,149.6,1.0,6.0,268.8,1.0,6.0,114.4,1.0,6.0,143.1,1.0,6.0,341.5,1.0,5.0,1929.0
3.0,2.0,16.1,3.0,1.0,86.2,2.0,1.0,77.7,2.0,1.0,138.5,2.0,1.0,393.9,2.0,1.0,1813.0
3.0,4.0,10.4,3.0,4.0,90.7,2.0,4.0,79.7,2.0,3.0,170.5,2.0,3.0,395.1,2.0,3.0,1746.0
3.0,5.0,19.3,3.0,5.0,132.7,2.0,5.0,110.5,2.0,5.0,157.1,2.0,4.0,440.3,2.0,4.0,2258.0
3.0,6.0,92.4,3.0,6.0,381.2,2.0,6.0,285.5,2.0,6.0,329.6,2.0,6.0,698.1,2.0,5.0,2114.0
4.0,2.0,25.4,4.0,1.0,101.4,4.0,1.0,19.7,3.0,1.0,48.1,3.0,1.0,208.0,3.0,1.0,1662.0
4.0,3.0,19.1,4.0,3.0,108.9,4.0,2.0,49.6,3.0,2.0,97.2,3.0,2.0,305.0,3.0,2.0,2049.0
4.0,5.0,28.1,4.0,5.0,142.2,4.0,5.0,19.9,3.0,5.0,48.4,3.0,4.0,212.4,3.0,4.0,1535.0
4.0,6.0,97.8,4.0,6.0,328.6,4.0,6.0,56.9,3.0,6.0,100.8,3.0,6.0,385.0,3.0,5.0,1746.0
5.0,2.0,72.7,5.0,1.0,261.1,5.0,1.0,53.1,5.0,1.0,71.8,4.0,1.0,207.6,4.0,1.0,1912.0
5.0,3.0,54.2,5.0,3.0,250.5,5.0,2.0,94.5,5.0,2.0,124.9,4.0,2.0,280.8,4.0,2.0,1964.0
5.0,4.0,57.9,5.0,4.0,265.4,5.0,4.0,44.1,5.0,3.0,87.4,4.0,3.0,218.9,4.0,3.0,1514.0
5.0,6.0,192.1,5.0,6.0,546.0,5.0,6.0,101.5,5.0,6.0,133.1,4.0,6.0,340.1,4.0,5.0,1194.0
6.0,2.0,437.7,6.0,1.0,751.2,6.0,1.0,262.9,6.0,1.0,411.3,6.0,1.0,797.4,5.0,1.0,2206.0
6.0,3.0,415.7,6.0,3.0,862.9,6.0,2.0,404.8,6.0,2.0,545.6,6.0,2.0,957.8,5.0,2.0,1969.0
6.0,4.0,394.6,6.0,4.0,779.5,6.0,4.0,202.2,6.0,3.0,434.5,6.0,3.0,759.0,5.0,3.0,1869.0
6.0,5.0,420.2,6.0,5.0,892.0,6.0,5.0,221.8,6.0,5.0,335.6,6.0,4.0,716.3,5.0,4.0,1454.0
