1,木下 陽介,木下 陽介.1,2,古田 祐貴,古田 祐貴.1,3,鈴木 成美,鈴木 成美.1,4,松本 博昭,松本 博昭.1,5,重富 伸也,重富 伸也.1,6,松山 将吾,松山 将吾.1
2.0,3.0,44.3,1.0,3.0,61.7,1.0,2.0,215.1,1.0,2.0,99.5,1.0,2.0,98.3,1.0,2.0,77.5
2.0,4.0,23.1,1.0,4.0,31.8,1.0,4.0,203.9,1.0,3.0,174.2,1.0,3.0,193.6,1.0,3.0,124.0
2.0,5.0,59.0,1.0,5.0,72.1,1.0,5.0,377.0,1.0,5.0,176.3,1.0,4.0,151.5,1.0,4.0,85.4
2.0,6.0,22.1,1.0,6.0,28.8,1.0,6.0,167.2,1.0,6.0,71.7,1.0,6.0,100.4,1.0,5.0,117.1
3.0,2.0,68.4,3.0,1.0,146.5,2.0,1.0,240.4,2.0,1.0,113.6,2.0,1.0,116.4,2.0,1.0,86.5
3.0,4.0,79.5,3.0,4.0,107.4,2.0,4.0,169.4,2.0,3.0,131.2,2.0,3.0,161.6,2.0,3.0,88.2
3.0,5.0,204.5,3.0,5.0,192.5,2.0,5.0,297.5,2.0,5.0,141.7,2.0,4.0,125.3,2.0,4.0,38.8
3.0,6.0,73.8,3.0,6.0,79.7,2.0,6.0,124.8,2.0,6.0,34.7,2.0,6.0,78.2,2.0,5.0,76.1
4.0,2.0,41.9,4.0,1.0,74.1,4.0,1.0,226.0,3.0,1.0,262.7,3.0,1.0,270.8,3.0,1.0,167.8
4.0,3.0,85.5,4.0,3.0,102.3,4.0,2.0,172.4,3.0,2.0,192.2,3.0,2.0,212.7,3.0,2.0,117.4
4.0,5.0,137.1,4.0,5.0,117.1,4.0,5.0,252.7,3.0,5.0,268.6,3.0,4.0,290.2,3.0,4.0,95.2
4.0,6.0,50.2,4.0,6.0,31.0,4.0,6.0,93.8,3.0,6.0,101.7,3.0,6.0,152.8,3.0,5.0,137.5
5.0,2.0,111.4,5.0,1.0,188.6,5.0,1.0,453.9,5.0,1.0,253.6,4.0,1.0,213.3,4.0,1.0,86.2
5.0,3.0,301.0,5.0,3.0,229.9,5.0,2.0,364.9,5.0,2.0,190.2,4.0,2.0,174.3,4.0,2.0,39.8
5.0,4.0,169.7,5.0,4.0,147.3,5.0,4.0,317.0,5.0,3.0,270.8,4.0,3.0,291.3,4.0,3.0,81.4
5.0,6.0,146.0,5.0,6.0,114.5,5.0,6.0,193.1,5.0,6.0,95.8,4.0,6.0,100.1,4.0,5.0,70.6
6.0,2.0,34.7,6.0,1.0,63.8,6.0,1.0,175.9,6.0,1.0,61.9,6.0,1.0,109.5,5.0,1.0,103.7
6.0,3.0,96.5,6.0,3.0,76.9,6.0,2.0,114.8,6.0,2.0,29.7,6.0,2.0,76.6,5.0,2.0,70.0
6.0,4.0,61.6,6.0,4.0,36.7,6.0,4.0,93.0,6.0,3.0,64.1,6.0,3.0,123.6,5.0,3.0,109.1
6.0,5.0,111.7,6.0,5.0,88.1,6.0,5.0,159.1,6.0,5.0,58.3,6.0,4.0,84.4,5.0,4.0,76.8
