1,古田 祐貴,古田 祐貴.1,2,浦田 信義,浦田 信義.1,3,木場 悠介,木場 悠介.1,4,福田 雅一,福田 雅一.1,5,菅 章哉,菅 章哉.1,6,中村 将隆,中村 将隆.1
2.0,3.0,36.1,1.0,3.0,182.1,1.0,2.0,130.4,1.0,2.0,273.2,1.0,2.0,27.3,1.0,2.0,148.9
2.0,4.0,52.2,1.0,4.0,221.6,1.0,4.0,106.4,1.0,3.0,208.2,1.0,3.0,18.3,1.0,3.0,160.4
2.0,5.0,41.1,1.0,5.0,160.3,1.0,5.0,55.0,1.0,5.0,140.8,1.0,4.0,26.0,1.0,4.0,224.7
2.0,6.0,67.7,1.0,6.0,179.7,1.0,6.0,156.9,1.0,6.0,214.6,1.0,6.0,16.2,1.0,5.0,117.5
3.0,2.0,31.9,3.0,1.0,296.3,2.0,1.0,271.8,2.0,1.0,455.8,2.0,1.0,55.3,2.0,1.0,230.4
3.0,4.0,26.6,3.0,4.0,605.9,2.0,4.0,438.9,2.0,3.0,707.7,2.0,3.0,83.2,2.0,3.0,316.9
3.0,5.0,17.6,3.0,5.0,407.8,2.0,5.0,328.9,2.0,5.0,564.1,2.0,4.0,135.3,2.0,4.0,495.3
3.0,6.0,50.6,3.0,6.0,570.3,2.0,6.0,417.6,2.0,6.0,614.7,2.0,6.0,54.5,2.0,5.0,252.3
4.0,2.0,64.9,4.0,1.0,464.8,4.0,1.0,213.8,3.0,1.0,347.3,3.0,1.0,33.6,3.0,1.0,309.6
4.0,3.0,45.1,4.0,3.0,711.4,4.0,2.0,424.4,3.0,2.0,677.3,3.0,2.0,82.7,3.0,2.0,390.7
4.0,5.0,42.7,4.0,5.0,633.1,4.0,5.0,193.9,3.0,5.0,315.9,3.0,4.0,53.0,3.0,4.0,549.5
4.0,6.0,81.8,4.0,6.0,712.1,4.0,6.0,382.1,3.0,6.0,550.4,3.0,6.0,48.9,3.0,5.0,335.3
5.0,2.0,32.5,5.0,1.0,237.9,5.0,1.0,68.4,5.0,1.0,144.4,4.0,1.0,54.5,4.0,1.0,428.7
5.0,3.0,17.6,5.0,3.0,377.4,5.0,2.0,235.6,5.0,2.0,352.7,4.0,2.0,139.2,4.0,2.0,669.9
5.0,4.0,32.7,5.0,4.0,567.9,5.0,4.0,117.4,5.0,3.0,222.3,4.0,3.0,76.9,4.0,3.0,650.7
5.0,6.0,33.4,5.0,6.0,379.1,5.0,6.0,163.9,5.0,6.0,184.3,4.0,6.0,63.7,4.0,5.0,386.2
6.0,2.0,86.4,6.0,1.0,328.9,6.0,1.0,295.5,6.0,1.0,320.4,6.0,1.0,20.8,5.0,1.0,103.8
6.0,3.0,74.0,6.0,3.0,637.8,6.0,2.0,490.3,6.0,2.0,602.7,6.0,2.0,35.0,5.0,2.0,156.0
6.0,4.0,104.2,6.0,4.0,686.9,6.0,4.0,546.4,6.0,3.0,626.6,6.0,3.0,31.6,5.0,3.0,167.2
6.0,5.0,66.9,6.0,5.0,408.3,6.0,5.0,321.0,6.0,5.0,313.3,6.0,4.0,46.2,5.0,4.0,197.6
