1,重富 伸也,重富 伸也.1,2,福田 雅一,福田 雅一.1,3,品田 直樹,品田 直樹.1,4,深尾 巴恵,深尾 巴恵.1,5,松本 博昭,松本 博昭.1,6,魚谷 香織,魚谷 香織.1
2.0,3.0,18.7,1.0,3.0,36.6,1.0,2.0,88.4,1.0,2.0,101.2,1.0,2.0,62.1,1.0,2.0,302.4
2.0,4.0,21.9,1.0,4.0,49.9,1.0,4.0,160.4,1.0,3.0,200.2,1.0,3.0,105.0,1.0,3.0,717.2
2.0,5.0,16.6,1.0,5.0,26.3,1.0,5.0,94.0,1.0,5.0,78.3,1.0,4.0,85.9,1.0,4.0,489.9
2.0,6.0,24.7,1.0,6.0,40.3,1.0,6.0,132.5,1.0,6.0,99.6,1.0,6.0,62.0,1.0,5.0,308.5
3.0,2.0,28.7,3.0,1.0,85.5,2.0,1.0,115.2,2.0,1.0,136.6,2.0,1.0,93.1,2.0,1.0,358.6
3.0,4.0,45.3,3.0,4.0,163.1,2.0,4.0,200.5,2.0,3.0,242.4,2.0,3.0,158.6,2.0,3.0,612.9
3.0,5.0,34.7,3.0,5.0,81.3,2.0,5.0,87.6,2.0,5.0,98.1,2.0,4.0,115.2,2.0,4.0,372.0
3.0,6.0,55.7,3.0,6.0,105.9,2.0,6.0,126.3,2.0,6.0,127.5,2.0,6.0,80.1,2.0,5.0,197.6
4.0,2.0,36.5,4.0,1.0,110.3,4.0,1.0,285.7,3.0,1.0,331.3,3.0,1.0,237.8,3.0,1.0,946.5
4.0,3.0,63.1,4.0,3.0,163.3,4.0,2.0,249.3,3.0,2.0,299.8,3.0,2.0,246.2,3.0,2.0,838.2
4.0,5.0,35.6,4.0,5.0,79.8,4.0,5.0,208.6,3.0,5.0,231.1,3.0,4.0,320.6,3.0,4.0,1350.0
4.0,6.0,45.0,4.0,6.0,93.2,4.0,6.0,237.0,3.0,6.0,255.3,3.0,6.0,246.2,3.0,5.0,809.0
5.0,2.0,25.6,5.0,1.0,73.1,5.0,1.0,192.1,5.0,1.0,80.1,4.0,1.0,107.5,4.0,1.0,533.1
5.0,3.0,38.5,5.0,3.0,92.2,5.0,2.0,164.6,5.0,2.0,74.2,4.0,2.0,101.1,4.0,2.0,386.5
5.0,4.0,38.2,5.0,4.0,84.4,5.0,4.0,195.9,5.0,3.0,153.9,4.0,3.0,246.2,4.0,3.0,1078.0
5.0,6.0,32.8,5.0,6.0,56.4,5.0,6.0,152.0,5.0,6.0,54.6,4.0,6.0,83.8,4.0,5.0,328.1
6.0,2.0,77.1,6.0,1.0,165.2,6.0,1.0,406.8,6.0,1.0,146.9,6.0,1.0,107.8,5.0,1.0,311.9
6.0,3.0,121.6,6.0,3.0,233.8,6.0,2.0,333.6,6.0,2.0,150.7,6.0,2.0,87.7,5.0,2.0,173.5
6.0,4.0,96.2,6.0,4.0,155.6,6.0,4.0,463.8,6.0,3.0,275.5,6.0,3.0,212.1,5.0,3.0,543.5
6.0,5.0,82.4,6.0,5.0,109.9,6.0,5.0,304.4,6.0,5.0,100.5,6.0,4.0,112.9,5.0,4.0,285.7
