1,三苫 晃幸,三苫 晃幸.1,2,木下 陽介,木下 陽介.1,3,中尾 彩香,中尾 彩香.1,4,重野 哲之,重野 哲之.1,5,松山 将吾,松山 将吾.1,6,中島 昂章,中島 昂章.1
2.0,3.0,41.9,1.0,3.0,176.0,1.0,2.0,449.8,1.0,2.0,66.4,1.0,2.0,106.2,1.0,2.0,337.4
2.0,4.0,19.1,1.0,4.0,81.5,1.0,4.0,283.1,1.0,3.0,118.2,1.0,3.0,174.0,1.0,3.0,486.8
2.0,5.0,24.2,1.0,5.0,97.7,1.0,5.0,326.6,1.0,5.0,21.4,1.0,4.0,45.9,1.0,4.0,199.1
2.0,6.0,28.5,1.0,6.0,104.3,1.0,6.0,378.6,1.0,6.0,31.2,1.0,6.0,49.3,1.0,5.0,199.2
3.0,2.0,70.4,3.0,1.0,450.3,2.0,1.0,652.2,2.0,1.0,150.4,2.0,1.0,268.4,2.0,1.0,524.7
3.0,4.0,45.6,3.0,4.0,812.3,2.0,4.0,710.6,2.0,3.0,443.3,2.0,3.0,676.7,2.0,3.0,921.6
3.0,5.0,50.7,3.0,5.0,848.7,2.0,5.0,941.3,2.0,5.0,170.1,2.0,4.0,307.2,2.0,4.0,718.3
3.0,6.0,55.7,3.0,6.0,648.0,2.0,6.0,777.3,2.0,6.0,198.0,2.0,6.0,270.0,2.0,5.0,785.0
4.0,2.0,18.9,4.0,1.0,163.0,4.0,1.0,456.5,3.0,1.0,360.1,3.0,1.0,528.2,3.0,1.0,909.0
4.0,3.0,30.8,4.0,3.0,635.5,4.0,2.0,839.8,3.0,2.0,720.9,3.0,2.0,980.8,3.0,2.0,1342.0
4.0,5.0,9.3,4.0,5.0,264.8,4.0,5.0,517.9,3.0,5.0,394.0,3.0,4.0,664.2,3.0,4.0,1226.0
4.0,6.0,13.6,4.0,6.0,289.7,4.0,6.0,543.4,3.0,6.0,454.5,3.0,6.0,652.2,3.0,5.0,1408.0
5.0,2.0,28.2,5.0,1.0,253.5,5.0,1.0,591.1,5.0,1.0,26.1,4.0,1.0,51.6,4.0,1.0,250.9
5.0,3.0,42.2,5.0,3.0,805.7,5.0,2.0,1134.0,5.0,2.0,78.3,4.0,2.0,143.5,4.0,2.0,585.8
5.0,4.0,15.4,5.0,4.0,349.3,5.0,4.0,669.8,5.0,3.0,176.9,4.0,3.0,303.2,4.0,3.0,814.0
5.0,6.0,19.9,5.0,6.0,371.5,5.0,6.0,662.0,5.0,6.0,25.6,4.0,6.0,51.5,4.0,5.0,173.9
6.0,2.0,57.4,6.0,1.0,347.2,6.0,1.0,632.5,6.0,1.0,62.3,6.0,1.0,102.0,5.0,1.0,294.4
6.0,3.0,68.0,6.0,3.0,829.3,6.0,2.0,943.5,6.0,2.0,148.3,6.0,2.0,247.0,5.0,2.0,746.6
6.0,4.0,35.7,6.0,4.0,479.1,6.0,4.0,900.7,6.0,3.0,237.0,6.0,3.0,387.1,5.0,3.0,968.8
6.0,5.0,40.5,6.0,5.0,484.4,6.0,5.0,1018.0,6.0,5.0,52.9,6.0,4.0,95.6,5.0,4.0,185.6
