1,貫地谷　直人,貫地谷　直人.1,2,深尾 巴恵,深尾 巴恵.1,3,伏田 裕隆,伏田 裕隆.1,4,浦田 信義,浦田 信義.1,5,宮地 博士,宮地 博士.1,6,重富 伸也,重富 伸也.1
2.0,3.0,27.5,1.0,3.0,48.8,1.0,2.0,34.2,1.0,2.0,203.1,1.0,2.0,284.7,1.0,2.0,204.9
2.0,4.0,46.0,1.0,4.0,62.9,1.0,4.0,42.8,1.0,3.0,154.1,1.0,3.0,223.2,1.0,3.0,149.0
2.0,5.0,62.6,1.0,5.0,91.2,1.0,5.0,39.7,1.0,5.0,177.0,1.0,4.0,349.6,1.0,4.0,235.3
2.0,6.0,138.2,1.0,6.0,120.9,1.0,6.0,41.9,1.0,6.0,289.0,1.0,6.0,343.3,1.0,5.0,284.7
3.0,2.0,35.8,3.0,1.0,54.5,2.0,1.0,39.7,2.0,1.0,209.4,2.0,1.0,262.6,2.0,1.0,195.2
3.0,4.0,43.0,3.0,4.0,30.9,2.0,4.0,29.2,2.0,3.0,111.6,2.0,3.0,176.4,2.0,3.0,102.0
3.0,5.0,43.8,3.0,5.0,55.3,2.0,5.0,41.6,2.0,5.0,160.3,2.0,4.0,353.5,2.0,4.0,188.6
3.0,6.0,78.0,3.0,6.0,50.6,2.0,6.0,31.1,2.0,6.0,219.6,2.0,6.0,291.7,2.0,5.0,219.6
4.0,2.0,77.1,4.0,1.0,95.1,4.0,1.0,59.2,3.0,1.0,176.4,3.0,1.0,205.3,3.0,1.0,75.6
4.0,3.0,56.8,4.0,3.0,48.9,4.0,2.0,51.5,3.0,2.0,136.2,3.0,2.0,193.6,3.0,2.0,60.6
4.0,5.0,84.0,4.0,5.0,84.0,4.0,5.0,39.0,3.0,5.0,104.2,3.0,4.0,157.1,3.0,4.0,77.0
4.0,6.0,152.8,4.0,6.0,102.5,4.0,6.0,43.3,3.0,6.0,141.9,3.0,6.0,127.3,3.0,5.0,73.4
5.0,2.0,128.5,5.0,1.0,133.0,5.0,1.0,71.5,5.0,1.0,264.1,4.0,1.0,485.1,4.0,1.0,333.6
5.0,3.0,111.6,5.0,3.0,94.5,5.0,2.0,73.6,5.0,2.0,254.9,4.0,2.0,408.1,4.0,2.0,289.0
5.0,4.0,129.5,5.0,4.0,131.3,5.0,4.0,60.4,5.0,3.0,159.0,4.0,3.0,215.6,4.0,3.0,194.4
5.0,6.0,206.7,5.0,6.0,167.7,5.0,6.0,52.6,5.0,6.0,270.9,4.0,6.0,459.3,4.0,5.0,275.6
6.0,2.0,190.9,6.0,1.0,175.1,6.0,1.0,29.3,6.0,1.0,406.3,6.0,1.0,438.2,5.0,1.0,326.7
6.0,3.0,175.7,6.0,3.0,99.3,6.0,2.0,24.3,6.0,2.0,336.0,6.0,2.0,446.4,5.0,2.0,302.8
6.0,4.0,244.4,6.0,4.0,163.9,6.0,4.0,33.7,6.0,3.0,249.5,6.0,3.0,186.4,5.0,3.0,155.3
6.0,5.0,322.3,6.0,5.0,174.8,6.0,5.0,34.9,6.0,5.0,282.1,6.0,4.0,409.8,5.0,4.0,275.6
