1,桑原 将光,桑原 将光.1,2,重富 伸也,重富 伸也.1,3,豊田 泰洋,豊田 泰洋.1,4,山崎 哲司,山崎 哲司.1,5,吉田 俊彦,吉田 俊彦.1,6,中島 昂章,中島 昂章.1
2.0,3.0,107.3,1.0,3.0,161.6,1.0,2.0,398.8,1.0,2.0,75.9,1.0,2.0,204.5,1.0,2.0,297.0
2.0,4.0,58.4,1.0,4.0,142.3,1.0,4.0,126.7,1.0,3.0,53.9,1.0,3.0,148.3,1.0,3.0,381.8
2.0,5.0,85.3,1.0,5.0,119.2,1.0,5.0,149.4,1.0,5.0,18.2,1.0,4.0,66.6,1.0,4.0,134.4
2.0,6.0,90.4,1.0,6.0,116.7,1.0,6.0,206.3,1.0,6.0,20.6,1.0,6.0,70.7,1.0,5.0,191.9
3.0,2.0,82.8,3.0,1.0,375.8,2.0,1.0,769.8,2.0,1.0,169.0,2.0,1.0,391.2,2.0,1.0,565.9
3.0,4.0,21.7,3.0,4.0,474.1,2.0,4.0,857.4,2.0,3.0,413.8,2.0,3.0,662.9,2.0,3.0,862.6
3.0,5.0,27.7,3.0,5.0,511.4,2.0,5.0,1008.0,2.0,5.0,178.5,2.0,4.0,426.1,2.0,4.0,492.0
3.0,6.0,36.6,3.0,6.0,530.3,2.0,6.0,935.9,2.0,6.0,176.5,2.0,6.0,448.8,2.0,5.0,705.4
4.0,2.0,39.7,4.0,1.0,203.9,4.0,1.0,186.2,3.0,1.0,142.6,3.0,1.0,307.2,3.0,1.0,701.9
4.0,3.0,17.1,4.0,3.0,443.3,4.0,2.0,656.8,3.0,2.0,466.4,3.0,2.0,822.9,3.0,2.0,1203.0
4.0,5.0,9.7,4.0,5.0,225.1,4.0,5.0,194.8,3.0,5.0,135.0,3.0,4.0,273.2,3.0,4.0,769.8
4.0,6.0,11.2,4.0,6.0,207.2,4.0,6.0,282.9,3.0,6.0,175.0,3.0,6.0,411.4,3.0,5.0,883.9
5.0,2.0,68.5,5.0,1.0,210.2,5.0,1.0,249.0,5.0,1.0,32.6,4.0,1.0,89.8,4.0,1.0,179.2
5.0,3.0,35.6,5.0,3.0,295.2,5.0,2.0,818.2,5.0,2.0,124.7,4.0,2.0,268.1,4.0,2.0,433.9
5.0,4.0,15.4,5.0,4.0,315.4,5.0,4.0,230.5,5.0,3.0,88.6,4.0,3.0,203.9,4.0,3.0,518.8
5.0,6.0,19.5,5.0,6.0,241.0,5.0,6.0,329.1,5.0,6.0,29.1,4.0,6.0,77.7,4.0,5.0,179.6
6.0,2.0,93.7,6.0,1.0,347.5,6.0,1.0,424.9,6.0,1.0,45.3,6.0,1.0,101.6,5.0,1.0,271.2
6.0,3.0,59.6,6.0,3.0,645.0,6.0,2.0,1136.0,6.0,2.0,164.2,6.0,2.0,323.2,5.0,2.0,575.0
6.0,4.0,24.5,6.0,4.0,360.6,6.0,4.0,446.0,6.0,3.0,139.5,6.0,3.0,263.7,5.0,3.0,572.7
6.0,5.0,37.4,6.0,5.0,437.9,6.0,5.0,650.8,6.0,5.0,45.7,6.0,4.0,112.9,5.0,4.0,205.4
