1,重富 伸也,重富 伸也.1,2,伏田 裕隆,伏田 裕隆.1,3,梶山 涼斗,梶山 涼斗.1,4,浦田 信義,浦田 信義.1,5,深尾 巴恵,深尾 巴恵.1,6,鈴木 成美,鈴木 成美.1
2.0,3.0,20.7,1.0,3.0,25.8,1.0,2.0,32.5,1.0,2.0,128.4,1.0,2.0,174.6,1.0,2.0,508.3
2.0,4.0,39.4,1.0,4.0,36.8,1.0,4.0,23.8,1.0,3.0,90.0,1.0,3.0,135.5,1.0,3.0,793.5
2.0,5.0,70.0,1.0,5.0,50.5,1.0,5.0,32.3,1.0,5.0,170.9,1.0,4.0,226.4,1.0,4.0,887.2
2.0,6.0,174.6,1.0,6.0,112.9,1.0,6.0,88.3,1.0,6.0,301.2,1.0,6.0,260.2,1.0,5.0,762.5
3.0,2.0,20.3,3.0,1.0,25.3,2.0,1.0,47.3,2.0,1.0,168.8,2.0,1.0,256.8,2.0,1.0,947.5
3.0,4.0,18.8,3.0,4.0,21.6,2.0,4.0,36.7,2.0,3.0,109.1,2.0,3.0,167.9,2.0,3.0,739.4
3.0,5.0,31.3,3.0,5.0,33.8,2.0,5.0,41.9,2.0,5.0,168.5,2.0,4.0,240.9,2.0,4.0,739.4
3.0,6.0,94.5,3.0,6.0,72.0,2.0,6.0,102.4,2.0,6.0,314.8,2.0,6.0,279.6,2.0,5.0,702.1
4.0,2.0,61.1,4.0,1.0,70.6,4.0,1.0,41.6,3.0,1.0,100.4,3.0,1.0,150.3,3.0,1.0,745.0
4.0,3.0,33.5,4.0,3.0,36.7,4.0,2.0,36.2,3.0,2.0,94.8,3.0,2.0,138.8,3.0,2.0,659.4
4.0,5.0,66.5,4.0,5.0,79.8,4.0,5.0,28.6,3.0,5.0,80.3,3.0,4.0,138.4,3.0,4.0,492.9
4.0,6.0,154.9,4.0,6.0,137.4,4.0,6.0,61.1,3.0,6.0,162.1,3.0,6.0,203.7,3.0,5.0,682.5
5.0,2.0,105.2,5.0,1.0,128.4,5.0,1.0,50.8,5.0,1.0,205.4,4.0,1.0,373.9,4.0,1.0,1049.0
5.0,3.0,73.6,5.0,3.0,65.8,5.0,2.0,49.3,5.0,2.0,153.4,4.0,2.0,282.9,4.0,2.0,834.2
5.0,4.0,101.1,5.0,4.0,100.7,5.0,4.0,41.3,5.0,3.0,126.7,4.0,3.0,195.5,4.0,3.0,655.0
5.0,6.0,186.2,5.0,6.0,186.9,5.0,6.0,85.9,5.0,6.0,272.6,4.0,6.0,357.5,4.0,5.0,780.8
6.0,2.0,318.9,6.0,1.0,284.5,6.0,1.0,289.6,6.0,1.0,587.9,6.0,1.0,303.1,5.0,1.0,947.5
6.0,3.0,323.1,6.0,3.0,150.6,6.0,2.0,214.5,6.0,2.0,462.5,6.0,2.0,274.9,5.0,2.0,697.1
6.0,4.0,301.2,6.0,4.0,244.0,6.0,4.0,204.1,6.0,3.0,408.3,6.0,3.0,302.1,5.0,3.0,793.5
6.0,5.0,338.8,6.0,5.0,268.1,6.0,5.0,192.8,6.0,5.0,456.0,6.0,4.0,366.9,5.0,4.0,697.1
