1,平田 忠則,平田 忠則.1,2,松本 博昭,松本 博昭.1,3,浦田 信義,浦田 信義.1,4,片橋 幸貴,片橋 幸貴.1,5,坂井 滉哉,坂井 滉哉.1,6,伏田 裕隆,伏田 裕隆.1
2.0,3.0,9.7,1.0,3.0,107.1,1.0,2.0,194.1,1.0,2.0,50.3,1.0,2.0,249.0,1.0,2.0,63.3
2.0,4.0,5.7,1.0,4.0,67.4,1.0,4.0,166.3,1.0,3.0,128.1,1.0,3.0,404.8,1.0,3.0,100.0
2.0,5.0,17.4,1.0,5.0,185.3,1.0,5.0,297.7,1.0,5.0,89.8,1.0,4.0,289.2,1.0,4.0,84.9
2.0,6.0,24.0,1.0,6.0,184.1,1.0,6.0,250.1,1.0,6.0,108.5,1.0,6.0,348.6,1.0,5.0,158.2
3.0,2.0,14.9,3.0,1.0,386.6,2.0,1.0,447.3,2.0,1.0,124.2,2.0,1.0,556.0,2.0,1.0,121.4
3.0,4.0,13.1,3.0,4.0,634.7,2.0,4.0,676.9,2.0,3.0,424.2,2.0,3.0,1121.0,2.0,3.0,236.4
3.0,5.0,24.5,3.0,5.0,1031.0,2.0,5.0,1028.0,2.0,5.0,360.5,2.0,4.0,914.1,2.0,4.0,210.1
3.0,6.0,35.7,3.0,6.0,969.5,2.0,6.0,1038.0,2.0,6.0,349.7,2.0,6.0,934.5,2.0,5.0,366.8
4.0,2.0,8.0,4.0,1.0,173.2,4.0,1.0,359.8,3.0,1.0,393.4,3.0,1.0,937.1,3.0,1.0,239.7
4.0,3.0,14.0,4.0,3.0,626.4,4.0,2.0,637.1,3.0,2.0,615.0,3.0,2.0,1437.0,3.0,2.0,403.8
4.0,5.0,19.3,4.0,5.0,708.2,4.0,5.0,843.1,3.0,5.0,899.5,3.0,4.0,1501.0,3.0,4.0,516.7
4.0,6.0,26.2,4.0,6.0,587.1,4.0,6.0,830.6,3.0,6.0,687.9,3.0,6.0,1838.0,3.0,5.0,768.0
5.0,2.0,40.0,5.0,1.0,642.0,5.0,1.0,878.3,5.0,1.0,168.1,4.0,1.0,446.1,4.0,1.0,200.9
5.0,3.0,62.8,5.0,3.0,1340.0,5.0,2.0,1390.0,5.0,2.0,279.1,4.0,2.0,771.6,4.0,2.0,288.5
5.0,4.0,54.8,5.0,4.0,995.3,5.0,4.0,1437.0,5.0,3.0,703.8,4.0,3.0,1284.0,4.0,3.0,466.6
5.0,6.0,75.1,5.0,6.0,1279.0,5.0,6.0,1192.0,5.0,6.0,281.7,4.0,6.0,841.0,4.0,5.0,540.0
6.0,2.0,39.7,6.0,1.0,475.1,6.0,1.0,541.7,6.0,1.0,279.1,6.0,1.0,655.7,5.0,1.0,424.2
6.0,3.0,63.7,6.0,3.0,1218.0,6.0,2.0,1064.0,6.0,2.0,406.7,6.0,2.0,919.1,5.0,2.0,613.9
6.0,4.0,51.1,6.0,4.0,808.7,6.0,4.0,1188.0,6.0,3.0,749.2,6.0,3.0,1264.0,5.0,3.0,830.6
6.0,5.0,97.7,6.0,5.0,1279.0,6.0,5.0,1443.0,6.0,5.0,501.3,6.0,4.0,899.5,5.0,4.0,653.2
