1,樋口　由加里,樋口　由加里.1,2,木下 陽介,木下 陽介.1,3,中尾 彩香,中尾 彩香.1,4,木場 悠介,木場 悠介.1,5,重富 伸也,重富 伸也.1,6,桑原 将光,桑原 将光.1
2.0,3.0,15.2,1.0,3.0,54.5,1.0,2.0,128.4,1.0,2.0,55.2,1.0,2.0,613.0,1.0,2.0,165.1
2.0,4.0,7.6,1.0,4.0,32.3,1.0,4.0,82.3,1.0,3.0,126.5,1.0,3.0,837.5,1.0,3.0,330.7
2.0,5.0,41.5,1.0,5.0,115.6,1.0,5.0,227.3,1.0,5.0,105.5,1.0,4.0,519.2,1.0,4.0,131.1
2.0,6.0,11.2,1.0,6.0,37.2,1.0,6.0,92.1,1.0,6.0,37.6,1.0,6.0,499.9,1.0,5.0,502.2
3.0,2.0,25.5,3.0,1.0,181.1,2.0,1.0,241.5,2.0,1.0,103.1,2.0,1.0,869.1,2.0,1.0,281.6
3.0,4.0,20.1,3.0,4.0,240.6,2.0,4.0,251.9,2.0,3.0,293.6,2.0,3.0,1612.0,2.0,3.0,684.6
3.0,5.0,76.9,3.0,5.0,644.8,2.0,5.0,686.0,2.0,5.0,261.5,2.0,4.0,866.7,2.0,4.0,235.1
3.0,6.0,30.0,3.0,6.0,255.3,2.0,6.0,335.8,2.0,6.0,89.8,2.0,6.0,841.9,2.0,5.0,908.3
4.0,2.0,9.5,4.0,1.0,66.8,4.0,1.0,181.0,3.0,1.0,281.1,3.0,1.0,1203.0,3.0,1.0,585.2
4.0,3.0,21.1,4.0,3.0,207.2,4.0,2.0,313.0,3.0,2.0,453.5,3.0,2.0,1885.0,3.0,2.0,945.5
4.0,5.0,43.4,4.0,5.0,254.4,4.0,5.0,582.0,3.0,5.0,808.1,3.0,4.0,1978.0,3.0,4.0,668.9
4.0,6.0,10.4,4.0,6.0,77.1,4.0,6.0,206.3,3.0,6.0,271.8,3.0,6.0,1874.0,3.0,5.0,1978.0
5.0,2.0,111.1,5.0,1.0,485.6,5.0,1.0,802.1,5.0,1.0,183.4,4.0,1.0,563.7,4.0,1.0,155.0
5.0,3.0,173.6,5.0,3.0,890.7,5.0,2.0,1046.0,5.0,2.0,248.9,4.0,2.0,687.5,4.0,2.0,211.7
5.0,4.0,115.2,5.0,4.0,579.9,5.0,4.0,1176.0,5.0,3.0,643.6,4.0,3.0,1724.0,4.0,3.0,508.5
5.0,6.0,107.9,5.0,6.0,505.4,5.0,6.0,837.5,5.0,6.0,120.3,4.0,6.0,438.7,4.0,5.0,420.4
6.0,2.0,30.1,6.0,1.0,140.2,6.0,1.0,294.7,6.0,1.0,56.2,6.0,1.0,702.5,5.0,1.0,953.9
6.0,3.0,56.0,6.0,3.0,346.3,6.0,2.0,432.8,6.0,2.0,83.3,6.0,2.0,810.1,5.0,2.0,1230.0
6.0,4.0,23.3,6.0,4.0,139.1,6.0,4.0,318.6,6.0,3.0,211.3,6.0,3.0,1604.0,5.0,3.0,1781.0
6.0,5.0,102.3,6.0,5.0,388.0,6.0,5.0,921.2,6.0,5.0,111.5,6.0,4.0,527.7,5.0,4.0,650.0
